"gene","mean_CTRL","mean_shBKCa","delta","signature"
"PLAU",11.9734095111491,10.769019159032,-1.20439035211716,"myCAF"
"COL8A2",7.47479758888874,6.57794563679494,-0.896851952093797,"myCAF"
"DSG2",12.2386778972745,11.6027276741154,-0.635950223159091,"myCAF"
"ADAM12",13.1810181064293,12.5622995129063,-0.618718593523024,"myCAF"
"C1QTNF6",9.14955954440102,8.69798422723621,-0.451575317164812,"myCAF"
"KIF26B",9.47874692832924,9.04906684966691,-0.429680078662328,"myCAF"
"FN1",19.4416367056892,19.0604012811399,-0.381235424549285,"myCAF"
"TRIM59",11.8667046496796,11.5885954469573,-0.278109202722307,"myCAF"
"MMP11",5.38233773327354,5.12534374745495,-0.2569939858186,"myCAF"
"SDC1",12.3281297856166,12.1203738580891,-0.207755927527449,"myCAF"
"LOXL2",15.0055730242924,14.8453426576519,-0.160230366640555,"myCAF"
"SUGCT",7.96017243599263,7.80294941427026,-0.157223021722368,"myCAF"
"COL10A1",3.60647216117153,3.469385728686,-0.137086432485539,"myCAF"
"LRRC15",5.52606515771705,5.41128314817368,-0.114782009543367,"myCAF"
"BCAT1",13.9086435051342,13.8126704481865,-0.0959730569476847,"myCAF"
"PLPP4",9.7530684170493,9.66189470005947,-0.0911737169898235,"myCAF"
"TMEM158",10.5204534283857,10.4836155304293,-0.0368378979564419,"myCAF"
"SLC16A3",13.9979596952815,14.0740562155116,0.0760965202301289,"myCAF"
"WNT5A",12.8799457400996,13.138173777036,0.258228036936391,"myCAF"
"NUAK1",11.6985625661945,12.0677640146428,0.369201448448326,"myCAF"
"COL12A1",13.3723219569175,13.8286437068496,0.45632174993205,"myCAF"
"ITGA11",13.2144186916911,13.687273501081,0.47285480938983,"myCAF"
"COL11A1",12.7996446526106,13.2839568551802,0.484312202569603,"myCAF"
"RUNX2",10.3886033770188,11.0936041152111,0.705000738192371,"myCAF"
"C1QTNF3",3.93804735870528,4.68957506702592,0.751527708320647,"myCAF"
"RASGRF2",4.65921997799237,5.78451455986183,1.12529458186946,"myCAF"
"CADM1",2.78283637078401,4.04727339109119,1.26443702030718,"myCAF"
"HAS2",12.9912769622751,11.1204292219576,-1.87084774031753,"iCAF"
"BDKRB1",5.79930140383028,4.12025323333649,-1.67904817049379,"iCAF"
"AC016831.1",8.01568158292752,7.0362384848671,-0.979443098060421,"iCAF"
"ARC",4.18438888781179,3.22222519533269,-0.962163692479104,"iCAF"
"HMGA1",14.0315225331134,13.5136288038144,-0.517893729299006,"iCAF"
"FOSL1",12.5492929066315,12.1636211043483,-0.3856718022832,"iCAF"
"CYB5D1",8.53358773120465,8.27458261410859,-0.259005117096059,"iCAF"
"CXCL3",3.67122127394697,3.50217700327256,-0.169044270674415,"iCAF"
"TFPI2",9.33453146885861,9.22222547402926,-0.112305994829351,"iCAF"
"DYRK3",9.11015060237649,9.00672363524803,-0.10342696712846,"iCAF"
"GPRC5A",12.1251085179755,12.046290480539,-0.0788180374365748,"iCAF"
"NR4A3",4.26186640800528,4.18829268971191,-0.0735737182933649,"iCAF"
"CXCL2",4.26824162893983,4.21763290722726,-0.0506087217125675,"iCAF"
"THAP2",7.92245748519086,7.89084828967936,-0.0316091955115034,"iCAF"
"HMOX1",9.74272103547,9.73999049612433,-0.00273053934567535,"iCAF"
"FLNC",14.3950220696083,14.3937560560672,-0.00126601354118172,"iCAF"
"EFNB2",9.34725392903588,9.35494599170514,0.00769206266925515,"iCAF"
"HSPH1",13.1598289973995,13.3681441500203,0.208315152620768,"iCAF"
"NFATC2",6.96367760734187,7.31845259448938,0.354774987147502,"iCAF"
"LIF",10.286245291194,10.6486315814619,0.362386290267811,"iCAF"
"KDM6B",10.1442936722366,10.5130841067591,0.368790434522481,"iCAF"
"HSPB8",10.0170936642892,10.4587171732558,0.441623508966609,"iCAF"
"CLCF1",8.92192665603041,9.48718724101549,0.565260584985078,"iCAF"
"CXCL8",6.59801556873375,7.20585187050497,0.607836301771223,"iCAF"
"TMEM88",3.09938770139732,3.86485511902703,0.765467417629709,"iCAF"
"DUSP2",6.43259722254834,7.27492447673802,0.842327254189679,"iCAF"
"IL6",6.91441102877014,8.29844311300654,1.3840320842364,"iCAF"
"HSPB6",11.6311360227812,9.93548877135407,-1.69564725142715,"csCAF"
"SFRP1",10.4000812730446,8.90031983079214,-1.49976144225241,"csCAF"
"CCL2",10.3685972195274,9.50629525290614,-0.862301966621217,"csCAF"
"EPHA3",5.32541537257074,4.59980841895919,-0.725606953611547,"csCAF"
"CFD",4.42889904968682,4.02955872430698,-0.39934032537984,"csCAF"
"NFIA",9.33059069254714,9.07178949447328,-0.25880119807386,"csCAF"
"PTGDS",3.69414989244125,3.54760276850002,-0.146547123941231,"csCAF"
"SOD3",7.26301516446351,7.24429042138907,-0.0187247430744417,"csCAF"
"APOE",10.2283414958069,10.2136116350229,-0.0147298607839925,"csCAF"
"COL14A1",3.810927551401,3.7997968009009,-0.0111307505000973,"csCAF"
"THBS4",3.99417563989885,4.07468861777311,0.0805129778742639,"csCAF"
"NDRG2",7.76463815895222,7.88013364943582,0.115495490483597,"csCAF"
"MGST1",12.6786345483671,12.8866706903625,0.208036141995411,"csCAF"
"ABI3BP",12.1958223440137,12.518188904985,0.322366560971341,"csCAF"
"NTRK2",3.07310776156329,3.54166832201378,0.468560560450492,"csCAF"
"TNXB",4.03942284332725,4.59431194476165,0.554889101434397,"csCAF"
"ABCA8",5.71030605366348,6.3668346835393,0.656528629875817,"csCAF"
"MGP",5.38310977914305,6.15058524551897,0.767475466375923,"csCAF"
"GPX3",9.20051917302942,10.0772805801151,0.876761407085667,"csCAF"
"CCDC102B",5.43540771413723,6.42315040168551,0.98774268754828,"csCAF"
"ADH1B",2.59639384978654,5.47247297104013,2.87607912125359,"csCAF"
"KRT19",10.2329317561611,5.97849947305377,-4.25443228310733,"apCAF"
"DMKN",10.3090353740034,9.11640379459345,-1.19263157940997,"apCAF"
"SPINT2",6.77452014728877,5.60523626858457,-1.16928387870421,"apCAF"
"CAV1",15.0445705375983,14.2412819524405,-0.803288585157798,"apCAF"
"CXADR",7.75703517061534,6.95591104141506,-0.80112412920028,"apCAF"
"SLC9A3R1",11.0271674300706,10.5809968097435,-0.446170620327113,"apCAF"
"KRT18",14.9586941152325,14.6270491975214,-0.331644917711159,"apCAF"
"ARHGDIB",10.9318099100332,10.6285448583825,-0.303265051650762,"apCAF"
"ENPP2",9.44588848765727,9.14877204668131,-0.297116440975961,"apCAF"
"FTH1",15.0339440825439,14.8463433755553,-0.187600706988617,"apCAF"
"HLA-DMB",3.9076836877897,3.72522979257702,-0.18245389521268,"apCAF"
"HLA-DPA1",4.31273402992949,4.14469407800887,-0.168039951920617,"apCAF"
"CIITA",4.93314685472133,4.83893990768983,-0.0942069470314921,"apCAF"
"COL1A1",18.1704084974395,18.0884578793524,-0.0819506180871272,"apCAF"
"CLU",10.0001218749617,9.92017929989568,-0.0799425750659744,"apCAF"
"HLA-DMA",6.77900919632748,6.7445573105544,-0.0344518857730725,"apCAF"
"SDC4",13.1500819412847,13.1481570282009,-0.00192491308374443,"apCAF"
"KRT8",10.6633543514674,10.8820142016677,0.218659850200284,"apCAF"
"SERPINB2",6.82394879901633,7.08781200748453,0.263863208468197,"apCAF"
"EZR",13.7662150211904,14.0955535919264,0.329338570735944,"apCAF"
"HLA-DPB1",4.6638349677068,5.09873263924829,0.434897671541491,"apCAF"
"HSPB1",13.5694717555493,14.0350139033315,0.465542147782172,"apCAF"
"DCN",10.07116716658,10.5382061869679,0.467039020387888,"apCAF"
"CXCL5",3.5218115895992,4.13480163369628,0.612990044097077,"apCAF"
"PTGIS",5.8093497007706,6.64034978006152,0.831000079290916,"apCAF"
"KRT7",11.4367289542832,12.8004555180916,1.3637265638084,"apCAF"
"MSLN",2.75583775594645,4.2282498547819,1.47241209883544,"apCAF"
"MX1",9.405457516956,6.65084361115891,-2.75461390579709,"ifCAF"
"OAS1",6.39628835177183,3.81096552792356,-2.58532282384827,"ifCAF"
"IFI44L",8.32950338902136,6.38312306808872,-1.94638032093264,"ifCAF"
"OAS2",8.53036655809089,6.71653909152249,-1.8138274665684,"ifCAF"
"IFIT1",9.74517460324525,8.33267108244656,-1.41250352079869,"ifCAF"
"IFI44",9.62411724263543,8.45920919362569,-1.16490804900974,"ifCAF"
"IFIT3",9.75586756059715,8.89270688955084,-0.863160671046311,"ifCAF"
"IRF7",8.55820759873604,7.76155032884268,-0.796657269893366,"ifCAF"
"ISG15",11.0495317218405,10.3070129389139,-0.742518782926608,"ifCAF"
"IFIT2",8.91197583756293,8.40796568117524,-0.504010156387695,"ifCAF"
"DDX58",9.51201829441029,9.11589368525035,-0.396124609159946,"ifCAF"
"STAT2",11.9906444947439,11.6365680237502,-0.354076470993713,"ifCAF"
"IRF9",7.39306963560137,7.04837640979589,-0.344693225805477,"ifCAF"
"STAT1",12.4786373821344,12.425621522159,-0.0530158599753605,"ifCAF"
