"gene_symbol","Category","Significance","DE_padj","W_p","W_padj","label"
"KCNMA1","BKCa","DE_FDR<0.05",4.4495227994658e-185,0.0303828219765775,0.0522071025513022,"KCNMA1"
"KIF26B","myCAF","DE_FDR<0.05",3.09069891917571e-05,0.0303828219765775,0.0522071025513022,"KIF26B"
"BCAT1","myCAF","NS",0.17719909346004,0.312321421676216,0.409711972521488,"BCAT1"
"TMEM158","myCAF","NS",0.703040043329399,0.885233914473202,0.955739270493191,"TMEM158"
"SUGCT","myCAF","NS",0.296531533119315,0.112351197690464,0.173504381243501,"SUGCT"
"LOXL2","myCAF","DE_FDR<0.05",0.00253386575638231,0.0303828219765775,0.0522071025513022,"LOXL2"
"FN1","myCAF","DE_FDR<0.05",6.9791156099459e-07,0.0303828219765775,0.0522071025513022,"FN1"
"TRIM59","myCAF","DE_FDR<0.05",2.80304457726862e-05,0.0303828219765775,0.0522071025513022,"TRIM59"
"PLAU","myCAF","DE_FDR<0.05",1.54899423525666e-113,0.0303828219765775,0.0522071025513022,"PLAU"
"DSG2","myCAF","DE_FDR<0.05",8.39626279389466e-29,0.0303828219765775,0.0522071025513022,"DSG2"
"ADAM12","myCAF","DE_FDR<0.05",2.96878212843567e-28,0.0303828219765775,0.0522071025513022,"ADAM12"
"PLPP4","myCAF","NS",0.330841032562878,0.312321421676216,0.409711972521488,"PLPP4"
"MMP11","myCAF","NS",0.613383881281962,0.47048642205879,0.585707586644616,"MMP11"
"SDC1","myCAF","DE_FDR<0.05",0.00604334047497372,0.0606019697120061,0.0960187052579837,"SDC1"
"COL8A2","myCAF","DE_FDR<0.05",4.82303752282622e-07,0.0303828219765775,0.0522071025513022,"COL8A2"
"C1QTNF6","myCAF","DE_FDR<0.05",1.62458201612816e-06,0.0303828219765775,0.0522071025513022,"C1QTNF6"
"COL10A1","myCAF","NS",0.986607530332074,0.47048642205879,0.585707586644616,"COL10A1"
"LRRC15","myCAF","NS",0.752266315507139,0.665005542102029,0.787676467344151,"LRRC15"
"C1QTNF3","myCAF","NS",0.235889022587087,0.312321421676216,0.409711972521488,"C1QTNF3"
"SLC16A3","myCAF","NS",0.294806396820341,0.312321421676216,0.409711972521488,"SLC16A3"
"RASGRF2","myCAF","DE_FDR<0.05",0.00033432345934461,0.0303828219765775,0.0522071025513022,"RASGRF2"
"CADM1","myCAF","DE_FDR<0.05",0.0285418223362608,0.0303828219765775,0.0522071025513022,"CADM1"
"COL12A1","myCAF","DE_FDR<0.05",3.67646370629895e-09,0.0303828219765775,0.0522071025513022,"COL12A1"
"WNT5A","myCAF","DE_FDR<0.05",3.47465416272078e-05,0.0303828219765775,0.0522071025513022,"WNT5A"
"NUAK1","myCAF","DE_FDR<0.05",2.22817924856788e-11,0.0303828219765775,0.0522071025513022,"NUAK1"
"RUNX2","myCAF","DE_FDR<0.05",6.77621594698529e-30,0.0303828219765775,0.0522071025513022,"RUNX2"
"COL11A1","myCAF","DE_FDR<0.05",1.83046547930038e-12,0.0303828219765775,0.0522071025513022,"COL11A1"
"ITGA11","myCAF","DE_FDR<0.05",9.19952308331891e-15,0.0303828219765775,0.0522071025513022,"ITGA11"
"CXCL8","iCAF","DE_FDR<0.05",0.00492404202131647,0.0303828219765775,0.0522071025513022,"CXCL8"
"NFATC2","iCAF","DE_FDR<0.05",0.0452002084882078,0.0303828219765775,0.0522071025513022,"NFATC2"
"KRT8","iCAF","DE_FDR<0.05",0.000679181959623269,0.0303828219765775,0.0522071025513022,"KRT8"
"IL6","iCAF","DE_FDR<0.05",1.22252133834003e-26,0.0303828219765775,0.0522071025513022,"IL6"
"CLCF1","iCAF","DE_FDR<0.05",3.73202895297458e-11,0.0303828219765775,0.0522071025513022,"CLCF1"
"LIF","iCAF","DE_FDR<0.05",3.00514927979118e-07,0.0303828219765775,0.0522071025513022,"LIF"
"KDM6B","iCAF","DE_FDR<0.05",1.17623614540049e-07,0.0303828219765775,0.0522071025513022,"KDM6B"
"TMEM88","iCAF","NS",0.266517586970051,0.112351197690464,0.173504381243501,"TMEM88"
"HSPH1","iCAF","DE_FDR<0.05",7.31013861249403e-05,0.0303828219765775,0.0522071025513022,"HSPH1"
"HSPB8","iCAF","DE_FDR<0.05",3.316250446158e-09,0.0303828219765775,0.0522071025513022,"HSPB8"
"DUSP2","iCAF","DE_FDR<0.05",6.33917386377436e-07,0.0303828219765775,0.0522071025513022,"DUSP2"
"CYB5D1","iCAF","W_FDR<0.10",0.0572767467271926,0.0606019697120061,0.0960187052579837,"CYB5D1"
"EFNB2","iCAF","NS",0.949588071341294,0.885233914473202,0.955739270493191,"EFNB2"
"CXCL2","iCAF","NS",0.998603988937627,0.885233914473202,0.955739270493191,"CXCL2"
"GPRC5A","iCAF","NS",0.412980998150493,0.665005542102029,0.787676467344151,"GPRC5A"
"THAP2","iCAF","NS",0.840180367969943,0.665005542102029,0.787676467344151,"THAP2"
"ARC","iCAF","NS",0.0970338415089329,0.193930852282411,0.275111209051792,"ARC"
"CXCL3","iCAF","NS",0.561071358010988,1,1,"CXCL3"
"BDKRB1","iCAF","DE_FDR<0.05",3.18511429521861e-08,0.0303828219765775,0.0522071025513022,"BDKRB1"
"HAS2","iCAF","DE_FDR<0.05",1.59827979897922e-155,0.0303828219765775,0.0522071025513022,"HAS2"
"AC016831.1","iCAF","DE_FDR<0.05",1.9255862568279e-14,0.0303828219765775,0.0522071025513022,"AC016831.1"
"KRT18","iCAF","DE_FDR<0.05",3.20646739957589e-09,0.0303828219765775,0.0522071025513022,"KRT18"
"FOSL1","iCAF","DE_FDR<0.05",6.30586911210297e-09,0.0303828219765775,0.0522071025513022,"FOSL1"
"HMGA1","iCAF","DE_FDR<0.05",5.45741432281939e-13,0.0303828219765775,0.0522071025513022,"HMGA1"
"TFPI2","iCAF","NS",0.293776710562575,0.885233914473202,0.955739270493191,"TFPI2"
"DYRK3","iCAF","NS",0.427490431770878,0.312321421676216,0.409711972521488,"DYRK3"
"FLNC","iCAF","NS",0.982934227454655,1,1,"FLNC"
"HMOX1","iCAF","NS",0.917184200589323,1,1,"HMOX1"
"NR4A3","iCAF","NS",0.781556183078182,0.665005542102029,0.787676467344151,"NR4A3"
"THBS4","csCAF","NS",0.924491888714483,1,1,"THBS4"
"NTRK2","csCAF","NS",0.302795712519631,0.885233914473202,0.955739270493191,"NTRK2"
"NDRG2","csCAF","NS",0.42850956417527,0.193930852282411,0.275111209051792,"NDRG2"
"ABCA8","csCAF","DE_FDR<0.05",0.00577692785551537,0.0303828219765775,0.0522071025513022,"ABCA8"
"ABI3BP","csCAF","DE_FDR<0.05",0.000100817499476779,0.0606019697120061,0.0960187052579837,"ABI3BP"
"TNXB","csCAF","NS",0.258203208433279,0.193930852282411,0.275111209051792,"TNXB"
"CCDC102B","csCAF","DE_FDR<0.05",0.00014466383915194,0.0303828219765775,0.0522071025513022,"CCDC102B"
"MGP","csCAF","DE_FDR<0.05",0.00524668855653625,0.0606019697120061,0.0960187052579837,"MGP"
"ADH1B","csCAF","DE_FDR<0.05",6.39541032714571e-10,0.0303828219765775,0.0522071025513022,"ADH1B"
"GPX3","csCAF","DE_FDR<0.05",2.90958596472388e-21,0.0303828219765775,0.0522071025513022,"GPX3"
"MGST1","csCAF","DE_FDR<0.05",2.32898374203539e-05,0.0303828219765775,0.0522071025513022,"MGST1"
"APOE","csCAF","NS",0.937167438389941,1,1,"APOE"
"PTGDS","csCAF","NS",0.883407497150513,0.665005542102029,0.787676467344151,"PTGDS"
"CFD","csCAF","NS",0.395547130131891,0.312321421676216,0.409711972521488,"CFD"
"SOD3","csCAF","NS",0.937167438389941,1,1,"SOD3"
"COL14A1","csCAF","NS",0.993672875507208,0.885233914473202,0.955739270493191,"COL14A1"
"EPHA3","csCAF","DE_FDR<0.05",0.0483518407525905,0.193930852282411,0.275111209051792,"EPHA3"
"NFIA","csCAF","DE_FDR<0.05",0.00786923361428664,0.0303828219765775,0.0522071025513022,"NFIA"
"CCL2","csCAF","DE_FDR<0.05",1.71034470514656e-28,0.0303828219765775,0.0522071025513022,"CCL2"
"SFRP1","csCAF","DE_FDR<0.05",1.26220075286889e-93,0.0303828219765775,0.0522071025513022,"SFRP1"
"HSPB6","csCAF","DE_FDR<0.05",3.3868955702394e-193,0.0303828219765775,0.0522071025513022,"HSPB6"
"HLA-DPB1","apCAF","NS",0.478791725300526,0.885233914473202,0.955739270493191,"HLA-DPB1"
"SERPINB2","apCAF","NS",0.154951386792113,0.193930852282411,0.275111209051792,"SERPINB2"
"CXCL5","apCAF","NS",0.239138415563675,0.193930852282411,0.275111209051792,"CXCL5"
"DCN","apCAF","DE_FDR<0.05",4.41246311561094e-09,0.0303828219765775,0.0522071025513022,"DCN"
"KRT7","apCAF","DE_FDR<0.05",1.71096432488188e-134,0.0303828219765775,0.0522071025513022,"KRT7"
"EZR","apCAF","DE_FDR<0.05",2.22807228031252e-13,0.0303828219765775,0.0522071025513022,"EZR"
"KRT8","apCAF","DE_FDR<0.05",0.000679181959623269,0.0303828219765775,0.0522071025513022,"KRT8 | 1"
"HSPB1","apCAF","DE_FDR<0.05",1.63421311091539e-12,0.0303828219765775,0.0522071025513022,"HSPB1"
"MSLN","apCAF","DE_FDR<0.05",0.0263876207995953,0.0606019697120061,0.0960187052579837,"MSLN"
"PTGIS","apCAF","DE_FDR<0.05",0.000492002013638545,0.0303828219765775,0.0522071025513022,"PTGIS"
"CLU","apCAF","NS",0.466672480695714,0.47048642205879,0.585707586644616,"CLU"
"COL1A1","apCAF","NS",0.27119131687628,0.312321421676216,0.409711972521488,"COL1A1"
"HLA-DPA1","apCAF","NS",0.760780351910096,1,1,"HLA-DPA1"
"CIITA","apCAF","NS",0.871935654161234,0.885233914473202,0.955739270493191,"CIITA"
"SDC4","apCAF","NS",0.978537506271228,1,1,"SDC4"
"FTH1","apCAF","DE_FDR<0.05",0.0164659354580458,0.193930852282411,0.275111209051792,"FTH1"
"SLC9A3R1","apCAF","DE_FDR<0.05",1.60652884865935e-09,0.0303828219765775,0.0522071025513022,"SLC9A3R1"
"KRT19","apCAF","DE_FDR<0.05",2.56171608706469e-267,0.0303828219765775,0.0522071025513022,"KRT19"
"DMKN","apCAF","DE_FDR<0.05",2.99207233200197e-60,0.0303828219765775,0.0522071025513022,"DMKN"
"CAV1","apCAF","DE_FDR<0.05",1.43329958280875e-60,0.0303828219765775,0.0522071025513022,"CAV1"
"ARHGDIB","apCAF","DE_FDR<0.05",3.76115724135673e-08,0.0303828219765775,0.0522071025513022,"ARHGDIB"
"ENPP2","apCAF","DE_FDR<0.05",0.000613083180774829,0.0303828219765775,0.0522071025513022,"ENPP2"
"SPINT2","apCAF","DE_FDR<0.05",1.90412887113968e-07,0.0303828219765775,0.0522071025513022,"SPINT2"
"KRT18","apCAF","DE_FDR<0.05",3.20646739957589e-09,0.0303828219765775,0.0522071025513022,"KRT18 | 1"
"CXADR","apCAF","DE_FDR<0.05",3.39881715864219e-07,0.0303828219765775,0.0522071025513022,"CXADR"
"HLA-DMA","apCAF","NS",0.910579882651672,1,1,"HLA-DMA"
"HLA-DMB","apCAF","NS",0.83015461601704,0.885233914473202,0.955739270493191,"HLA-DMB"
"STAT1","ifCAF","NS",0.447680975667325,0.47048642205879,0.585707586644616,"STAT1"
"DDX58","ifCAF","DE_FDR<0.05",0.000143931163762114,0.0303828219765775,0.0522071025513022,"DDX58"
"IFIT2","ifCAF","DE_FDR<0.05",6.21503191072992e-06,0.0303828219765775,0.0522071025513022,"IFIT2"
"OAS1","ifCAF","DE_FDR<0.05",2.62084425098987e-14,0.0303828219765775,0.0522071025513022,"OAS1"
"IRF9","ifCAF","DE_FDR<0.05",0.0402603982777023,0.0606019697120061,0.0960187052579837,"IRF9"
"STAT2","ifCAF","DE_FDR<0.05",1.1147897188137e-10,0.0303828219765775,0.0522071025513022,"STAT2"
"OAS2","ifCAF","DE_FDR<0.05",3.63032696086795e-33,0.0303828219765775,0.0522071025513022,"OAS2"
"IFI44","ifCAF","DE_FDR<0.05",1.3318693666748e-36,0.0303828219765775,0.0522071025513022,"IFI44"
"IFI44L","ifCAF","DE_FDR<0.05",4.81460960155273e-31,0.0303828219765775,0.0522071025513022,"IFI44L"
"ISG15","ifCAF","DE_FDR<0.05",7.55844283155126e-22,0.0303828219765775,0.0522071025513022,"ISG15"
"IRF7","ifCAF","DE_FDR<0.05",2.90311212584774e-13,0.0303828219765775,0.0522071025513022,"IRF7"
"IFIT3","ifCAF","DE_FDR<0.05",1.1199604894327e-25,0.0303828219765775,0.0522071025513022,"IFIT3"
"IFIT1","ifCAF","DE_FDR<0.05",4.42635621247496e-58,0.0303828219765775,0.0522071025513022,"IFIT1"
"MX1","ifCAF","DE_FDR<0.05",3.92754822177507e-122,0.0303828219765775,0.0522071025513022,"MX1"
