"sample1","sample2","correlation"
"sushishctrl1","sushishctrl1",1
"sushishctrl1","sushishctrl2",0.990935634814295
"sushishctrl1","sushishctrl3",0.99000390608789
"sushishctrl1","sushishctrl4",0.990807060581801
"sushishctrl1","sushi6611",0.980467117536427
"sushishctrl1","sushi6612",0.983073512142922
"sushishctrl1","sushi6613",0.979537878349075
"sushishctrl1","sushi6614",0.981481913183003
"sushishctrl2","sushishctrl1",0.990935634814295
"sushishctrl2","sushishctrl2",1
"sushishctrl2","sushishctrl3",0.990154834834371
"sushishctrl2","sushishctrl4",0.991610900079101
"sushishctrl2","sushi6611",0.981479179118066
"sushishctrl2","sushi6612",0.983639303992273
"sushishctrl2","sushi6613",0.979849953323021
"sushishctrl2","sushi6614",0.981772572380721
"sushishctrl3","sushishctrl1",0.99000390608789
"sushishctrl3","sushishctrl2",0.990154834834371
"sushishctrl3","sushishctrl3",1
"sushishctrl3","sushishctrl4",0.990921470611103
"sushishctrl3","sushi6611",0.979928497667742
"sushishctrl3","sushi6612",0.982416423429109
"sushishctrl3","sushi6613",0.979623405211246
"sushishctrl3","sushi6614",0.981031867228709
"sushishctrl4","sushishctrl1",0.990807060581801
"sushishctrl4","sushishctrl2",0.991610900079101
"sushishctrl4","sushishctrl3",0.990921470611103
"sushishctrl4","sushishctrl4",1
"sushishctrl4","sushi6611",0.981127910046753
"sushishctrl4","sushi6612",0.983111289528252
"sushishctrl4","sushi6613",0.979979490531549
"sushishctrl4","sushi6614",0.982095171355792
"sushi6611","sushishctrl1",0.980467117536427
"sushi6611","sushishctrl2",0.981479179118066
"sushi6611","sushishctrl3",0.979928497667742
"sushi6611","sushishctrl4",0.981127910046753
"sushi6611","sushi6611",1
"sushi6611","sushi6612",0.992343054883798
"sushi6611","sushi6613",0.988808416582824
"sushi6611","sushi6614",0.990953763397478
"sushi6612","sushishctrl1",0.983073512142922
"sushi6612","sushishctrl2",0.983639303992273
"sushi6612","sushishctrl3",0.982416423429109
"sushi6612","sushishctrl4",0.983111289528252
"sushi6612","sushi6611",0.992343054883798
"sushi6612","sushi6612",1
"sushi6612","sushi6613",0.991714948349125
"sushi6612","sushi6614",0.992929021864634
"sushi6613","sushishctrl1",0.979537878349075
"sushi6613","sushishctrl2",0.979849953323021
"sushi6613","sushishctrl3",0.979623405211246
"sushi6613","sushishctrl4",0.979979490531549
"sushi6613","sushi6611",0.988808416582824
"sushi6613","sushi6612",0.991714948349125
"sushi6613","sushi6613",1
"sushi6613","sushi6614",0.989637798695175
"sushi6614","sushishctrl1",0.981481913183003
"sushi6614","sushishctrl2",0.981772572380721
"sushi6614","sushishctrl3",0.981031867228709
"sushi6614","sushishctrl4",0.982095171355792
"sushi6614","sushi6611",0.990953763397478
"sushi6614","sushi6612",0.992929021864634
"sushi6614","sushi6613",0.989637798695175
"sushi6614","sushi6614",1
