"gene","mean_CTRL","mean_shSigmaR1","delta","signature"
"TRIM59",12.2539812842309,11.7664114956278,-0.487569788603126,"myCAF"
"TMEM158",14.2160536310614,13.8067468791095,-0.409306751951995,"myCAF"
"BCAT1",14.18139344794,13.9293115410914,-0.252081906848598,"myCAF"
"DSG2",12.4852986327561,12.3342763747968,-0.15102225795926,"myCAF"
"WNT5A",12.148142188953,12.012458628864,-0.135683560088999,"myCAF"
"RASGRF2",8.1229079306284,8.06218343018464,-0.0607245004437669,"myCAF"
"SUGCT",8.63877325622517,8.62697531637186,-0.0117979398533077,"myCAF"
"COL11A1",13.9472478532421,13.9597606973708,0.0125128441286702,"myCAF"
"RUNX2",10.6447481762143,10.6687134292851,0.0239652530708696,"myCAF"
"COL12A1",14.2049816605817,14.2594200777646,0.0544384171829666,"myCAF"
"LRRC15",8.18822094457762,8.24692425650279,0.058703311925175,"myCAF"
"MMP11",8.32542015712662,8.40788966732427,0.0824695101976562,"myCAF"
"KIF26B",10.4769296654521,10.5838175653376,0.106887899885468,"myCAF"
"SDC1",11.9726076072417,12.0915732117432,0.118965604501518,"myCAF"
"C1QTNF3",7.69489735445649,7.87984573553626,0.18494838107977,"myCAF"
"C1QTNF6",9.1735596792068,9.35866894674942,0.185109267542618,"myCAF"
"SLC16A3",14.4350780068746,14.6253581038024,0.190280096927797,"myCAF"
"COL8A2",9.00369232962118,9.20163619961898,0.197943869997799,"myCAF"
"FN1",19.9561630309112,20.2213637246721,0.265200693760857,"myCAF"
"PLPP4",9.97223900500313,10.2457884463063,0.273549441303212,"myCAF"
"LOXL2",15.8511264516896,16.1265217456953,0.275395294005667,"myCAF"
"ADAM12",13.0872608035749,13.4443254213332,0.357064617758356,"myCAF"
"NUAK1",11.7947428703054,12.3262251932822,0.531482322976739,"myCAF"
"PLAU",11.3374022634084,12.0749312242286,0.737528960820191,"myCAF"
"ITGA11",12.842900851573,13.6209205864534,0.778019734880372,"myCAF"
"HAS2",14.0122946549834,13.2844268070182,-0.727867847965168,"iCAF"
"HSPH1",13.7686746415578,13.2279458038335,-0.540728837724314,"iCAF"
"FOSL1",13.9725626628068,13.5494994585695,-0.423063204237316,"iCAF"
"TFPI2",11.7145504051408,11.3735510627075,-0.340999342433356,"iCAF"
"HMGA1",15.5759538975717,15.2462490321758,-0.329704865395961,"iCAF"
"THAP2",9.23118312250939,8.96621782570409,-0.264965296805297,"iCAF"
"CXCL8",9.84643403296308,9.62424343515762,-0.222190597805454,"iCAF"
"FLNC",15.5512050775623,15.3490064732203,-0.20219860434201,"iCAF"
"EFNB2",8.62130472839584,8.43679275893321,-0.184511969462626,"iCAF"
"CLCF1",10.2746199271858,10.1760354817628,-0.0985844454230804,"iCAF"
"CYB5D1",8.34630108108748,8.27791833460517,-0.0683827464823157,"iCAF"
"BDKRB1",8.66043545151775,8.64546973871282,-0.014965712804921,"iCAF"
"HMOX1",11.029228835607,11.0338737071278,0.00464487152082427,"iCAF"
"DUSP2",8.25767096498238,8.27381391621302,0.0161429512306359,"iCAF"
"TMEM88",7.60893169415786,7.67402461884561,0.0650929246877547,"iCAF"
"HSPB8",10.9221361179965,10.992355269597,0.0702191516004422,"iCAF"
"CXCL2",8.10829250529445,8.18268145278241,0.0743889474879627,"iCAF"
"DYRK3",11.4381573166389,11.5610874961171,0.122930179478205,"iCAF"
"CXCL3",7.87687073623787,8.02815732407613,0.15128658783826,"iCAF"
"NR4A3",8.03698490297167,8.19253319820867,0.155548295236997,"iCAF"
"NFATC2",8.32741234489028,8.5103696696909,0.182957324800627,"iCAF"
"LIF",9.70289842664864,9.92377345886048,0.220875032211833,"iCAF"
"GPRC5A",12.6679809438139,12.9792441259192,0.3112631821053,"iCAF"
"IL6",8.7705647583595,9.16811622089045,0.397551462530952,"iCAF"
"KDM6B",11.4363141941416,12.0363242107048,0.600010016563177,"iCAF"
"ABI3BP",14.5871607101917,13.9637049114101,-0.623455798781608,"csCAF"
