"gene_symbol","Category","Significance","DE_padj","W_p","W_padj","label"
"SIGMAR1","SigmaR1","DE_FDR<0.05",7.14263011814205e-16,0.0808555983700523,0.242566795110157,"SIGMAR1"
"MMP11","myCAF","NS",0.778664329289379,1,1,"MMP11"
"SUGCT","myCAF","NS",0.977628966474922,1,1,"SUGCT"
"COL12A1","myCAF","NS",0.861710745630933,1,1,"COL12A1"
"DSG2","myCAF","NS",0.612026485312955,0.662520583540057,0.829970840918314,"DSG2"
"COL11A1","myCAF","NS",0.966455932423276,1,1,"COL11A1"
"RUNX2","myCAF","NS",0.935386354976855,0.662520583540057,0.829970840918314,"RUNX2"
"TMEM158","myCAF","NS",0.153508510342244,0.382733088885226,0.597692768944052,"TMEM158"
"RASGRF2","myCAF","NS",,1,1,"RASGRF2"
"TRIM59","myCAF","DE_FDR<0.05",0.00104089377043774,0.0808555983700523,0.242566795110157,"TRIM59"
"BCAT1","myCAF","NS",0.245745800961341,0.190430263825524,0.409604718417165,"BCAT1"
"WNT5A","myCAF","NS",0.741275087248486,0.382733088885226,0.597692768944052,"WNT5A"
"LRRC15","myCAF","NS",0.824524190876219,1,1,"LRRC15"
"PLPP4","myCAF","NS",0.294700370471239,0.382733088885226,0.597692768944052,"PLPP4"
"SDC1","myCAF","NS",0.615275279810204,0.662520583540057,0.829970840918314,"SDC1"
"SLC16A3","myCAF","NS",0.426193029882864,0.382733088885226,0.597692768944052,"SLC16A3"
"LOXL2","myCAF","NS",0.14582784642482,0.0808555983700523,0.242566795110157,"LOXL2"
"PLAU","myCAF","DE_FDR<0.05",7.52752598486829e-05,0.0808555983700523,0.242566795110157,"PLAU"
"COL8A2","myCAF","NS",0.420068971919674,0.190430263825524,0.409604718417165,"COL8A2"
"C1QTNF6","myCAF","NS",0.477062957730683,0.190430263825524,0.409604718417165,"C1QTNF6"
"FN1","myCAF","NS",0.150662424834903,0.0808555983700523,0.242566795110157,"FN1"
"ITGA11","myCAF","DE_FDR<0.05",2.45066798475466e-08,0.0808555983700523,0.242566795110157,"ITGA11"
"NUAK1","myCAF","DE_FDR<0.05",0.000177139529794528,0.0808555983700523,0.242566795110157,"NUAK1"
"ADAM12","myCAF","DE_FDR<0.05",0.0484001808593023,0.0808555983700523,0.242566795110157,"ADAM12"
"C1QTNF3","myCAF","NS",,0.190430263825524,0.409604718417165,"C1QTNF3"
"KIF26B","myCAF","NS",0.654463945490942,0.382733088885226,0.597692768944052,"KIF26B"
"LIF","iCAF","NS",0.325951324701039,0.382733088885226,0.597692768944052,"LIF"
"NR4A3","iCAF","NS",,0.382733088885226,0.597692768944052,"NR4A3"
"CXCL3","iCAF","NS",,0.190430263825524,0.409604718417165,"CXCL3"
"CXCL2","iCAF","NS",,0.382733088885226,0.597692768944052,"CXCL2"
"TMEM88","iCAF","NS",,0.382733088885226,0.597692768944052,"TMEM88"
"KRT8","iCAF","NS",0.312272867300608,0.190430263825524,0.409604718417165,"KRT8"
"GPRC5A","iCAF","NS",0.0712818424094942,0.0808555983700523,0.242566795110157,"GPRC5A"
"KDM6B","iCAF","DE_FDR<0.05",0.00767247881210895,0.190430263825524,0.409604718417165,"KDM6B"
"KRT18","iCAF","NS",0.265945893276282,0.190430263825524,0.409604718417165,"KRT18"
"IL6","iCAF","DE_FDR<0.05",0.04620683075147,0.0808555983700523,0.242566795110157,"IL6"
"DYRK3","iCAF","NS",0.573387943320033,0.0808555983700523,0.242566795110157,"DYRK3"
"THAP2","iCAF","NS",0.180110090941245,0.0808555983700523,0.242566795110157,"THAP2"
"FOSL1","iCAF","DE_FDR<0.05",0.0274532860230546,0.190430263825524,0.409604718417165,"FOSL1"
"HMGA1","iCAF","NS",0.0998661273119515,0.662520583540057,0.829970840918314,"HMGA1"
"TFPI2","iCAF","NS",0.0518992205931852,0.0808555983700523,0.242566795110157,"TFPI2"
"EFNB2","iCAF","NS",0.410368638303748,0.190430263825524,0.409604718417165,"EFNB2"
"FLNC","iCAF","NS",0.518795998734603,0.382733088885226,0.597692768944052,"FLNC"
"HAS2","iCAF","DE_FDR<0.05",0.0019361085529167,0.0808555983700523,0.242566795110157,"HAS2"
"HSPH1","iCAF","DE_FDR<0.05",0.0479951873242243,0.190430263825524,0.409604718417165,"HSPH1"
"CYB5D1","iCAF","NS",0.807728511003057,0.662520583540057,0.829970840918314,"CYB5D1"
"NFATC2","iCAF","NS",0.396452775531537,0.662520583540057,0.829970840918314,"NFATC2"
"CXCL8","iCAF","NS",0.975602464043355,0.382733088885226,0.597692768944052,"CXCL8"
"CLCF1","iCAF","NS",0.837177863280181,0.382733088885226,0.597692768944052,"CLCF1"
"HSPB8","iCAF","NS",0.819969006921799,1,1,"HSPB8"
"BDKRB1","iCAF","NS",0.938899885798083,1,1,"BDKRB1"
"HMOX1","iCAF","NS",0.935386354976855,1,1,"HMOX1"
"DUSP2","iCAF","NS",0.861710745630933,1,1,"DUSP2"
"APOE","csCAF","NS",0.463859592092325,0.662520583540057,0.829970840918314,"APOE"
"GPX3","csCAF","NS",0.991099156760986,1,1,"GPX3"
"CFD","csCAF","NS",,0.0808555983700523,0.242566795110157,"CFD"
"HSPB6","csCAF","DE_FDR<0.05",0.0283513578166621,0.0808555983700523,0.242566795110157,"HSPB6"
"CCL2","csCAF","DE_FDR<0.05",0.0412558580963965,0.0808555983700523,0.242566795110157,"CCL2"
"SOD3","csCAF","DE_FDR<0.05",0.0075632918494601,0.0808555983700523,0.242566795110157,"SOD3"
"ABCA8","csCAF","NS",0.899491177363871,1,1,"ABCA8"
"THBS4","csCAF","NS",,1,1,"THBS4"
"NFIA","csCAF","NS",0.890731990693429,0.662520583540057,0.829970840918314,"NFIA"
"MGP","csCAF","NS",,0.662520583540057,0.829970840918314,"MGP"
"NDRG2","csCAF","NS",0.69263587027617,0.662520583540057,0.829970840918314,"NDRG2"
"PDK4","csCAF","NS",,1,1,"PDK4"
"EPHA3","csCAF","NS",0.384340981298064,0.382733088885226,0.597692768944052,"EPHA3"
"ABI3BP","csCAF","DE_FDR<0.05",0.000729687450212092,0.0808555983700523,0.242566795110157,"ABI3BP"
"SFRP1","csCAF","DE_FDR<0.05",8.18289994220332e-05,0.0808555983700523,0.242566795110157,"SFRP1"
"MGST1","csCAF","DE_FDR<0.05",0.0388019912628992,0.0808555983700523,0.242566795110157,"MGST1"
"TNXB","csCAF","NS",0.78411539166791,0.382733088885226,0.597692768944052,"TNXB"
"CCDC102B","csCAF","NS",,1,1,"CCDC102B"
"CIITA","apCAF","NS",0.782858694034607,1,1,"CIITA"
"DMKN","apCAF","NS",0.972233806059321,1,1,"DMKN"
"CXCL5","apCAF","NS",,1,1,"CXCL5"
"HLA-DQB1","apCAF","NS",,0.190430263825524,0.409604718417165,"HLA-DQB1"
"CAV1","apCAF","DE_FDR<0.05",2.27536486156181e-08,0.0808555983700523,0.242566795110157,"CAV1"
"DCN","apCAF","NS",0.213909395048829,0.0808555983700523,0.242566795110157,"DCN"
"EZR","apCAF","NS",0.593793115733772,0.0808555983700523,0.242566795110157,"EZR"
"ENPP2","apCAF","NS",0.0992318149682607,0.0808555983700523,0.242566795110157,"ENPP2"
"ARHGDIB","apCAF","DE_FDR<0.05",0.00257249628404885,0.0808555983700523,0.242566795110157,"ARHGDIB"
"CD74","apCAF","NS",,0.190430263825524,0.409604718417165,"CD74"
"KRT19","apCAF","NS",0.461368563751659,0.662520583540057,0.829970840918314,"KRT19"
"HLA-DPA1","apCAF","NS",,1,1,"HLA-DPA1"
"SERPINB2","apCAF","NS",0.77072931249214,0.382733088885226,0.597692768944052,"SERPINB2"
"KRT7","apCAF","NS",0.958109828216602,0.662520583540057,0.829970840918314,"KRT7"
"PTGIS","apCAF","NS",0.953141103523083,1,1,"PTGIS"
"SDC4","apCAF","NS",0.560779407864143,0.382733088885226,0.597692768944052,"SDC4"
"HLA-DPB1","apCAF","NS",,0.662520583540057,0.829970840918314,"HLA-DPB1"
