"ID","gene_symbol","log2FoldChange","pvalue","padj","mean_CTRL","mean_shSigmaR1","mean_expression","delta_sh_minus_ctrl"
"ENSG00000125144.14","MT1G",-3.56672571289827,8.84360386392059e-62,1.14436233999132e-57,10.2123727376636,8.16291291813974,9.18764282790168,-2.04945981952388
"ENSG00000066279.19","ASPM",-1.42492738403488,5.33780182253303e-21,2.30237185278591e-17,13.8551533681744,12.4420043808828,13.1485788745286,-1.41314898729157
"ENSG00000138778.13","CENPE",-1.45146139650038,4.41009260156073e-20,1.4266649566049e-16,13.0826329977127,11.6703897129011,12.3765113553069,-1.41224328481159
"ENSG00000147955.18","SIGMAR1",-1.33693408936272,2.75990344595906e-19,7.14263011814205e-16,13.2120407467703,11.8929113326965,12.5524760397334,-1.31912941407389
"ENSG00000066557.6","LRRC40",-1.29781589010572,5.85647022678233e-19,1.26304541224272e-15,11.5503845662331,10.3930022630282,10.9716934146307,-1.15738230320488
"ENSG00000163535.18","SGO2",-1.24207545130597,1.95097771408421e-17,3.60652166003566e-14,12.2157197496009,11.0483009832704,11.6320103664357,-1.16741876633049
"ENSG00000138182.15","KIF20B",-1.2152261735055,7.77084557181203e-17,1.2569342712406e-13,12.8514354212724,11.6734964792643,12.2624659502684,-1.17793894200804
"ENSG00000112742.10","TTK",-1.16676375662989,1.19215500970298e-16,1.71405398061739e-13,12.7442451585897,11.6116613996906,12.1779532791402,-1.13258375889903
"ENSG00000122545.20","SEPTIN7",-1.10339783027863,3.12100097543798e-16,4.03857526221675e-13,14.1772121740905,13.0644799331468,13.6208460536187,-1.1127322409437
"ENSG00000110172.12","CHORDC1",-1.37259974938058,4.2996854355933e-16,5.0579935942343e-13,11.8183106723567,10.5608632549151,11.1895869636359,-1.25744741744158
"ENSG00000113356.13","POLR3G",-1.20905962355815,2.43907241126533e-15,2.63013308348112e-12,10.4743062093562,9.5278408939317,10.001073551644,-0.946465315424511
"ENSG00000072571.20","HMMR",-1.04332887240279,3.75732009355618e-15,3.7399786162013e-12,13.2888063326367,12.2552911019508,12.7720487172937,-1.03351523068585
"ENSG00000151239.14","TWF1",-1.02331248478622,8.88835836279047e-15,8.21538265817919e-12,13.2523208904824,12.2346072831813,12.7434640868318,-1.01771360730114
"ENSG00000125730.17","C3",2.01034892147916,1.0697656385647e-14,9.22851157535146e-12,8.12911878724747,9.0896319256878,8.60937535646764,0.960513138440332
"ENSG00000101972.19","STAG2",-1.05998028333697,2.08349084592516e-14,1.68502322164198e-11,13.6001224592105,12.5425587969531,13.0713406280818,-1.05756366225732
"ENSG00000164283.13","ESM1",-1.32561534040498,2.55762239411491e-14,1.83864632110261e-11,10.089240419952,9.13614835623268,9.61269438809233,-0.953092063719303
"ENSG00000136824.19","SMC2",-1.05971249474835,2.5147137030745e-14,1.83864632110261e-11,12.9852417825225,11.9459917328942,12.4656167577083,-1.03925004962829
"ENSG00000143228.13","NUF2",-1.01703823504478,3.81516728632712e-14,2.598329720267e-11,12.2580290499419,11.2845438877546,11.7712864688483,-0.973485162187329
"ENSG00000168078.10","PBK",-0.959311182511386,4.72194604261887e-14,3.05509908957441e-11,12.2786069206337,11.3659026873086,11.8222548039711,-0.912704233325083
"ENSG00000166482.12","MFAP4",0.946863558282292,5.96599327526233e-14,3.5090887719043e-11,12.0308469048315,12.9482399422967,12.4895434235641,0.917393037465212
