"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_G2M_CHECKPOINT",3.64088848577248e-12,1.82044424288624e-10,0.887074988399873,-0.63448761918224,-2.04679166434625,199,"CENPE;KIF20B;TTK;BRCA2;CENPF;PLK4;SMC2;HMMR;KNL1;ATRX;PBK;CDK1;TOP2A;KIF5B;CUL5;DBF4;NEK2;KIF11;ARID4A;SMC4;POLQ;CCND1;CASP8AP2;FBXO5;MAD2L1;NDC80;CDC7;HIF1A;SLC12A2;KIF15;STAG1;RAD21;PRP4K;CCNA2;CDC27;CKS2;MTF2;SRSF10;WRN;CHEK1;XPO1;BARD1;BUB3;RBL1;DR1;KIF23;PDS5B;CKS1B;MNAT1;SAP30;CDKN3;UBE2C;HMGA1;RASAL2;MKI67;HMGB3;SNRPD1;RACGAP1;BUB1;SYNCRIP;G3BP1;CCNB2;SMAD3;NUP50;EGF;MAP3K20;EXO1;ORC6;KIF4A;KIF2C;CENPA;SS18;AURKA;CDC45"
"HALLMARK_E2F_TARGETS",1.36960322518561e-11,3.42400806296403e-10,0.875325132024659,-0.633077478340012,-2.04099070840805,200,"CENPE;BRCA2;PLK4;HMMR;DEPDC1;SMC3;CDK1;TOP2A;RAD51AP1;NBN;LUC7L3;SMC6;TFRC;DEK;SMC4;DLGAP5;CCP110;RFC3;MAD2L1;CSE1L;ANP32E;PSIP1;USP1;MRE11;MMS22L;ATAD2;PNN;STAG1;GINS1;ASF1A;RAD21;BRCA1;NUP107;HMGB2;SPC25;CKS2;BRMS1L;CHEK1;NUDT21;XPO1;ING3;MSH2;BARD1;RAD50;DCK;PDS5B;CKS1B;EXOSC8;CDKN3;HMGA1;MKI67;HMGB3;DONSON;LYAR;RACGAP1;DIAPH3;SYNCRIP;PHF5A;TRIP13;PAICS;CCNB2;BUB1B;UBE2T;ORC6;KIF4A;KIF2C;CDCA3;MELK;AURKA;CDCA8;E2F8;ZW10;RAD51C;RFC1;ESPL1;CENPM;HELLS;TIPIN;TRA2B;MXD3;KIF18B;RANBP1;IPO7;PRKDC;KPNA2;TMPO;GSPT1;KIF22;UBE2S"
"HALLMARK_P53_PATHWAY",4.53395862898571e-08,7.55659771497618e-07,0.719512826338911,0.462409646126948,1.92588055765822,183,"BTG2;KRT17;CDKN1A;ABHD4;DRAM1;EPS8L2;TRAF4;NUPR1;FDXR;PTPRE;TP53;PLK3;TRIB3;DGKA;MKNK2;RHBDF2;MXD1;TPD52L1;F2R;ADA;TAP1;NINJ1;IER3;CTSD;VDR;MDM2;TGFB1;PIDD1;DDIT3;BAK1;INHBB;CYFIP2;STEAP3;FUCA1;CD82;MXD4;RXRA;ZFP36L1;KLF4;SESN1;PLXNB2;XPC;KIF13B;TNFSF9;BAIAP2;CTSF;RRP8;CCNK;SAT1;LIF;CD81;POLH;SLC35D1;DCXR;POM121;ZMAT3;PVT1;SPHK1;ATF3;ABCC5;PMM1;ISCU;PDGFA;CCND3;AEN;FOS;PRKAB1;TCN2;RACK1;ITGB4"
"HALLMARK_MYOGENESIS",1.4292255647535e-07,1.78653195594188e-06,0.690132458796796,0.50665691551059,2.03550772193248,142,"SGCG;CAMK2B;CDKN1A;COL1A1;SPARC;DENND2B;SOD3;GAA;MAPRE3;HDAC5;BIN1;SYNGR2;MYO1C;FOXO4;ITGA7;AGRN;CHRNB1;TPD52L1;COL3A1;TAGLN;ADAM12;STC2;MYLK;TGFB1;DMPK;COL4A2;ABLIM1;CRYAB;TSC2;ATP6AP1;GSN;PLXNB2;PC;BHLHE40;CTF1;SPEG;DTNA;MEF2D;DAPK2;SPTAN1;NCAM1;SPHK1;IGFBP7;PPFIA4;ITGB5;AEBP1;TEAD4;FLII;BDKRB2;BAG1;ITGB4"
"HALLMARK_MITOTIC_SPINDLE",4.74008604134296e-06,4.74008604134296e-05,0.610526878385931,-0.542781565951006,-1.75181358235082,198,"CENPE;KIF20B;TTK;BRCA2;CENPF;SMC3;ANLN;CDK1;SASS6;APC;CD2AP;TOP2A;KIF5B;ECT2;CNTRL;RICTOR;DST;NEK2;ARHGAP29;KIF11;SMC4;PCM1;DLGAP5;CCDC88A;ARHGAP5;FBXO5;RASA1;NDC80;ROCK1;PPP4R2;RAPGEF6;CEP57;PCGF5;KIF15;NIN;CPAP;NET1;FGD4;RASA2;CDC27;NF1;NCK1;ARFGEF1;KIF23;RASAL2;LRPPRC"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.91805262126056e-05,0.000243171051771713,0.575610261071129,0.399330031992955,1.66433018164502,184,"BTG2;CDKN1A;ICAM1;PLAU;DRAM1;KDM6B;EGR1;IL6;PTPRE;CSF1;JUNB;RCAN1;CCL2;NFKB2;CD83;NR4A1;LAMB3;MXD1;IRF1;TAP1;PTX3;PNRC1;TNIP1;NINJ1;RELB;IER3;BCL6;EIF1;B4GALT5;BCL3;MYC;KLF4;NFIL3;IER2;DENND5A;GCH1;TNIP2;TNFSF9;IFIH1;HES1;FOSL2;SAT1;LIF;BHLHE40;B4GALT1;RELA;STAT5A;ZC3H12A;PLAUR;NFKB1;PHLDA2;MAP3K8;SPHK1;ATF3;TRIB1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",7.54445448945087e-05,0.000538889606389348,0.538434096309916,0.384137584887654,1.60366946008466,196,"IL32;SGCG;COMP;COL1A1;SPARC;COL5A1;MMP14;ECM1;FSTL3;P3H1;IL6;COL1A2;APLP1;COLGALT1;PDGFRB;NNMT;BMP1;THBS2;NTM;MYL9;COL4A1;BGN;MMP2;NID2;COL3A1;LRP1;EFEMP2;PTX3;PVR;SLIT3;TAGLN;ADAM12;GPX7;LAMA1;MYLK;TGFB1;SNTB1;SERPINE2;COPA;CTHRC1;COL4A2;GPC1;FLNA;DAB2;FUCA1;COL16A1;PPIB;COL5A2;FN1;COL7A1;LOXL2;HTRA1;COL5A3;QSOX1;PCOLCE"
"HALLMARK_COAGULATION",0.000279197938690047,0.0017449871168128,0.49849310876659,0.460151732190972,1.7779814519304,96,"C3;PLAU;COMP;F2RL2;SPARC;MMP14;C1R;BMP1;C1S;MMP2;LRP1;USP11;SERPING1;CFB;F8;CSRP1;GSN;CRIP2;FN1;HTRA1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00040920021128264,0.00227333450712578,0.49849310876659,0.410035919916941,1.6441121328814,133,"BTG2;LAMP3;CDKN1A;ICAM1;P2RX4;RNF144B;MMP14;IL6;PTPRE;CSF1;CCL2;TAPBP;IRF7;MXD1;IRF1;PVR;BEST1;CD82;MYC;RHOG"
"HALLMARK_PROTEIN_SECRETION",0.000717452385708389,0.0032611472077654,0.477270815362862,-0.564722200388315,-1.7160781354594,92,"GOLGA4;SNX2;VAMP7;DST;VAMP4;TMX1;ANP32E;SCAMP1;ADAM10;LMAN1;VAMP3;DNM1L;USO1;TPD52;RAB5A;NAPG;BET1;ARFIP1;SSPN;ARFGEF1;RAB2A;CAV2;DOP1A;CTSC;TMED10;CLCN3;RPS6KA3;STX7;AP3S1;ZW10;YIPF6;VPS4B;ARFGAP3;COPB1;SGMS1"
