"gene_symbol","category","mean_CTRL","mean_shSigmaR1","median_CTRL","median_shSigmaR1","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shSigmaR1","rho_shSigmaR1_pvalue","wilcox_padj","rho_padj"
"CXADR","apCAF",8.42921397893886,8.74507185060514,8.42775647677034,8.69113502313726,0.315857871666283,0.0808555983700523,1,0.397927314525399,0.0151571600082461,0.0964275567879572,-1,0.00277777777777778,6,,,,,0.242566795110157,0.158333333333333
"EZR","apCAF",14.5068262135076,14.3922114672724,14.494820265766,14.3922190187833,-0.114614746235235,0.0808555983700523,-1,-0.0838751991866924,0.307216620554694,0.593793115733772,0.942857142857143,0.0166666666666667,6,,,,,0.242566795110157,0.271428571428571
"CCL2","iCAF",10.2740098801304,10.7645439646848,10.4556296583181,10.8409976685775,0.490534084554355,0.0808555983700523,1,0.439712516818345,0.00466439879405163,0.0412558580963965,-0.942857142857143,0.0166666666666667,6,,,,,0.242566795110157,0.271428571428571
"ITGA11","myCAF",12.842900851573,13.6209205864534,12.8242213437405,13.6371930191122,0.778019734880372,0.0808555983700523,1,0.765102196100129,1.11013948900216e-10,2.45066798475466e-08,-0.942857142857143,0.0166666666666667,6,,,,,0.242566795110157,0.271428571428571
"PLAU","myCAF",11.3374022634084,12.0749312242286,11.4821502769399,12.0683662805767,0.737528960820191,0.0808555983700523,1,0.729264244748599,1.71608977243906e-06,7.52752598486829e-05,-0.942857142857143,0.0166666666666667,6,,,,,0.242566795110157,0.271428571428571
"FN1","myCAF",19.9561630309112,20.2213637246721,19.923491473598,20.2169485551615,0.265200693760857,0.0808555983700523,1,0.207145350058097,0.0298181197837856,0.150662424834903,-0.942857142857143,0.0166666666666667,6,,,,,0.242566795110157,0.271428571428571
"ENPP2","apCAF",10.4200391514513,10.1349574633423,10.4600681898278,10.1111613913956,-0.285081688109047,0.0808555983700523,-1,-0.271981296160721,0.0157669030362651,0.0992318149682607,0.885714285714286,0.0333333333333333,6,,,,,0.242566795110157,0.345454545454545
"TFPI2","iCAF",11.7145504051408,11.3735510627075,11.6892082543393,11.3990207720162,-0.340999342433356,0.0808555983700523,-1,-0.300258089989942,0.00637309594455729,0.0518992205931852,0.885714285714286,0.0333333333333333,6,,,,,0.242566795110157,0.345454545454545
"IFI44L","ifCAF",8.72943756449946,8.33842596139734,8.54162182895332,8.32765466238494,-0.391011603102118,0.0808555983700523,-1,-0.55304111566884,0.00639753433241672,0.0520563169495136,0.885714285714286,0.0333333333333333,6,,,,,0.242566795110157,0.345454545454545
"C1QTNF6","myCAF",9.1735596792068,9.35866894674942,9.23751734615844,9.37142891928425,0.185109267542618,0.190430263825524,0.777777777777778,0.126543310502347,0.203544404144598,0.477062957730683,-0.885714285714286,0.0333333333333333,6,,,,,0.409604718417165,0.345454545454545
"CAV1","apCAF",15.2666503443054,14.5284828626689,15.2792205046501,14.5477265142879,-0.73816748163657,0.0808555983700523,-1,-0.711396868800551,1.00228591274361e-10,2.27536486156181e-08,0.828571428571429,0.0583333333333333,6,,,,,0.242566795110157,0.369444444444444
"SOD3","csCAF",9.5914571773813,10.0968120398811,9.63880473807659,10.079616982566,0.505354862499845,0.0808555983700523,1,0.5777466564595,0.000506167754376541,0.0075632918494601,-0.828571428571429,0.0583333333333333,6,,,,,0.242566795110157,0.369444444444444
"MGST1","csCAF",13.4631956360968,13.1281151195834,13.4715778688277,13.1254294404851,-0.335080516513328,0.0808555983700523,-1,-0.28714527863891,0.00425802377073546,0.0388019912628992,0.828571428571429,0.0583333333333333,6,,,,,0.242566795110157,0.369444444444444
"HAS2","iCAF",14.0122946549834,13.2844268070182,14.0014862298205,13.1433285311974,-0.727867847965168,0.0808555983700523,-1,-0.619311789628815,9.1191010171126e-05,0.0019361085529167,0.828571428571429,0.0583333333333333,6,,,,,0.242566795110157,0.369444444444444
"DYRK3","iCAF",11.4381573166389,11.5610874961171,11.4401510270458,11.5619418577473,0.122930179478205,0.0808555983700523,1,0.0945592621623646,0.286509715727542,0.573387943320033,-0.828571428571429,0.0583333333333333,6,,,,,0.242566795110157,0.369444444444444
"POSTN","myCAF",16.2113769170756,15.4199993200081,16.2681459807849,15.3738796210483,-0.791377597067434,0.0808555983700523,-1,-0.738386123327069,2.70062023455364e-07,1.55984632595785e-05,0.828571428571429,0.0583333333333333,6,,,,,0.242566795110157,0.369444444444444
"LOXL2","myCAF",15.8511264516896,16.1265217456953,15.9064821061243,16.1071380053342,0.275395294005667,0.0808555983700523,1,0.202807345978082,0.0280611543738641,0.14582784642482,-0.828571428571429,0.0583333333333333,6,,,,,0.242566795110157,0.369444444444444
"ARHGDIB","apCAF",11.7430812911786,11.2704088231678,11.8156693861373,11.2703934219787,-0.472672468010808,0.0808555983700523,-1,-0.45819321964138,0.000130811634845761,0.00257249628404885,0.771428571428571,0.102777777777778,6,,,,,0.242566795110157,0.453409090909091
"HLA-DMB","apCAF",7.49126883342171,7.60797879659908,7.44754219793203,7.59934238233498,0.116709963177368,0.0808555983700523,1,0.0348936163385995,0.345715744255544,,-0.771428571428571,0.102777777777778,6,,,,,0.242566795110157,0.453409090909091
"C3","csCAF",8.12911878724747,9.0896319256878,8.09128202378226,9.15090465344631,0.960513138440332,0.0808555983700523,1,2.01034892147916,1.0697656385647e-14,9.22851157535146e-12,-0.771428571428571,0.102777777777778,6,,,,,0.242566795110157,0.453409090909091
"GPRC5A","iCAF",12.6679809438139,12.9792441259192,12.7249842241599,12.9680674161249,0.3112631821053,0.0808555983700523,1,0.259184175097331,0.00974313095040174,0.0712818424094942,-0.771428571428571,0.102777777777778,6,,,,,0.242566795110157,0.453409090909091
"COL8A2","myCAF",9.00369232962118,9.20163619961898,9.01540012396548,9.16048532021948,0.197943869997799,0.190430263825524,0.777777777777778,0.143103888457861,0.161499531155468,0.420068971919674,-0.771428571428571,0.102777777777778,6,,,,,0.409604718417165,0.453409090909091
"SERPINB2","apCAF",8.9864359742849,8.68066576786171,8.75948063067718,8.59482538139512,-0.30577020642319,0.382733088885226,-0.555555555555556,-0.0257918061662867,0.529750372793236,0.77072931249214,0.714285714285714,0.136111111111111,6,,,,,0.597692768944052,0.453409090909091
"SFRP1","csCAF",9.91072094655833,9.33382380080998,9.93708158068446,9.34133443438134,-0.576897145748351,0.0808555983700523,-1,-0.751540764623129,1.87182255246691e-06,8.18289994220332e-05,0.714285714285714,0.136111111111111,6,,,,,0.242566795110157,0.453409090909091
"EPHA3","csCAF",9.28049037205434,8.97410966804606,9.12726951614427,8.81130959691813,-0.306380704008285,0.382733088885226,-0.555555555555556,-0.13808982430324,0.137014292637401,0.384340981298064,0.714285714285714,0.136111111111111,6,,,,,0.597692768944052,0.453409090909091
"CFD","csCAF",7.60180089936188,7.72199252292548,7.59571611940066,7.67797093426963,0.120191623563602,0.0808555983700523,1,0.0448024628396822,0.336904016889196,,-0.714285714285714,0.136111111111111,6,,,,,0.242566795110157,0.453409090909091
"FOSL1","iCAF",13.9725626628068,13.5494994585695,14.0649490249373,13.518421874592,-0.423063204237316,0.190430263825524,-0.777777777777778,-0.35414479820357,0.00269865377289995,0.0274532860230546,0.714285714285714,0.136111111111111,6,,,,,0.409604718417165,0.453409090909091
"FLNC","iCAF",15.5512050775623,15.3490064732203,15.4913308992251,15.291551406597,-0.20219860434201,0.382733088885226,-0.555555555555556,-0.112499308711718,0.236798047023349,0.518795998734603,0.714285714285714,0.136111111111111,6,,,,,0.597692768944052,0.453409090909091
"CXCL3","iCAF",7.87687073623787,8.02815732407613,7.87904031250001,8.00994580710049,0.15128658783826,0.190430263825524,0.777777777777778,0.0755812581477877,0.245444568423331,,-0.714285714285714,0.136111111111111,6,,,,,0.409604718417165,0.453409090909091
"IFIT1","ifCAF",10.1905115170816,9.92936802767165,10.2278901597373,9.97672401682121,-0.261143489409925,0.0808555983700523,-1,-0.22451950190656,0.0477670604316736,0.201779732848811,0.714285714285714,0.136111111111111,6,,,,,0.242566795110157,0.453409090909091
"ADAM12","myCAF",13.0872608035749,13.4443254213332,13.0743343585941,13.436352853015,0.357064617758356,0.0808555983700523,1,0.300737305150277,0.00582373118994851,0.0484001808593023,-0.714285714285714,0.136111111111111,6,,,,,0.242566795110157,0.453409090909091
"C1QTNF3","myCAF",7.69489735445649,7.87984573553626,7.70925813524461,7.87016838380087,0.18494838107977,0.190430263825524,0.777777777777778,0.0760605972313907,0.168835963123456,,-0.714285714285714,0.136111111111111,6,,,,,0.409604718417165,0.453409090909091
"HLA-DMA","apCAF",8.64370627314571,9.00048161363328,8.64583761990036,9.01151674851335,0.356775340487571,0.0808555983700523,1,0.49050319038739,0.0044870618300446,0.0401428433701619,-0.657142857142857,0.175,6,,,,,0.242566795110157,0.453409090909091
