"sample1","sample2","correlation"
"ctrl_1","ctrl_1",1
"ctrl_1","ctrl_2",0.99337854682291
"ctrl_1","ctrl_3",0.989390105494256
"ctrl_1","sh11_1",0.980775891823733
"ctrl_1","sh11_2",0.986000017242648
"ctrl_1","sh11_3",0.98415726679004
"ctrl_2","ctrl_1",0.99337854682291
"ctrl_2","ctrl_2",1
"ctrl_2","ctrl_3",0.995559982900095
"ctrl_2","sh11_1",0.988891640672612
"ctrl_2","sh11_2",0.985115090223996
"ctrl_2","sh11_3",0.991629609379181
"ctrl_3","ctrl_1",0.989390105494256
"ctrl_3","ctrl_2",0.995559982900095
"ctrl_3","ctrl_3",1
"ctrl_3","sh11_1",0.993557023805652
"ctrl_3","sh11_2",0.990228730700823
"ctrl_3","sh11_3",0.993739286943039
"sh11_1","ctrl_1",0.980775891823733
"sh11_1","ctrl_2",0.988891640672612
"sh11_1","ctrl_3",0.993557023805652
"sh11_1","sh11_1",1
"sh11_1","sh11_2",0.99250665664769
"sh11_1","sh11_3",0.997562455159516
"sh11_2","ctrl_1",0.986000017242648
"sh11_2","ctrl_2",0.985115090223996
"sh11_2","ctrl_3",0.990228730700823
"sh11_2","sh11_1",0.99250665664769
"sh11_2","sh11_2",1
"sh11_2","sh11_3",0.992194802448357
"sh11_3","ctrl_1",0.98415726679004
"sh11_3","ctrl_2",0.991629609379181
"sh11_3","ctrl_3",0.993739286943039
"sh11_3","sh11_1",0.997562455159516
"sh11_3","sh11_2",0.992194802448357
"sh11_3","sh11_3",1
