gene	best_cohort	best_display_name	best_logrank_p	n_ok_cohorts	best_logrank_p_adj_bh
KCNAB1	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.00125940673230074	4	0.0314851683075185
KCNC4	PH_GSE183795	PH / GSE183795	0.00490812147616915	4	0.0597194713066074
KCNK6	Zhang_GSE28735	Zhang / GSE28735	0.00834786143863531	4	0.0597194713066074
KCNK17	PH_GSE183795	PH / GSE183795	0.00955511540905718	4	0.0597194713066074
KCNE4	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.0123025395027048	4	0.0615126975135238
KCND3	PH_GSE183795	PH / GSE183795	0.0163896797791883	4	0.0682903324132844
KCNMA1	PH_GSE183795	PH / GSE183795	0.0318135194345779	4	0.11361971226635
KCNN3	PH_GSE183795	PH / GSE183795	0.0442459525920623	4	0.125034745354255
KCNB1	PH_GSE183795	PH / GSE183795	0.0450125083275318	4	0.125034745354255
KCNK1	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.055594993772703	4	0.138987484431758
KCNMB4	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.0745226345957194	4	0.16936962408118
KCNT2	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.0844878620338855	4	0.176016379237261
KCNA5	PH_GSE183795	PH / GSE183795	0.19378959447614	4	0.372672297069501
KCNK3	PH_GSE183795	PH / GSE183795	0.239767568230016	4	0.37283935409115
KCNJ16	Hussain_GSE62452	Hussain / GSE62452	0.260511098385497	4	0.37283935409115
KCNQ4	PH_GSE183795	PH / GSE183795	0.267795320210508	4	0.37283935409115
KCNA7	PH_GSE183795	PH / GSE183795	0.269485040446986	4	0.37283935409115
KCNJ15	Hussain_GSE62452	Hussain / GSE62452	0.276954011231062	4	0.37283935409115
KCNJ8	Hussain_GSE62452	Hussain / GSE62452	0.283357909109274	4	0.37283935409115
KCNS3	Zhang_GSE28735	Zhang / GSE28735	0.319395982085417	4	0.399244977606771
KCND2	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.371875454940104	4	0.442708874928695
KCNAB2	Hussain_GSE62452	Hussain / GSE62452	0.442206969642984	4	0.474958535455498
KCNK15	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.452477176814387	4	0.474958535455498
KCNMB1	Bailey_QCMG_UQ_2016	Bailey / QCMG-UQ 2016	0.455960194037278	4	0.474958535455498
KCNN4	PH_GSE183795	PH / GSE183795	0.64662814992404	4	0.64662814992404
