gene	n_cohorts	beta_pooled	se_pooled	hr	hr_low	hr_high	p_value	tau2	I2	H2	QE	QEp	pred_hr_low	pred_hr_high	model_status	p_adj_bh	effect_direction	significant_fdr
KCNT2	4	-0.188238298959592	0.0220992424834875	0.828417272735196	0.772156560030797	0.888777241934782	0.00339890593046833	0	0	1	0.311298878516995	0.957889647238842	0.772156560030797	0.888777241934782	ok	0.0849726482617082	Protective_when_high	FALSE
KCNMB4	4	0.235371164590097	0.043026202610015	1.26537834521724	1.10345104800372	1.45106786516852	0.0120083847313134	0	0	1	0.877308520002275	0.830900042514739	1.10345104800372	1.45106786516852	ok	0.150104809141417	Adverse_when_high	FALSE
KCNA5	4	-0.0831897721917054	0.0190202662852334	0.920176506737256	0.866129582400547	0.97759598650864	0.0221142744599222	0	0	1	0.241906216553168	0.97055643518717	0.866129582400547	0.97759598650864	ok	0.150429815765796	Protective_when_high	FALSE
KCNE4	4	-0.23622930116638	0.0557563118410818	0.789599597064447	0.66121860858139	0.942906802066497	0.0240687705225273	0	0	1	1.67240292406657	0.643086584582229	0.66121860858139	0.942906802066497	ok	0.150429815765796	Protective_when_high	FALSE
KCNMA1	4	-0.14857970028831	0.0392426286131915	0.861931308259101	0.760737243453139	0.976586313541004	0.0323069957024744	0	0	1	1.02576475688479	0.795017980492192	0.760737243453139	0.976586313541004	ok	0.15500503552003	Protective_when_high	FALSE
KCNC4	4	-0.20979313820975	0.0585486815525473	0.810751942222832	0.672925150303969	0.976808061819618	0.0372012085248071	0	0	1	2.03222699095899	0.565744887293839	0.672925150303969	0.976808061819618	ok	0.15500503552003	Protective_when_high	FALSE
KCNK6	4	0.181717049961694	0.0548489397878845	1.19927481101422	1.00718896158865	1.42799427633183	0.045288848955736	0	0	1	2.07099897842124	0.557802111472557	1.00718896158865	1.42799427633183	ok	0.161745889127629	Adverse_when_high	FALSE
KCNAB1	4	-0.212359773840509	0.0746425729259587	0.808673705579212	0.637688248187078	1.02550605872756	0.065375925046633	0.00496875173797506	20.2428518096939	1.253806113546	3.52327563534512	0.317755872409535	0.583279871773289	1.12116531658647	ok	0.204299765770728	Protective_when_high	FALSE
KCNK1	4	-0.118300371124406	0.0458738801355025	0.888429154068354	0.767749683833354	1.02807774254966	0.0818637528306502	0	0	1	1.37205438263619	0.712098212692045	0.767749683833354	1.02807774254966	ok	0.227399313418473	Protective_when_high	FALSE
KCNN3	4	-0.169537173907892	0.0710313836166752	0.844055377060313	0.673282188200541	1.05814395810546	0.0970214544811163	5.58850431013304e-06	0.0268365355693379	1.00026843739499	3.06183674955754	0.38218908187589	0.673197927290845	1.05827640083721	ok	0.242553636202791	Protective_when_high	FALSE
KCND3	4	-0.0936821165497348	0.0413809701289203	0.910572172062804	0.798216965380058	1.0387422423932	0.108534933701988	0	0	1	1.00360185262629	0.800380414952149	0.798216965380058	1.0387422423932	ok	0.246670303868155	Protective_when_high	FALSE
