gene	cohort	n_samples	n_events	covariates_used	fit_status	beta	hr	hr_low	hr_high	se	z	p_value	concordance
KCNA5	Bailey_QCMG_UQ_2016	96	64	gene_value + stage_group + grade_group	ok	-0.106864523692451	0.898647410176786	0.701697721295759	1.15087614411258	0.126220707315694	-0.846648113175035	0.397191287746595	0.662319644839068
KCNA5	Hussain_GSE62452	65	49	gene_value + stage_group + grade_group	ok	-0.0165539313215352	0.983582332065222	0.725797801267115	1.33292523380739	0.155069115899994	-0.106751955252076	0.914985763734496	0.580952380952381
KCNA5	PH_GSE183795	134	86	gene_value + stage_group + grade_group	ok	-0.0991573425330509	0.905600207382576	0.732822854532399	1.11911320797256	0.108009094703634	-0.918046233098507	0.358594661775464	0.538692895464152
KCNA5	Zhang_GSE28735	42	29	gene_value	ok	-0.0806418039703187	0.922524076731297	0.655225292281901	1.29886724791262	0.174561544769634	-0.461967749407468	0.644104448136585	0.484520123839009
KCNA7	Bailey_QCMG_UQ_2016	96	64	gene_value + stage_group + grade_group	ok	0.00439512574116901	1.00440479847207	0.779559490042894	1.29410136375637	0.129299009027119	0.0339919522526827	0.972883568166164	0.643729189789123
KCNA7	Hussain_GSE62452	65	49	gene_value + stage_group + grade_group	ok	-0.0523902586230035	0.948958455349379	0.721063955856595	1.24887971817881	0.140123586349754	-0.373886081478356	0.708489072086323	0.58375350140056
KCNA7	PH_GSE183795	134	86	gene_value + stage_group + grade_group	ok	0.0647879382097283	1.06693274472446	0.866869071790894	1.31316887268053	0.105948510473403	0.611504002465353	0.540865969431863	0.543814013981466
KCNA7	Zhang_GSE28735	42	29	gene_value	ok	0.106233993031928	1.1120820655184	0.791065079041147	1.56336887218775	0.173783312310401	0.611301462836545	0.541000022742412	0.60061919504644
KCNAB1	Bailey_QCMG_UQ_2016	96	64	gene_value + stage_group + grade_group	ok	-0.409040515379931	0.664287317923928	0.51957923690107	0.849298065462509	0.125357119476113	-3.26300187088995	0.00110238792117149	0.705604883462819
KCNAB1	Hussain_GSE62452	65	49	gene_value + stage_group + grade_group	ok	-0.0969940776050697	0.907561381054279	0.658967760780024	1.24993620235104	0.163312485342803	-0.593917099488586	0.552567561576172	0.594957983193277
KCNAB1	PH_GSE183795	134	86	gene_value + stage_group + grade_group	ok	-0.161805004245895	0.850607053133594	0.675025565454049	1.07185919447946	0.117961203194485	-1.37167983933772	0.170163127198732	0.551292472768655
KCNAB1	Zhang_GSE28735	42	29	gene_value	ok	-0.111274586359651	0.894693044690911	0.649273487737551	1.23287899373132	0.163588039647581	-0.680212236783148	0.496370085284396	0.565015479876161
KCNAB2	Bailey_QCMG_UQ_2016	96	64	gene_value + stage_group + grade_group	ok	-0.0936707222552055	0.910582547449433	0.705859535554431	1.17468212010229	0.129935192266529	-0.720903402852275	0.470968949080415	0.647336293007769
KCNAB2	Hussain_GSE62452	65	49	gene_value + stage_group + grade_group	ok	0.063469267527961	1.06552673902756	0.776006514648352	1.46306404669449	0.16177013133796	0.392342313151523	0.694805303345243	0.595518207282913
KCNAB2	PH_GSE183795	134	86	gene_value + stage_group + grade_group	ok	0.0191189632419145	1.01930290098257	0.796528629722766	1.30438300041155	0.125824337107681	0.15194964409431	0.879226652535208	0.535522679239148
KCNAB2	Zhang_GSE28735	42	29	gene_value	ok	0.107888609542187	1.11392365800929	0.731920965968132	1.69530041297767	0.214275034487247	0.503505272092762	0.614609074608629	0.507739938080495
KCNB1	Bailey_QCMG_UQ_2016	96	64	gene_value + stage_group + grade_group	ok	-0.197330315078479	0.820919426458492	0.630205048812858	1.06934831132567	0.134890092497935	-1.46289702545426	0.143495558069396	0.667036625971143
