CellType2	gene	n_union_methods	union_methods_present	n_deg_methods
csCAF	KCNA5	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNAB1	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNC4	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCND3	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	2
csCAF	KCNE4	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNJ8	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNK17	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNK6	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNMA1	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNK3	3	Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	0
csCAF	KCNMB1	3	Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST	2
