CellType2	gene	n_deg_methods	median_expression	n_cells_low	n_cells_high	n_paired_patients	eligible_for_testing	exclusion_reason
qPSC	KCNA5	0	0	5548	195	15	TRUE	NA
qPSC	KCNAB1	0	0	5595	148	11	TRUE	NA
qPSC	KCNC4	2	0	5481	262	19	TRUE	NA
qPSC	KCND3	0	0	5656	87	6	TRUE	NA
qPSC	KCNE4	3	0	3634	2109	33	TRUE	NA
qPSC	KCNJ8	3	0	3650	2093	34	TRUE	NA
qPSC	KCNK17	3	0	4463	1280	34	TRUE	NA
qPSC	KCNK6	3	0	5252	491	24	TRUE	NA
qPSC	KCNMA1	0	0	5718	25	0	FALSE	too_few_paired_patients
qPSC	KCNK3	0	0	5623	120	8	TRUE	NA
qPSC	KCNMB1	0	0	5224	519	24	TRUE	NA
qPSC	KCNN3	0	0	5726	17	0	FALSE	too_few_high_cells;too_few_paired_patients
qPSC	KCNS3	2	0	4885	858	30	TRUE	NA
qPSC	KCNT2	2	0	5657	86	6	TRUE	NA
qPSC	KCNA7	2	0	5595	148	9	TRUE	NA
qPSC	KCND2	0	0	5698	45	4	TRUE	NA
qPSC	KCNJ15	0	0	5614	129	8	TRUE	NA
qPSC	KCNK1	0	0	5665	78	6	TRUE	NA
qPSC	KCNK15	0	0	5714	29	1	FALSE	too_few_paired_patients
qPSC	KCNMB4	0	0	5665	78	5	TRUE	NA
qPSC	KCNN4	0	0	5659	84	6	TRUE	NA
qPSC	KCNQ4	0	0	5700	43	1	FALSE	too_few_paired_patients
qPSC	KCNAB2	0	0	5640	103	10	TRUE	NA
qPSC	KCNB1	0	0	5698	45	2	FALSE	too_few_paired_patients
qPSC	KCNJ16	0	0	5638	105	9	TRUE	NA
smPSC	KCNA5	3	0	4524	997	29	TRUE	NA
smPSC	KCNAB1	3	0	4827	694	30	TRUE	NA
smPSC	KCNC4	3	0	5191	330	22	TRUE	NA
smPSC	KCND3	0	0	5491	30	1	FALSE	too_few_paired_patients
smPSC	KCNE4	0	0	4115	1406	36	TRUE	NA
smPSC	KCNJ8	0	0	4969	552	26	TRUE	NA
smPSC	KCNK17	2	0	4637	884	28	TRUE	NA
smPSC	KCNK6	0	0	5379	142	13	TRUE	NA
smPSC	KCNMA1	3	0	5267	254	16	TRUE	NA
smPSC	KCNK3	2	0	5273	248	17	TRUE	NA
smPSC	KCNMB1	3	0	4111	1410	34	TRUE	NA
smPSC	KCNN3	0	0	5494	27	0	FALSE	too_few_paired_patients
smPSC	KCNS3	2	0	4843	678	28	TRUE	NA
smPSC	KCNT2	0	0	5486	35	2	FALSE	too_few_paired_patients
smPSC	KCNA7	0	0	5409	112	11	TRUE	NA
smPSC	KCND2	0	0	5505	16	0	FALSE	too_few_high_cells;too_few_paired_patients
smPSC	KCNJ15	0	0	5369	152	10	TRUE	NA
smPSC	KCNK1	0	0	5443	78	5	TRUE	NA
smPSC	KCNK15	0	0	5487	34	1	FALSE	too_few_paired_patients
smPSC	KCNMB4	0	0	5409	112	9	TRUE	NA
smPSC	KCNN4	0	0	5448	73	6	TRUE	NA
smPSC	KCNQ4	1	0	5430	91	7	TRUE	NA
smPSC	KCNAB2	0	0	5439	82	8	TRUE	NA
smPSC	KCNB1	0	0	5441	80	8	TRUE	NA
smPSC	KCNJ16	1	0	5404	117	10	TRUE	NA
myCAF	KCNA5	0	0	4803	6	0	FALSE	too_few_high_cells;too_few_paired_patients
myCAF	KCNAB1	0	0	4772	37	1	FALSE	too_few_paired_patients
myCAF	KCNC4	0	0	4708	101	7	TRUE	NA
myCAF	KCND3	0	0	4699	110	8	TRUE	NA
myCAF	KCNE4	0	0	3944	865	24	TRUE	NA
myCAF	KCNJ8	0	0	4480	329	21	TRUE	NA
myCAF	KCNK17	0	0	4770	39	4	TRUE	NA
myCAF	KCNK6	0	0	4482	327	16	TRUE	NA
myCAF	KCNMA1	3	0	4595	214	5	TRUE	NA
myCAF	KCNK3	0	0	4799	10	0	FALSE	too_few_high_cells;too_few_paired_patients
myCAF	KCNMB1	1	0	4269	540	25	TRUE	NA
myCAF	KCNN3	2	0	4731	78	6	TRUE	NA
myCAF	KCNS3	0	0	4341	468	22	TRUE	NA
myCAF	KCNT2	0	0	4755	54	6	TRUE	NA
myCAF	KCNA7	0	0	4745	64	4	TRUE	NA
myCAF	KCND2	2	0	4575	234	8	TRUE	NA
myCAF	KCNJ15	1	0	4654	155	11	TRUE	NA
myCAF	KCNK1	2	0	4577	232	11	TRUE	NA
myCAF	KCNK15	0	0	4768	41	3	TRUE	NA
myCAF	KCNMB4	2	0	4638	171	10	TRUE	NA
myCAF	KCNN4	2	0	4684	125	6	TRUE	NA
myCAF	KCNQ4	0	0	4798	11	0	FALSE	too_few_high_cells;too_few_paired_patients
myCAF	KCNAB2	1	0	4724	85	6	TRUE	NA
myCAF	KCNB1	0	0	4802	7	1	FALSE	too_few_high_cells;too_few_paired_patients
myCAF	KCNJ16	0	0	4749	60	5	TRUE	NA
csCAF	KCNA5	0	0	4235	7	0	FALSE	too_few_high_cells;too_few_paired_patients
csCAF	KCNAB1	0	0	4212	30	1	FALSE	too_few_paired_patients
csCAF	KCNC4	0	0	4180	62	5	TRUE	NA
csCAF	KCND3	2	0	4029	213	12	TRUE	NA
csCAF	KCNE4	0	0	3364	878	26	TRUE	NA
csCAF	KCNJ8	0	0	3601	641	26	TRUE	NA
csCAF	KCNK17	0	0	4129	113	10	TRUE	NA
csCAF	KCNK6	0	0	3993	249	14	TRUE	NA
csCAF	KCNMA1	0	0	4189	53	3	TRUE	NA
csCAF	KCNK3	0	0	4213	29	2	FALSE	too_few_paired_patients
csCAF	KCNMB1	2	0	3376	866	26	TRUE	NA
csCAF	KCNN3	2	0	4155	87	7	TRUE	NA
csCAF	KCNS3	0	0	3858	384	18	TRUE	NA
csCAF	KCNT2	2	0	4153	89	7	TRUE	NA
csCAF	KCNA7	0	0	4166	76	4	TRUE	NA
csCAF	KCND2	2	0	4108	134	7	TRUE	NA
csCAF	KCNJ15	0	0	4107	135	8	TRUE	NA
csCAF	KCNK1	1	0	4105	137	11	TRUE	NA
csCAF	KCNK15	2	0	4146	96	8	TRUE	NA
csCAF	KCNMB4	0	0	4121	121	11	TRUE	NA
csCAF	KCNN4	0	0	4188	54	2	FALSE	too_few_paired_patients
csCAF	KCNQ4	0	0	4230	12	0	FALSE	too_few_high_cells;too_few_paired_patients
csCAF	KCNAB2	0	0	4175	67	4	TRUE	NA
csCAF	KCNB1	0	0	4232	10	0	FALSE	too_few_high_cells;too_few_paired_patients
csCAF	KCNJ16	0	0	4150	92	8	TRUE	NA
iCAF	KCNA5	0	0	338	0	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNAB1	0	0	332	6	1	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNC4	1	0	315	23	1	FALSE	too_few_paired_patients
iCAF	KCND3	0	0	329	9	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNE4	0	0	263	75	1	FALSE	too_few_paired_patients
iCAF	KCNJ8	0	0	314	24	1	FALSE	too_few_paired_patients
iCAF	KCNK17	0	0	331	7	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNK6	0	0	331	7	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNMA1	0	0	329	9	1	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNK3	0	0	336	2	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNMB1	0	0	310	28	1	FALSE	too_few_paired_patients
iCAF	KCNN3	0	0	335	3	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNS3	0	0	324	14	1	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNT2	0	0	332	6	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNA7	0	0	325	13	1	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCND2	0	0	333	5	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNJ15	0	0	329	9	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNK1	2	0	307	31	1	FALSE	too_few_paired_patients
iCAF	KCNK15	0	0	330	8	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNMB4	0	0	331	7	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNN4	0	0	327	11	1	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNQ4	0	0	338	0	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNAB2	0	0	335	3	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNB1	0	0	338	0	0	FALSE	too_few_high_cells;too_few_paired_patients
iCAF	KCNJ16	0	0	334	4	0	FALSE	too_few_high_cells;too_few_paired_patients
