CellType2	gene	n_deg_methods
csCAF	KCND2	2
csCAF	KCND3	2
csCAF	KCNK15	2
csCAF	KCNMB1	2
csCAF	KCNN3	2
csCAF	KCNT2	2
csCAF	KCNK1	1
iCAF	KCNK1	2
iCAF	KCNC4	1
myCAF	KCNMA1	3
myCAF	KCND2	2
myCAF	KCNK1	2
myCAF	KCNMB4	2
myCAF	KCNN3	2
myCAF	KCNN4	2
myCAF	KCNAB2	1
myCAF	KCNJ15	1
myCAF	KCNMB1	1
qPSC	KCNE4	3
qPSC	KCNJ8	3
qPSC	KCNK17	3
qPSC	KCNK6	3
qPSC	KCNA7	2
qPSC	KCNC4	2
qPSC	KCNS3	2
qPSC	KCNT2	2
smPSC	KCNA5	3
smPSC	KCNAB1	3
smPSC	KCNC4	3
smPSC	KCNMA1	3
smPSC	KCNMB1	3
smPSC	KCNK17	2
smPSC	KCNK3	2
smPSC	KCNS3	2
smPSC	KCNJ16	1
smPSC	KCNQ4	1
