gene	n_union_methods	union_methods_present
KCNA5	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNAB1	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNC4	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCND3	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNE4	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNJ8	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNK17	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNK6	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNMA1	4	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNK3	3	Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNMB1	3	Test2_Subtype_OneVsRest_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNN3	3	Test1_Activated_vs_Normal_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNS3	3	Test1_Activated_vs_Normal_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNT2	3	Test1_Activated_vs_Normal_DESeq2; Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNA7	2	Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCND2	2	Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNJ15	2	Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNK1	2	Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNK15	2	Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNMB4	2	Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNN4	2	Test3_Subtype_Hurdle_Mixed; Test4_Subtype_MAST
KCNQ4	2	Test1_Activated_vs_Normal_DESeq2; Test2_Subtype_OneVsRest_DESeq2
KCNAB2	1	Test4_Subtype_MAST
KCNB1	1	Test1_Activated_vs_Normal_DESeq2
KCNJ16	1	Test4_Subtype_MAST
