CellType2	KCN	pathway	pathway_label	padj_BH	delta_high_minus_low	n_deg_methods	example_label
csCAF	KCNE4	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EPITHELIAL MESENCHYMAL TRANSITION	0.00371491242417656	0.0130883481802221	0	csCAF | KCNE4 | EPITHELIAL MESENCHYMAL TRANSITION
csCAF	KCNJ8	HALLMARK_MTORC1_SIGNALING	MTORC1 SIGNALING	0.00088432571838541	0.00506689703516142	0	csCAF | KCNJ8 | MTORC1 SIGNALING
csCAF	KCNK6	HALLMARK_MYOGENESIS	MYOGENESIS	0.0341665879798743	0.0058897590575331	0	csCAF | KCNK6 | MYOGENESIS
csCAF	KCNMB1	HALLMARK_MYOGENESIS	MYOGENESIS	0.0052204084463937	0.00403279210299121	2	csCAF | KCNMB1 | MYOGENESIS
csCAF	KCNS3	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	0.0246963490342398	0.0112240892841468	0	csCAF | KCNS3 | OXIDATIVE PHOSPHORYLATION
myCAF	KCNE4	HALLMARK_NOTCH_SIGNALING	NOTCH SIGNALING	0.00383169235011225	0.00533030263753327	0	myCAF | KCNE4 | NOTCH SIGNALING
myCAF	KCNJ8	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	0.00328370980881709	0.0147595577352143	0	myCAF | KCNJ8 | OXIDATIVE PHOSPHORYLATION
myCAF	KCNK1	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	REACTIVE OXYGEN SPECIES PATHWAY	0.0482161603742817	0.0108254087744866	2	myCAF | KCNK1 | REACTIVE OXYGEN SPECIES PATHWAY
myCAF	KCNK6	HALLMARK_G2M_CHECKPOINT	G2M CHECKPOINT	0.0353404348190426	-0.0019940071913881	0	myCAF | KCNK6 | G2M CHECKPOINT
myCAF	KCNMB1	HALLMARK_KRAS_SIGNALING_DN	KRAS SIGNALING DN	0.00304714496601067	0.00268904103343287	1	myCAF | KCNMB1 | KRAS SIGNALING DN
myCAF	KCNS3	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	0.00163072703625354	0.0201469167118111	0	myCAF | KCNS3 | OXIDATIVE PHOSPHORYLATION
qPSC	KCNA5	HALLMARK_MYOGENESIS	MYOGENESIS	0.0162051800227276	0.00711151247532112	0	qPSC | KCNA5 | MYOGENESIS
