CellType2	gene	row_label	pathway_label	delta_high_minus_low	padj_BH	direction	dot_size
csCAF	KCNE4	csCAF | KCNE4	EPITHELIAL MESENCHYMAL TRANSITION	0.0130883481802221	0.00371491242417656	KCN-high	2.43005141989672
csCAF	KCNE4	csCAF | KCNE4	ADIPOGENESIS	0.00345047495448408	0.0052204084463937	KCN-high	2.28229551633196
csCAF	KCNE4	csCAF | KCNE4	HYPOXIA	0.00648421508794847	0.00626741766687284	KCN-high	2.20291136252454
csCAF	KCNE4	csCAF | KCNE4	MYC TARGETS V1	0.00513371728403174	0.00626741766687284	KCN-high	2.20291136252454
csCAF	KCNE4	csCAF | KCNE4	MYOGENESIS	0.00446375164262643	0.00626741766687284	KCN-high	2.20291136252454
csCAF	KCNE4	csCAF | KCNE4	APICAL JUNCTION	0.00330703460331762	0.00626741766687284	KCN-high	2.20291136252454
csCAF	KCNE4	csCAF | KCNE4	FATTY ACID METABOLISM	0.00223621233650224	0.00626741766687284	KCN-high	2.20291136252454
csCAF	KCNE4	csCAF | KCNE4	REACTIVE OXYGEN SPECIES PATHWAY	0.00721457288639104	0.00686792004591309	KCN-high	2.16317476939651
csCAF	KCNE4	csCAF | KCNE4	APICAL SURFACE	0.00508824383735358	0.00686792004591309	KCN-high	2.16317476939651
csCAF	KCNE4	csCAF | KCNE4	UV RESPONSE UP	0.00329233381172476	0.00686792004591309	KCN-high	2.16317476939651
csCAF	KCNE4	csCAF | KCNE4	OXIDATIVE PHOSPHORYLATION	0.00541847247246605	0.00883945615087257	KCN-high	2.05357445421099
csCAF	KCNE4	csCAF | KCNE4	UV RESPONSE DN	0.00451531170340255	0.00973876117942929	KCN-high	2.01149628410244
csCAF	KCNE4	csCAF | KCNE4	UNFOLDED PROTEIN RESPONSE	0.00408927850843724	0.00973876117942929	KCN-high	2.01149628410244
csCAF	KCNE4	csCAF | KCNE4	XENOBIOTIC METABOLISM	0.00227758208502725	0.00973876117942929	KCN-high	2.01149628410244
csCAF	KCNE4	csCAF | KCNE4	COAGULATION	0.00471855651485544	0.0138971659553089	KCN-high	1.85707375625393
csCAF	KCNE4	csCAF | KCNE4	MITOTIC SPINDLE	-0.00119585847794754	0.0138971659553089	KCN-low	1.85707375625393
csCAF	KCNE4	csCAF | KCNE4	TGF BETA SIGNALING	0.00535468466024313	0.0144711972027477	KCN-high	1.83949553819408
csCAF	KCNE4	csCAF | KCNE4	INTERFERON ALPHA RESPONSE	0.00414907379734936	0.0144711972027477	KCN-high	1.83949553819408
csCAF	KCNE4	csCAF | KCNE4	COMPLEMENT	0.00249018917968847	0.0186803767200546	KCN-high	1.72861436976593
csCAF	KCNE4	csCAF | KCNE4	P53 PATHWAY	0.00219229348273695	0.0191450124835178	KCN-high	1.7179443461342
csCAF	KCNE4	csCAF | KCNE4	APOPTOSIS	0.00429549078746113	0.0211830312546675	KCN-high	1.67401189300193
csCAF	KCNE4	csCAF | KCNE4	KRAS SIGNALING UP	0.00146146776228862	0.0234358240334273	KCN-high	1.63011977152808
