CellType2	pathway	n_genes_in_matrix
qPSC	HALLMARK_ADIPOGENESIS	194
qPSC	HALLMARK_ALLOGRAFT_REJECTION	187
qPSC	HALLMARK_ANDROGEN_RESPONSE	97
qPSC	HALLMARK_ANGIOGENESIS	35
qPSC	HALLMARK_APICAL_JUNCTION	193
qPSC	HALLMARK_APICAL_SURFACE	41
qPSC	HALLMARK_APOPTOSIS	159
qPSC	HALLMARK_BILE_ACID_METABOLISM	107
qPSC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74
qPSC	HALLMARK_COAGULATION	130
qPSC	HALLMARK_COMPLEMENT	197
qPSC	HALLMARK_DNA_REPAIR	149
qPSC	HALLMARK_E2F_TARGETS	198
qPSC	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	199
qPSC	HALLMARK_ESTROGEN_RESPONSE_EARLY	198
qPSC	HALLMARK_ESTROGEN_RESPONSE_LATE	196
qPSC	HALLMARK_FATTY_ACID_METABOLISM	152
qPSC	HALLMARK_G2M_CHECKPOINT	194
qPSC	HALLMARK_GLYCOLYSIS	196
qPSC	HALLMARK_HEDGEHOG_SIGNALING	35
qPSC	HALLMARK_HEME_METABOLISM	186
qPSC	HALLMARK_HYPOXIA	199
qPSC	HALLMARK_IL2_STAT5_SIGNALING	196
qPSC	HALLMARK_IL6_JAK_STAT3_SIGNALING	86
qPSC	HALLMARK_INFLAMMATORY_RESPONSE	198
qPSC	HALLMARK_INTERFERON_ALPHA_RESPONSE	96
qPSC	HALLMARK_INTERFERON_GAMMA_RESPONSE	196
qPSC	HALLMARK_KRAS_SIGNALING_DN	181
qPSC	HALLMARK_KRAS_SIGNALING_UP	197
qPSC	HALLMARK_MITOTIC_SPINDLE	198
qPSC	HALLMARK_MTORC1_SIGNALING	197
qPSC	HALLMARK_MYC_TARGETS_V1	184
qPSC	HALLMARK_MYC_TARGETS_V2	57
qPSC	HALLMARK_MYOGENESIS	188
