pathway	n_patients	mean_low	mean_high	delta_high_minus_low	median_delta	p_value	padj_BH	CellType2	gene	n_deg_methods	pathway_label	direction	significant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4	0.187130232110079	0.205708108247675	0.0185778761375961	0.0142523158429088	0.100348246462291	0.774010080606631	csCAF	KCNA7	0	EPITHELIAL MESENCHYMAL TRANSITION	KCN-high	FALSE
HALLMARK_ANGIOGENESIS	4	0.134429166098567	0.144595021905491	0.0101658558069243	0.0149433089805287	0.201242620957724	0.774010080606631	csCAF	KCNA7	0	ANGIOGENESIS	KCN-high	FALSE
HALLMARK_COAGULATION	4	0.120315844503932	0.1300165267619	0.00970068225796784	0.00955929978954196	0.100348246462291	0.774010080606631	csCAF	KCNA7	0	COAGULATION	KCN-high	FALSE
HALLMARK_MYOGENESIS	4	0.0847037790916096	0.0918624135265775	0.00715863443496784	0.0071039047842	0.100348246462291	0.774010080606631	csCAF	KCNA7	0	MYOGENESIS	KCN-high	FALSE
HALLMARK_UV_RESPONSE_UP	4	0.0594568358415166	0.0544639397994727	-0.00499289604204391	-0.00928967824899474	0.201242620957724	0.774010080606631	csCAF	KCNA7	0	UV RESPONSE UP	KCN-low	FALSE
HALLMARK_IL2_STAT5_SIGNALING	4	0.0454542600014664	0.0408108313278676	-0.00464342867359886	-0.00601621285741611	0.201242620957724	0.774010080606631	csCAF	KCNA7	0	IL2 STAT5 SIGNALING	KCN-low	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	4	0.0983587192024456	0.0939444314317441	-0.00441428777070152	-0.00373878541820453	0.100348246462291	0.774010080606631	csCAF	KCNA7	0	INTERFERON ALPHA RESPONSE	KCN-low	FALSE
HALLMARK_APICAL_JUNCTION	4	0.0576839044085185	0.0620466530034108	0.0043627485948923	0.00171746209292247	0.100348246462291	0.774010080606631	csCAF	KCNA7	0	APICAL JUNCTION	KCN-high	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	4	0.0529763276847485	0.0487665487417444	-0.00420977894300404	-0.0041089833225993	0.100348246462291	0.774010080606631	csCAF	KCNA7	0	XENOBIOTIC METABOLISM	KCN-low	FALSE
HALLMARK_DNA_REPAIR	4	0.0482296715039302	0.0451398315394726	-0.00308983996445765	-0.00202882918323678	0.201242620957724	0.774010080606631	csCAF	KCNA7	0	DNA REPAIR	KCN-low	FALSE
HALLMARK_ADIPOGENESIS	4	0.0820451652825845	0.0848630189376532	0.00281785365506866	0.00345898466626434	0.201242620957724	0.774010080606631	csCAF	KCNA7	0	ADIPOGENESIS	KCN-high	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	4	0.0335669893220834	0.0308848741728237	-0.00268211514925972	-0.00347694436636788	0.201242620957724	0.774010080606631	csCAF	KCNA7	0	ESTROGEN RESPONSE EARLY	KCN-low	FALSE
HALLMARK_MITOTIC_SPINDLE	4	0.0280363543873623	0.0296820316697204	0.00164567728235811	0.0020750409895805	0.201242620957724	0.774010080606631	csCAF	KCNA7	0	MITOTIC SPINDLE	KCN-high	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4	0.0897570619415057	0.0820475419944729	-0.00770951994703274	-0.0138224060946692	0.361310428526179	0.810947806625507	csCAF	KCNA7	0	TNFA SIGNALING VIA NFKB	KCN-low	FALSE
HALLMARK_TGF_BETA_SIGNALING	4	0.0707420867706749	0.0643647026838343	-0.00637738408684058	-0.0116745379641665	0.361310428526179	0.810947806625507	csCAF	KCNA7	0	TGF BETA SIGNALING	KCN-low	FALSE
HALLMARK_MYC_TARGETS_V2	4	0.0415309959295526	0.035405709858534	-0.00612528607101859	-0.00433155441937443	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	MYC TARGETS V2	KCN-low	FALSE
HALLMARK_APOPTOSIS	4	0.122854961727411	0.126409536640295	0.00355457491288305	0.00360744449047652	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	APOPTOSIS	KCN-high	FALSE
HALLMARK_ANDROGEN_RESPONSE	4	0.0744952411539643	0.0710193591846298	-0.00347588196933454	-0.00478856247202215	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	ANDROGEN RESPONSE	KCN-low	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	4	0.082783996046451	0.0854669077319591	0.00268291168550811	0.00230376470329326	0.361310428526179	0.810947806625507	csCAF	KCNA7	0	UNFOLDED PROTEIN RESPONSE	KCN-high	FALSE
HALLMARK_PROTEIN_SECRETION	4	0.0661460354902831	0.0688250596218273	0.00267902413154412	0.00189536363088461	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	PROTEIN SECRETION	KCN-high	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	4	0.0932845060577019	0.0906170777922943	-0.0026674282654076	-0.0006379910293733	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	INTERFERON GAMMA RESPONSE	KCN-low	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	4	0.0395325236778645	0.0370970652346513	-0.00243545844321319	-0.00316624235724059	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	IL6 JAK STAT3 SIGNALING	KCN-low	FALSE
HALLMARK_COMPLEMENT	4	0.0781351483075706	0.0803070348151566	0.00217188650758601	0.00162850060854336	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	COMPLEMENT	KCN-high	FALSE
HALLMARK_E2F_TARGETS	4	0.0287223130667017	0.0267261431097928	-0.00199616995690886	-0.000397716872817352	0.361310428526179	0.810947806625507	csCAF	KCNA7	0	E2F TARGETS	KCN-low	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	4	0.0682159157451152	0.0662907109764781	-0.00192520476863709	-0.00330720283293491	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	CHOLESTEROL HOMEOSTASIS	KCN-low	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4	0.135647400399034	0.137528658326755	0.00188125792772057	0.000921872047889835	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	OXIDATIVE PHOSPHORYLATION	KCN-high	FALSE
HALLMARK_ALLOGRAFT_REJECTION	4	0.0449325310142281	0.0466869763613398	0.00175444534711169	0.000961973929827858	0.361310428526179	0.810947806625507	csCAF	KCNA7	0	ALLOGRAFT REJECTION	KCN-high	FALSE
HALLMARK_FATTY_ACID_METABOLISM	4	0.0613141067518977	0.0596381804761978	-0.00167592627569984	-0.00120647860648024	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	FATTY ACID METABOLISM	KCN-low	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	4	0.0442135908403261	0.0425564774998486	-0.00165711334047749	-0.00167036116175321	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	ESTROGEN RESPONSE LATE	KCN-low	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	4	0.0414690342255155	0.0400622198290341	-0.00140681439648143	-0.00267371304870483	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	INFLAMMATORY RESPONSE	KCN-low	FALSE
HALLMARK_G2M_CHECKPOINT	4	0.0292831838436494	0.0280229450502307	-0.00126023879341871	-0.00120891107517734	0.361310428526179	0.810947806625507	csCAF	KCNA7	0	G2M CHECKPOINT	KCN-low	FALSE
HALLMARK_MYC_TARGETS_V1	4	0.122819582512408	0.123983094037011	0.0011635115246026	0.00107408111422046	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	MYC TARGETS V1	KCN-high	FALSE
HALLMARK_HEME_METABOLISM	4	0.0284707904703644	0.029530310901332	0.00105952043096758	0.0013222838938528	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	HEME METABOLISM	KCN-high	FALSE
HALLMARK_BILE_ACID_METABOLISM	4	0.0275443729433777	0.0266642264649671	-0.000880146478410585	-0.00100227659425163	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	BILE ACID METABOLISM	KCN-low	FALSE
HALLMARK_UV_RESPONSE_DN	4	0.0820006593433037	0.0828716601443874	0.000871000801083693	0.0012720349838754	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	UV RESPONSE DN	KCN-high	FALSE
HALLMARK_KRAS_SIGNALING_DN	4	0.0134162516173836	0.0127084688927792	-0.000707782724604486	-0.000868104149550633	0.583882420770365	0.810947806625507	csCAF	KCNA7	0	KRAS SIGNALING DN	KCN-low	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	4	0.133839926061856	0.137025126687921	0.00318520062606548	0.00942975635246532	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	FALSE
HALLMARK_HEDGEHOG_SIGNALING	4	0.022859580941179	0.0206744599163372	-0.00218512102484185	0.00200307957290667	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	HEDGEHOG SIGNALING	KCN-low	FALSE
HALLMARK_MTORC1_SIGNALING	4	0.0697952858234313	0.0676168794544429	-0.00217840636898841	-0.00443546460530088	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	MTORC1 SIGNALING	KCN-low	FALSE
HALLMARK_HYPOXIA	4	0.107230082845736	0.105767987081095	-0.00146209576464117	-0.00636964847910322	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	HYPOXIA	KCN-low	FALSE
HALLMARK_PEROXISOME	4	0.0473077504659492	0.0485794866229384	0.0012717361569892	0.00223869326116043	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	PEROXISOME	KCN-high	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	4	0.0196635907972494	0.018555852801611	-0.00110773799563835	0.00062557445489856	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	WNT BETA CATENIN SIGNALING	KCN-low	FALSE
