pathway	n_patients	mean_low	mean_high	delta_high_minus_low	median_delta	p_value	padj_BH	CellType2	gene	n_deg_methods	pathway_label	direction	significant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	26	0.180220252370134	0.193308600550356	0.0130883481802221	0.0104798754676471	7.42982484835311e-05	0.00371491242417656	csCAF	KCNE4	0	EPITHELIAL MESENCHYMAL TRANSITION	KCN-high	TRUE
HALLMARK_ADIPOGENESIS	26	0.0754182506094894	0.0788687255639735	0.00345047495448408	0.00293740669876869	0.000208816337855748	0.0052204084463937	csCAF	KCNE4	0	ADIPOGENESIS	KCN-high	TRUE
HALLMARK_HYPOXIA	26	0.0985900493880363	0.105074264475985	0.00648421508794847	0.00440576118432803	0.000877438473362198	0.00626741766687284	csCAF	KCNE4	0	HYPOXIA	KCN-high	TRUE
HALLMARK_MYC_TARGETS_V1	26	0.107369950124729	0.112503667408761	0.00513371728403174	0.00330956445589425	0.000665700801382122	0.00626741766687284	csCAF	KCNE4	0	MYC TARGETS V1	KCN-high	TRUE
HALLMARK_MYOGENESIS	26	0.0816284195073292	0.0860921711499557	0.00446375164262643	0.00428743145563363	0.000456743029480007	0.00626741766687284	csCAF	KCNE4	0	MYOGENESIS	KCN-high	TRUE
HALLMARK_APICAL_JUNCTION	26	0.0563609825777496	0.0596680171810672	0.00330703460331762	0.00344827973118957	0.000877438473362198	0.00626741766687284	csCAF	KCNE4	0	APICAL JUNCTION	KCN-high	TRUE
HALLMARK_FATTY_ACID_METABOLISM	26	0.0561953364743573	0.0584315488108595	0.00223621233650224	0.00158462709749535	0.000877438473362198	0.00626741766687284	csCAF	KCNE4	0	FATTY ACID METABOLISM	KCN-high	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	26	0.116759191570144	0.123973764456536	0.00721457288639104	0.00812460943109283	0.00125733897562792	0.00686792004591309	csCAF	KCNE4	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	TRUE
HALLMARK_APICAL_SURFACE	26	0.0508693634759049	0.0559576073132585	0.00508824383735358	0.00405092553583201	0.00137358400918262	0.00686792004591309	csCAF	KCNE4	0	APICAL SURFACE	KCN-high	TRUE
HALLMARK_UV_RESPONSE_UP	26	0.0573553440688071	0.0606476778805318	0.00329233381172476	0.0034444375572777	0.00137358400918262	0.00686792004591309	csCAF	KCNE4	0	UV RESPONSE UP	KCN-high	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	26	0.117659493927064	0.12307796639953	0.00541847247246605	0.00569580993031565	0.00194468035319196	0.00883945615087257	csCAF	KCNE4	0	OXIDATIVE PHOSPHORYLATION	KCN-high	TRUE
HALLMARK_UV_RESPONSE_DN	26	0.0818052506191327	0.0863205623225353	0.00451531170340255	0.00432679867182688	0.0027268531302402	0.00973876117942929	csCAF	KCNE4	0	UV RESPONSE DN	KCN-high	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	26	0.0762593721232776	0.0803486506317148	0.00408927850843724	0.00424085328480098	0.0027268531302402	0.00973876117942929	csCAF	KCNE4	0	UNFOLDED PROTEIN RESPONSE	KCN-high	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	26	0.0512995527606169	0.0535771348456441	0.00227758208502725	0.0020874564733129	0.00250812655209639	0.00973876117942929	csCAF	KCNE4	0	XENOBIOTIC METABOLISM	KCN-high	TRUE
HALLMARK_COAGULATION	26	0.116233837615183	0.120952394130038	0.00471855651485544	0.00400268710205445	0.00444709310569886	0.0138971659553089	csCAF	KCNE4	0	COAGULATION	KCN-high	TRUE
HALLMARK_MITOTIC_SPINDLE	26	0.0318879495946939	0.0306920911167464	-0.00119585847794754	-0.00111617028941757	0.00444709310569886	0.0138971659553089	csCAF	KCNE4	0	MITOTIC SPINDLE	KCN-low	TRUE
HALLMARK_TGF_BETA_SIGNALING	26	0.0685240348744835	0.0738787195347266	0.00535468466024313	0.00651819581060265	0.00520963099298918	0.0144711972027477	csCAF	KCNE4	0	TGF BETA SIGNALING	KCN-high	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	26	0.0993863739612583	0.103535447758608	0.00414907379734936	0.00461929153739844	0.00520963099298918	0.0144711972027477	csCAF	KCNE4	0	INTERFERON ALPHA RESPONSE	KCN-high	TRUE
HALLMARK_COMPLEMENT	26	0.0756894183031813	0.0781796074828697	0.00249018917968847	0.00154210002539263	0.00709854315362073	0.0186803767200546	csCAF	KCNE4	0	COMPLEMENT	KCN-high	TRUE
HALLMARK_P53_PATHWAY	26	0.0651563246834232	0.0673486181661602	0.00219229348273695	0.00194855306441365	0.00765800499340711	0.0191450124835178	csCAF	KCNE4	0	P53 PATHWAY	KCN-high	TRUE
HALLMARK_APOPTOSIS	26	0.117381183951133	0.121676674738594	0.00429549078746113	0.00238606108295871	0.00889687312696033	0.0211830312546675	csCAF	KCNE4	0	APOPTOSIS	KCN-high	TRUE
HALLMARK_KRAS_SIGNALING_UP	26	0.0434104051425267	0.0448718729048153	0.00146146776228862	0.00194643367739254	0.010311762574708	0.0234358240334273	csCAF	KCNE4	0	KRAS SIGNALING UP	KCN-high	TRUE
HALLMARK_PROTEIN_SECRETION	26	0.0649773429471103	0.067565227819316	0.00258788487220573	0.00332029656869115	0.0128102327502788	0.0266879848964142	csCAF	KCNE4	0	PROTEIN SECRETION	KCN-high	TRUE
HALLMARK_HEDGEHOG_SIGNALING	26	0.0278741546776788	0.0303105704906336	0.00243641581295485	0.00215587416828691	0.0128102327502788	0.0266879848964142	csCAF	KCNE4	0	HEDGEHOG SIGNALING	KCN-high	TRUE
