pathway	n_genes_in_matrix
HALLMARK_ADIPOGENESIS	194
HALLMARK_ALLOGRAFT_REJECTION	187
HALLMARK_ANDROGEN_RESPONSE	97
HALLMARK_ANGIOGENESIS	35
HALLMARK_APICAL_JUNCTION	193
HALLMARK_APICAL_SURFACE	41
HALLMARK_APOPTOSIS	159
HALLMARK_BILE_ACID_METABOLISM	107
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74
HALLMARK_COAGULATION	130
HALLMARK_COMPLEMENT	197
HALLMARK_DNA_REPAIR	149
HALLMARK_E2F_TARGETS	198
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	199
HALLMARK_ESTROGEN_RESPONSE_EARLY	198
HALLMARK_ESTROGEN_RESPONSE_LATE	196
HALLMARK_FATTY_ACID_METABOLISM	152
HALLMARK_G2M_CHECKPOINT	194
HALLMARK_GLYCOLYSIS	196
HALLMARK_HEDGEHOG_SIGNALING	35
HALLMARK_HEME_METABOLISM	186
HALLMARK_HYPOXIA	199
HALLMARK_IL2_STAT5_SIGNALING	196
HALLMARK_IL6_JAK_STAT3_SIGNALING	86
HALLMARK_INFLAMMATORY_RESPONSE	198
HALLMARK_INTERFERON_ALPHA_RESPONSE	96
HALLMARK_INTERFERON_GAMMA_RESPONSE	196
HALLMARK_KRAS_SIGNALING_DN	181
HALLMARK_KRAS_SIGNALING_UP	197
HALLMARK_MITOTIC_SPINDLE	198
HALLMARK_MTORC1_SIGNALING	197
HALLMARK_MYC_TARGETS_V1	184
HALLMARK_MYC_TARGETS_V2	57
HALLMARK_MYOGENESIS	188
HALLMARK_NOTCH_SIGNALING	32
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200
HALLMARK_P53_PATHWAY	191
HALLMARK_PANCREAS_BETA_CELLS	39
HALLMARK_PEROXISOME	103
HALLMARK_PI3K_AKT_MTOR_SIGNALING	104
HALLMARK_PROTEIN_SECRETION	96
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49
HALLMARK_SPERMATOGENESIS	112
HALLMARK_TGF_BETA_SIGNALING	54
HALLMARK_TNFA_SIGNALING_VIA_NFKB	199
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	108
HALLMARK_UV_RESPONSE_DN	143
HALLMARK_UV_RESPONSE_UP	154
HALLMARK_WNT_BETA_CATENIN_SIGNALING	41
HALLMARK_XENOBIOTIC_METABOLISM	193
