pathway	n_patients	mean_normal	mean_activated	delta_activated_minus_normal	median_delta	p_value	padj_BH	direction	pathway_label	significant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	31	-0.266313016676022	0.266057959912896	0.532370976588918	0.534172838011829	1.23371316587186e-06	1.2517769695082e-05	Activated	EPITHELIAL MESENCHYMAL TRANSITION	TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE	31	-0.175891321838658	0.163247988429132	0.339139310267789	0.331516712458859	2.68737457303359e-06	1.34368728651679e-05	Activated	INTERFERON ALPHA RESPONSE	TRUE
HALLMARK_ANGIOGENESIS	31	-0.170449170231514	0.150438794265436	0.32088796449695	0.315124813633596	2.01252848092637e-06	1.34368728651679e-05	Activated	ANGIOGENESIS	TRUE
HALLMARK_COAGULATION	31	-0.13826852918275	0.175397574826785	0.313666104009535	0.333627510916272	1.50213236340984e-06	1.2517769695082e-05	Activated	COAGULATION	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	31	-0.127775603532906	0.123586253302132	0.251361856835037	0.254037563363092	2.44133249807209e-06	1.34368728651679e-05	Activated	INTERFERON GAMMA RESPONSE	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	31	-0.089694979553287	0.159561085883291	0.249256065436578	0.231063270879	1.23371316587186e-06	1.2517769695082e-05	Activated	INFLAMMATORY RESPONSE	TRUE
HALLMARK_KRAS_SIGNALING_UP	31	-0.122132503471146	0.126163705623495	0.248296209094641	0.229945438434069	1.50213236340984e-06	1.2517769695082e-05	Activated	KRAS SIGNALING UP	TRUE
HALLMARK_COMPLEMENT	31	-0.103987161824054	0.10942597847887	0.213413140302924	0.188077841758691	1.50213236340984e-06	1.2517769695082e-05	Activated	COMPLEMENT	TRUE
HALLMARK_HEDGEHOG_SIGNALING	31	-0.0810602787190991	0.120296239527373	0.201356518246472	0.212066579186384	1.29925051976782e-05	3.24812629941956e-05	Activated	HEDGEHOG SIGNALING	TRUE
HALLMARK_APICAL_SURFACE	31	-0.0765654942278667	0.0998792313097776	0.176444725537644	0.161880639798903	0.000138110401649372	0.000300240003585592	Activated	APICAL SURFACE	TRUE
HALLMARK_IL2_STAT5_SIGNALING	31	-0.084404885440352	0.0768988692591724	0.161303754699524	0.134666963556912	2.44133249807209e-06	1.34368728651679e-05	Activated	IL2 STAT5 SIGNALING	TRUE
HALLMARK_ALLOGRAFT_REJECTION	31	-0.0475819026178817	0.1053843018495	0.152966204467382	0.160399416415781	4.31941002443374e-06	1.79975417684739e-05	Activated	ALLOGRAFT REJECTION	TRUE
HALLMARK_UV_RESPONSE_DN	31	-0.116228354546079	0.0355521906654582	0.151780545211537	0.180372339243398	1.18773120180522e-05	3.12560842580321e-05	Activated	UV RESPONSE DN	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	31	-0.058272942790338	0.0895196117309895	0.147792554521328	0.119730237399171	1.18773120180522e-05	3.12560842580321e-05	Activated	IL6 JAK STAT3 SIGNALING	TRUE
HALLMARK_GLYCOLYSIS	31	-0.0829889857824971	0.0387847492681335	0.121773735050631	0.126370505553852	1.08538398852078e-05	3.12560842580321e-05	Activated	GLYCOLYSIS	TRUE
HALLMARK_APICAL_JUNCTION	31	-0.0646301977316229	0.0553350127086586	0.119965210440281	0.120376473955422	4.03482850495369e-05	9.17006478398566e-05	Activated	APICAL JUNCTION	TRUE
HALLMARK_APOPTOSIS	31	-0.082963709564824	0.0148518570139518	0.0978155665787757	0.111263675261346	0.0011818351004496	0.00236367020089919	Activated	APOPTOSIS	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	31	-0.0611031658823372	0.0358933376266121	0.0969965035089492	0.110332918065888	0.00135515947555073	0.00260607591452064	Activated	XENOBIOTIC METABOLISM	TRUE
HALLMARK_TGF_BETA_SIGNALING	31	-0.0959932288284994	-0.00859049814397478	0.0874027306845246	0.0694323215612796	0.0445747034045688	0.0655510344184835	Activated	TGF BETA SIGNALING	FALSE
HALLMARK_PROTEIN_SECRETION	31	-0.100418720424925	-0.013499987661819	0.0869187327631062	0.0904715972202228	0.0015516717326803	0.00277084237978624	Activated	PROTEIN SECRETION	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	31	-0.0893566230938221	-0.00890321930837341	0.0804534037854487	0.0294104624272008	0.101774408194147	0.141353344714093	Activated	WNT BETA CATENIN SIGNALING	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	31	-0.0887951343741911	-0.00849277900418756	0.0803023553700036	0.0742042032354472	0.00839551929569005	0.0139925321594834	Activated	UNFOLDED PROTEIN RESPONSE	TRUE
HALLMARK_NOTCH_SIGNALING	31	-0.0693905167467289	-0.00785056926813142	0.0615399474785975	0.0387902757635444	0.105939821887558	0.143161921469673	Activated	NOTCH SIGNALING	FALSE
HALLMARK_ANDROGEN_RESPONSE	31	-0.0645085386626496	-0.0315906012779658	0.0329179373846838	0.0377613662018725	0.185912944389555	0.238349928704557	Activated	ANDROGEN RESPONSE	FALSE
HALLMARK_G2M_CHECKPOINT	31	-0.0160522267410728	0.014061519123384	0.0301137458644568	0.0175676395301841	0.179478216762396	0.236155548371573	Activated	G2M CHECKPOINT	FALSE
HALLMARK_HYPOXIA	31	-0.0430755845139732	-0.0129833152562113	0.0300922692577619	0.00318260773430648	0.474439816539195	0.539136155158176	Activated	HYPOXIA	FALSE
