pathway	n_patients	mean_normal	mean_activated	delta_activated_minus_normal	median_delta	p_value	padj_BH	direction	pathway_label	significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION	31	0.239427886867427	-0.340988752387186	-0.580416639254613	-0.522482545974706	1.36157542826984e-06	1.2517769695082e-05	Normal	OXIDATIVE PHOSPHORYLATION	TRUE
HALLMARK_ADIPOGENESIS	31	0.049363997919512	-0.173263267248387	-0.222627265167899	-0.229295311955627	6.8787205180584e-06	2.64566173771477e-05	Normal	ADIPOGENESIS	TRUE
HALLMARK_MYC_TARGETS_V1	31	0.0623602113376072	-0.15164565952408	-0.214005870861687	-0.200601889979157	7.54124814585408e-06	2.6933029092336e-05	Normal	MYC TARGETS V1	TRUE
HALLMARK_DNA_REPAIR	31	0.0531766233064053	-0.146440579264788	-0.199617202571193	-0.173085854399709	3.93121139042519e-06	1.78691426837508e-05	Normal	DNA REPAIR	TRUE
HALLMARK_MYOGENESIS	31	0.0659615334976712	-0.0926857772757995	-0.158647310773471	-0.178261251744359	9.91490567001748e-06	3.09840802188046e-05	Normal	MYOGENESIS	TRUE
HALLMARK_FATTY_ACID_METABOLISM	31	0.0313464165289712	-0.108021611893676	-0.139368028422647	-0.158011941603045	2.41012486867377e-05	5.73839254446136e-05	Normal	FATTY ACID METABOLISM	TRUE
HALLMARK_UV_RESPONSE_UP	31	0.0304139723249281	-0.0993252616803323	-0.12973923400526	-0.106723061564533	9.91490567001748e-06	3.09840802188046e-05	Normal	UV RESPONSE UP	TRUE
HALLMARK_PEROXISOME	31	0.0180472636469112	-0.0819129593934995	-0.0999602230404108	-0.084099876302258	0.0015516717326803	0.00277084237978624	Normal	PEROXISOME	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	31	0.0181554047522652	-0.0788607983752151	-0.0970162031274803	-0.105077788233759	0.000299696085534808	0.000624366844864183	Normal	PI3K AKT MTOR SIGNALING	TRUE
HALLMARK_HEME_METABOLISM	31	0.00187530184175737	-0.0571138706491775	-0.0589891724909349	-0.0657140522450074	0.00230935745216598	0.00398165077959652	Normal	HEME METABOLISM	TRUE
HALLMARK_E2F_TARGETS	31	0.0167298736090077	-0.032561382419096	-0.0492912560281037	-0.0611212548110725	0.0318872080930468	0.0498237626453856	Normal	E2F TARGETS	TRUE
HALLMARK_KRAS_SIGNALING_DN	31	0.0889411920498868	0.0545654745346365	-0.0343757175152503	-0.0363363454052942	0.0139182488688089	0.0224487884980789	Normal	KRAS SIGNALING DN	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	31	-0.0887951343741911	-0.00849277900418756	0.0803023553700036	0.0742042032354472	0.00839551929569005	0.0139925321594834	Activated	UNFOLDED PROTEIN RESPONSE	TRUE
HALLMARK_PROTEIN_SECRETION	31	-0.100418720424925	-0.013499987661819	0.0869187327631062	0.0904715972202228	0.0015516717326803	0.00277084237978624	Activated	PROTEIN SECRETION	TRUE
HALLMARK_XENOBIOTIC_METABOLISM	31	-0.0611031658823372	0.0358933376266121	0.0969965035089492	0.110332918065888	0.00135515947555073	0.00260607591452064	Activated	XENOBIOTIC METABOLISM	TRUE
