Patient	Dataset	StromaState	n_cells	sample_id
PDAC2	Powers	Normal	47	PDAC2___Normal
PDAC2	Powers	Activated	1924	PDAC2___Activated
peng_N1	Peng	Normal	397	peng_N1___Normal
peng_N1	Peng	Activated	381	peng_N1___Activated
peng_N10	Peng	Normal	42	peng_N10___Normal
peng_N10	Peng	Activated	22	peng_N10___Activated
peng_N11	Peng	Normal	28	peng_N11___Normal
peng_N11	Peng	Activated	22	peng_N11___Activated
peng_N2	Peng	Normal	223	peng_N2___Normal
peng_N2	Peng	Activated	232	peng_N2___Activated
peng_N3	Peng	Normal	172	peng_N3___Normal
peng_N3	Peng	Activated	40	peng_N3___Activated
peng_N4	Peng	Normal	85	peng_N4___Normal
peng_N4	Peng	Activated	48	peng_N4___Activated
peng_N6	Peng	Normal	214	peng_N6___Normal
peng_N6	Peng	Activated	124	peng_N6___Activated
peng_N7	Peng	Normal	118	peng_N7___Normal
peng_N7	Peng	Activated	58	peng_N7___Activated
peng_N8	Peng	Normal	263	peng_N8___Normal
peng_N8	Peng	Activated	203	peng_N8___Activated
peng_N9	Peng	Normal	124	peng_N9___Normal
peng_N9	Peng	Activated	235	peng_N9___Activated
peng_T1	Peng	Normal	89	peng_T1___Normal
peng_T1	Peng	Activated	248	peng_T1___Activated
peng_T10	Peng	Normal	112	peng_T10___Normal
peng_T10	Peng	Activated	222	peng_T10___Activated
peng_T12	Peng	Normal	71	peng_T12___Normal
peng_T12	Peng	Activated	319	peng_T12___Activated
peng_T13	Peng	Normal	199	peng_T13___Normal
peng_T13	Peng	Activated	522	peng_T13___Activated
peng_T14	Peng	Normal	108	peng_T14___Normal
peng_T14	Peng	Activated	186	peng_T14___Activated
peng_T15	Peng	Normal	140	peng_T15___Normal
peng_T15	Peng	Activated	1165	peng_T15___Activated
peng_T16	Peng	Normal	94	peng_T16___Normal
peng_T16	Peng	Activated	673	peng_T16___Activated
peng_T17	Peng	Normal	23	peng_T17___Normal
peng_T17	Peng	Activated	305	peng_T17___Activated
peng_T18	Peng	Normal	81	peng_T18___Normal
peng_T18	Peng	Activated	967	peng_T18___Activated
peng_T19	Peng	Normal	660	peng_T19___Normal
peng_T19	Peng	Activated	1046	peng_T19___Activated
peng_T2	Peng	Normal	25	peng_T2___Normal
peng_T2	Peng	Activated	62	peng_T2___Activated
peng_T20	Peng	Normal	58	peng_T20___Normal
peng_T20	Peng	Activated	93	peng_T20___Activated
peng_T22	Peng	Normal	26	peng_T22___Normal
peng_T22	Peng	Activated	118	peng_T22___Activated
peng_T23	Peng	Normal	56	peng_T23___Normal
peng_T23	Peng	Activated	1282	peng_T23___Activated
peng_T24	Peng	Normal	467	peng_T24___Normal
peng_T24	Peng	Activated	917	peng_T24___Activated
peng_T3	Peng	Normal	119	peng_T3___Normal
peng_T3	Peng	Activated	339	peng_T3___Activated
peng_T4	Peng	Normal	46	peng_T4___Normal
peng_T4	Peng	Activated	176	peng_T4___Activated
peng_T5	Peng	Normal	173	peng_T5___Normal
peng_T5	Peng	Activated	238	peng_T5___Activated
peng_T6	Peng	Normal	147	peng_T6___Normal
peng_T6	Peng	Activated	216	peng_T6___Activated
peng_T7	Peng	Normal	125	peng_T7___Normal
peng_T7	Peng	Activated	299	peng_T7___Activated
