gene	pct_cells_overall	n_subtypes_ge1pct	keep_for_subtype_methods	pct_csCAF	pct_iCAF	pct_myCAF	pct_qPSC	pct_smPSC
KCNAB1	4.43	3	TRUE	0.707	1.775	0.769	2.577	12.57
KCNAB2	1.646	4	TRUE	1.579	0.888	1.768	1.793	1.485
KCNC4	3.767	5	TRUE	1.462	6.805	2.1	4.562	5.977
KCND3	2.174	4	TRUE	5.021	2.663	2.287	1.515	0.543
KCNE4	25.822	5	TRUE	20.698	22.189	17.987	36.723	25.466
KCNK1	2.692	5	TRUE	3.23	9.172	4.824	1.358	1.413
KCNK3	1.98	2	TRUE	0.684	0.592	0.208	2.09	4.492
KCNMB1	16.283	5	TRUE	20.415	8.284	11.229	9.037	25.539
KCNMB2	0.218	1	FALSE	0.495	1.479	0.208	0.07	0.091
KCNMB3	1.08	3	TRUE	1.202	0.888	1.164	0.958	1.051
KCNN3	1.026	2	TRUE	2.051	0.888	1.622	0.296	0.489
KCNS3	11.63	5	TRUE	9.052	4.142	9.732	14.94	12.28
KCNT2	1.307	4	TRUE	2.098	1.775	1.123	1.497	0.634
KCND1	0.242	0	FALSE	0.401	0	0.416	0.122	0.109
KCND2	2.101	3	TRUE	3.159	1.479	4.866	0.784	0.29
KCNE3	0.881	3	FALSE	1.485	1.183	1.268	0.453	0.507
KCNH2	0.092	0	FALSE	0.118	0.296	0.104	0.035	0.109
KCNK16	0.242	0	FALSE	0.118	0	0.083	0.575	0.145
KCNK17	11.248	4	TRUE	2.664	2.071	0.811	22.288	16.012
KCNK5	0.92	0	FALSE	0.896	0.592	0.977	0.94	0.888
KCNMA1	2.687	4	TRUE	1.249	2.663	4.45	0.435	4.601
KCNQ1	0.77	0	FALSE	0.778	0.592	0.728	0.905	0.67
KCNQ3	0.993	1	FALSE	0.566	0.888	0.27	2.124	0.779
KCNA5	5.835	2	TRUE	0.165	0	0.125	3.395	18.058
KCNAB3	0.6	2	FALSE	1.202	1.183	0.624	0.383	0.308
KCNB1	0.688	1	FALSE	0.236	0	0.146	0.784	1.449
KCNG1	0.271	0	FALSE	0.377	0.592	0.374	0.174	0.181
KCNJ12	0.421	2	FALSE	0.471	1.183	1.04	0.087	0.145
KCNJ2	0.46	0	FALSE	0.566	0	0.624	0.209	0.525
KCNJ8	17.62	5	TRUE	15.111	7.101	6.841	36.444	9.998
KCNMB4	2.368	5	TRUE	2.852	2.071	3.556	1.358	2.029
KCNC1	0.833	2	FALSE	0.613	0.296	0.561	1.08	1.014
KCNC3	0.494	1	FALSE	0.165	0	0.146	1.167	0.38
KCNE1	0.097	0	FALSE	0.094	0.296	0.083	0.087	0.109
KCNH6	0	0	FALSE	0	0	0	0	0
KCNH8	0.15	0	FALSE	0.094	0.296	0.104	0.174	0.199
KCNJ14	0.47	1	FALSE	0.66	1.775	0.541	0.366	0.29
KCNJ15	2.808	5	TRUE	3.182	2.663	3.223	2.246	2.753
KCNJ16	1.83	5	TRUE	2.169	1.183	1.248	1.828	2.119
KCNJ3	0.039	0	FALSE	0.047	0	0	0.052	0.054
KCNJ5	0.097	0	FALSE	0.047	0	0.208	0.104	0.036
KCNJ6	0.499	0	FALSE	0.448	0	0.977	0.348	0.308
KCNK13	0.015	0	FALSE	0	0	0.021	0.017	0.018
KCNK15	1.007	2	TRUE	2.263	2.367	0.853	0.505	0.616
KCNK2	0.842	2	FALSE	2.428	0	1.248	0.07	0.127
KCNK6	5.888	5	TRUE	5.87	2.071	6.8	8.55	2.572
KCNK7	0.073	0	FALSE	0.071	0	0.021	0.035	0.163
KCNN2	0.068	0	FALSE	0.024	0.296	0.062	0.087	0.072
KCNN4	1.68	5	TRUE	1.273	3.254	2.599	1.463	1.322
KCNQ4	0.76	1	FALSE	0.283	0	0.229	0.749	1.648
KCNRG	0.261	0	FALSE	0.212	0.296	0.208	0.348	0.254
KCNIP3	0.45	0	FALSE	0.401	0.296	0.291	0.54	0.543
KCNJ13	0	0	FALSE	0	0	0	0	0
KCNK12	0.107	0	FALSE	0.212	0	0.146	0.07	0.036
KCNE5	0.034	0	FALSE	0.047	0	0.042	0.052	0
KCNK9	0.01	0	FALSE	0	0.296	0	0.017	0
KCNQ5	0.169	0	FALSE	0.118	0	0.437	0.052	0.109
KCNH3	0.024	0	FALSE	0.047	0	0	0.035	0.018
KCNIP2	0.276	0	FALSE	0.401	0	0.187	0.366	0.181
KCNJ11	0.024	0	FALSE	0	0	0	0.035	0.054
KCNA7	2	5	TRUE	1.792	3.846	1.331	2.577	2.029
