gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
ADIRF	667.735828348405	-3.73628280536089	0.12566401916604	-29.732319801296	2.93566386122941e-194	3.70480779287151e-190
NDUFA4L2	348.001877967284	-5.50145671952842	0.20259221833705	-27.1553209925157	2.19096058062232e-162	1.38249612637269e-158
COL1A2	1782.67304469795	2.60843258701459	0.10835330891478	24.073400370875	4.74918094827475e-128	1.99782211890758e-124
COL1A1	2037.42043663259	3.26048462309331	0.136146094857329	23.948425597591	9.59586724262354e-127	3.02749611504773e-123
RGS5	1245.65813670299	-6.54810002938841	0.293300080402375	-22.3255991624862	2.08475137743541e-110	5.26191247664697e-107
CRIP1	492.447075737639	-3.27667420168374	0.155644713739813	-21.0522678409834	2.17995690099682e-98	4.58517601509664e-95
MMP2	176.623881698278	4.8829575944636	0.233395292533437	20.9214056610163	3.41887204011573e-97	6.16373787803721e-94
COL3A1	1773.46914999313	2.21469148623283	0.107258759093202	20.648117738416	1.01497931402515e-94	1.60112986787468e-91
SEPTIN4	71.2704565615445	-2.87696110206557	0.139981517756002	-20.5524354085111	7.31973242965235e-94	1.02638914735792e-90
SFRP2	607.270888979774	6.45960608795496	0.318402294416848	20.2875613688202	1.65608429617689e-91	2.08997838177523e-88
CTHRC1	259.227270842899	5.01728354280984	0.249426530567259	20.1152761552641	5.42362136105423e-90	6.22237287059131e-87
ARHGDIB	127.187443555033	-2.9260778977223	0.145906013900912	-20.054539353734	1.84242179196069e-89	1.93761358454533e-86
CSRP2	107.689739075287	-3.30625902690206	0.165264902766524	-20.005814734741	4.90112233222533e-89	4.75785875636029e-86
C1QTNF3	31.0984718475641	4.8301082991401	0.242397060010019	19.9264310340252	2.40084337070299e-88	2.16418880987655e-85
LRP1	55.754395936917	2.43320061651735	0.122846081842222	19.8069045428933	2.59559148073405e-87	2.18375763245758e-84
HTRA1	95.7643338792251	2.65041367887595	0.137571357292014	19.2657376582401	1.04170413590584e-82	8.21644137195731e-80
OAZ2	79.5572833404004	-2.62000330064168	0.137981625069336	-18.9880594559248	2.14095118581142e-80	1.58934140970236e-77
PPIC	84.9025780333934	1.41766113120692	0.0747186144665365	18.9733327006731	2.83359410406703e-80	1.98666431074033e-77
TIMP2	124.428224485496	1.71620870590912	0.0911929474397287	18.8195332434386	5.22427537540544e-79	3.47001869671667e-76
LUM	1241.8213889811	4.56783452611595	0.243274188864969	18.7764865127199	1.17609668618804e-78	7.42117008984655e-76
COL5A1	119.095993403057	2.2795710874075	0.121898683638726	18.7005389997772	4.90068387325223e-78	2.94507764192586e-75
APOLD1	57.8967605595871	-3.09467400038373	0.165844214281018	-18.6601263951235	1.0448378659934e-77	5.99356994038034e-75
CRIP2	83.2933889999565	-1.55574283882484	0.0842003421425525	-18.4766807264387	3.18162754452349e-76	1.7457452005168e-73
