pathway	pval	padj	log2err	ES	NES	size	leadingEdge	pathway_label	enriched_in	direction_rank
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.10529892489576e-35	5.5264946244788e-34	1.55654423323138	-0.750023905696861	-2.75505996632388	200	ATP5F1B;SLC25A5;COX5B;COX7B;ATP5MC3;CYCS;ATP5F1A;CYC1;NDUFA6;NDUFS7;PDK4;SLC25A3;SDHD;COX6A1;LDHB;UQCRFS1;ATP5MC2;COX7A2;NDUFS2;ATP5F1D;UQCRC2;SLC25A6;NDUFB1;COX8A;COX4I1;SDHB;ATP5PO;COX6C;ATP5F1C;SLC25A4;NDUFB2;ATP5MG;NDUFB8;ATP5PB;NDUFS6;MDH2;IDH3B;NDUFAB1;NDUFA1;ACAT1;PRDX3;POR;SUCLG1;ATP5PD;ACO2;MDH1;NDUFA7;IDH3G;UQCR11;NDUFB4;UQCRC1;HSD17B10;ATP6V1E1;SDHC;NDUFS3;MGST3;ATP5ME;POLR2F;VDAC2;ATP5MF;ISCA1;NDUFB3;ACADVL;TOMM22;NDUFA5;UQCRH;MRPL35;SUCLA2;NDUFV2;NDUFB7;UQCRB;ATP5MC1;COX17;NDUFB6;COX5A;HADHA;COX6B1;FDX1;MRPS12;NDUFV1;MRPL34;MRPL15;NDUFB5;ATP6V1G1;NDUFA2;ISCU;ECH1;FH;HSPA9;NDUFS8;PDHB;TIMM17A;NDUFA8;PDHX;NDUFA9;SDHA;COX11;RHOT1;TIMM8B;VDAC3;HADHB;IMMT;MRPS22;ATP6V0B;ETFA;MRPS15;PHB2;ATP5PF;MRPS11;DLD;DLAT;IDH3A;UQCR10;SLC25A11;SURF1;TIMM13;MRPL11;CYB5R3;TIMM10;DECR1;LDHA;NDUFS4;COX7C;HCCS;BAX;HTRA2;NDUFA3;NDUFS1;NDUFC1;MRPS30;MPC1;ATP5F1E;ECI1;ACAA1;ALAS1;GLUD1;PDHA1;GRPEL1;CS;GPI;TIMM50;COX7A2L;UQCRQ;SLC25A12	Oxidative Phosphorylation	qPSC	2.75505996632388
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.69192323601225e-29	1.17298080900306e-27	1.40258870935552	0.710389495329529	2.68812309282999	199	COL1A2;COL1A1;MMP2;COL3A1;CTHRC1;LRP1;HTRA1;LUM;COL5A1;FBN1;THBS2;VCAN;MXRA5;FBLN2;CDH11;COL6A3;DCN;COL5A2;INHBA;MFAP5;MMP14;FBLN5;COL16A1;LOX;FBLN1;FN1;SFRP4;DPYSL3;LOXL1;COL12A1;FAP;SGCD;PLOD2;COL8A2;GAS1;POSTN;BASP1;NTM;SPOCK1;GJA1;COMP;IGFBP3;DAB2;LAMA2;PDLIM4;SLIT2;NT5E;COL11A1;GREM1;ELN;CXCL12;CALU;NOTCH2;ADAM12;PLAUR;FSTL1;TNFRSF12A;ABI3BP;EFEMP2;ITGB5;RGS4;WNT5A;TGM2;IL32;EDIL3;QSOX1;COPA;ID2;WIPF1;GADD45A;SERPINE2;SFRP1;CCN1;CCN2;SDC1;SERPINE1;SAT1;PRRX1;COL7A1;FMOD;P3H1;SERPINH1;GLIPR1;THBS1;COL6A2;ITGA2;ITGA5;MATN3;GPX7;FZD8;VEGFA;EMP3;PTHLH;ITGAV;MEST;VEGFC;CAPG;COLGALT1;GPC1;TIMP3;CDH2;FGF2;MATN2;NNMT;TFPI2	Epithelial Mesenchymal Transition	myCAF	2.68812309282999
HALLMARK_MYC_TARGETS_V1	1.51306785887635e-23	2.52177976479391e-22	1.25451347943706	-0.702366665197907	-2.55356055192181	184	UBA2;CYC1;PSMB3;EIF4A1;SLC25A3;HPRT1;PSMA7;CCT3;PSMA4;TUFM;PPIA;PSMA6;UBE2E1;PSMC6;PABPC1;MRPS18B;NDUFAB1;XRCC6;PSMC4;PRDX3;C1QBP;CCT5;PSMD8;MYC;SSBP1;HNRNPA3;RAN;ERH;EIF4E;SRSF3;NOP16;DDX18;CCT7;SNRPG;MRPL9;EIF3D;PPM1G;VBP1;PA2G4;RANBP1;SNRPD1;PSMB2;RACK1;CNBP;PSMD7;COX5A;SERBP1;PSMA1;HNRNPA1;CCT4;HNRNPA2B1;BUB3;HDDC2;PSMA2;NHP2;DUT;SSB;CCT2;HNRNPR;POLD2;PRPF31;SNRPB2;EIF2S1;VDAC3;SRSF7;NOP56;IMPDH2;NOLC1;U2AF1;UBE2L3;EIF2S2;COPS5;DDX21;HDAC2;PHB2;APEX1;HSP90AB1;STARD7;EIF1AX;SNRPD3;FBL;LSM2;YWHAQ;TCP1;EEF1B2;MCM5;GLO1;AIMP2;HNRNPC;RUVBL2;LDHA;SNRPD2;PSMD3;DEK;PSMD14;ILF2;RSL1D1;EIF3J;RNPS1;RRP9;MCM7;PCBP1;KPNA2;G3BP1;HSPD1;EIF4G2;TARDBP;SRSF2;HSPE1;DHX15;TRA2B;PTGES3;CTPS1;ETF1;MAD2L1;NME1;PWP1;TYMS;MRPL23;VDAC1;ACP1;SNRPA;CDK2	Myc Targets V1	qPSC	2.55356055192181
HALLMARK_E2F_TARGETS	2.1692052239228e-09	2.71150652990351e-08	0.774939030136436	-0.537730022010153	-1.96914296623621	196	MTHFD2;CDKN1B;CDKN2C;PSIP1;SNRPB;XRCC6;SSRP1;MYC;DDX39A;KIF22;RAN;NASP;SMC1A;PA2G4;ING3;RANBP1;POLE4;MCM3;SMC6;DUT;EXOSC8;LBR;POLD2;EIF2S1;PHF5A;NOP56;RBBP7;TUBG1;HMGB2;NOLC1;RFC2;BRMS1L;DCTPP1;POP7;DNMT1;RAD51C;MCM5;BARD1;LYAR;DEK;SLBP;TBRG4;MCM7;CKS2;POLA2;PNN;KPNA2;RPA3;SRSF2;TRA2B;HELLS;CDKN1A;CTPS1;ATAD2;DCK;AK2;DCLRE1B;MAD2L1;PAICS;NME1;ASF1A;LMNB1;PPM1D;TIPIN;TP53;UBE2T;TIMELESS;MLH1;CNOT9;PCNA;CDK4	E2f Targets	qPSC	1.96914296623621
HALLMARK_ADIPOGENESIS	3.90809194895269e-08	3.90809194895269e-07	0.719512826338911	-0.528381896920847	-1.93370449367159	193	GPX3;FABP4;ITGA7;SNCG;CHCHD10;STOM;CD36;CAVIN2;COX7B;MGLL;CYC1;SPARCL1;ANGPT1;LPL;COX6A1;CDKN2C;ATP1B3;COX8A;CAT;PPARG;SDHB;TOB1;ATP5PO;GHITM;MDH2;NDUFAB1;MYLK;PRDX3;POR;SUCLG1;ACO2;IDH3G;UQCR11;CD151;UQCRC1;APOE;SDHC;NDUFS3;MGST3;ALDOA;NDUFA5;TKT;NDUFB7;SOD1;PIM3;MRPL15;TALDO1;ECH1;APLP2;BCL6;ANGPTL4;IMMT;ADCY6;DDT;COL4A1;PTGER3;FZD4;DLD;DLAT;IDH3A;UQCR10;QDPR;LAMA4;PFKL;MTCH2	Adipogenesis	qPSC	1.93370449367159
HALLMARK_COAGULATION	2.6644687754874e-07	2.2203906462395e-06	0.674962860011025	0.561613714373129	2.03615436107513	116	MMP2;LRP1;HTRA1;CTSK;FBN1;MMP14;FN1;C3;COMP;MMP11;S100A13;CTSB;CFD;PLAT;F3;SERPINE1;PLAU;ARF4;CLU;C1S;LAMP2;THBS1;CTSH;ITGA2;FYN;KLF7;CTSO;ANXA1;CAPN2;DUSP6;F2RL2;TIMP3;GNG12;TFPI2;ANG;DPP4;MMP1	Coagulation	myCAF	2.03615436107513
HALLMARK_MYC_TARGETS_V2	1.30147420388418e-06	8.13421377427612e-06	0.643551836150722	-0.663744681222588	-2.03940482594311	57	NDUFAF4;MYBBP1A;MYC;NOP16;DDX18;PA2G4;EXOSC5;WDR74;BYSL;NOP56;NOLC1;DCTPP1;WDR43;MCM5;AIMP2;MRTO4;IMP4;TBRG4;RRP9;NOC4L;GRWD1;HSPD1;HSPE1;FARSA;PPAN;NIP7;NOP2;TFB2M;PES1;PRMT3;SUPV3L1;CDK4;MCM4;UNG;NPM1;MPHOSPH10;RABEPK;LAS1L	Myc Targets V2	qPSC	2.03940482594311
HALLMARK_DNA_REPAIR	1.13959677917455e-06	8.13421377427612e-06	0.643551836150722	-0.524962430725414	-1.85206300370472	148	BCAM;HPRT1;MPG;SSRP1;ADRM1;POLR2K;RBX1;POLR2F;VPS28;COX17;POLE4;ADA;DUT;GTF2B;NELFE;SNAPC5;GMPR2;AK1;POLR2G;IMPDH2;ADCY6;TSG101;RFC2;SURF1;EIF1B;POLR2E;GTF2A2;BOLA2;EDF1;MRPL40;AK3;GUK1;POLR3GL;GTF2F1;POLD4;POLR2H;UMPS;NELFCD;POLA2;BCAP31;POLR1D;RFC5;RPA3;CLP1;POLR1C;SUPT4H1;POLR2I;ITPA;REV3L;POLR2J;TAF12;NT5C;NME1;TYMS;NME4;SF3A3;TP53;MPC2;NME3;NUDT9;DGUOK;PCNA;TAF9;FEN1;ALYREF;PRIM1;TAF6;UPF3B;ZWINT;HCLS1;TMED2;GTF2H3;POLR2D;AAAS;POLL;RAE1;NCBP2	Dna Repair	qPSC	1.85206300370472
HALLMARK_UV_RESPONSE_DN	2.82110142254864e-05	0.000156727856808258	0.575610261071129	0.478123874156433	1.77512531056356	143	COL1A2;COL1A1;COL3A1;COL5A2;FBLN5;GJA1;EFEMP1;DAB2;ANXA2;COL11A1;CELF2;RUNX1;LTBP1;NOTCH2;SMAD7;RGS4;IGF1R;IRS1;F3;LPAR1;CCN1;HAS2;SERPINE1;ADD3;DLG1;ATXN1;PDLIM5;ABCC1;SIPA1L1;INSIG1;FYN;PRDM2;ACVR2A;SYNJ2;RASA2;DDAH1;IGFBP5;FZD2;GCNT1;PIAS3;ERBB2;PTPRM;SLC7A1;PTPN21;SYNE1;MAGI2;VLDLR;CDK13;PMP22;TGFBR2	Uv Response Dn	myCAF	1.77512531056356
HALLMARK_HYPOXIA	8.28536399940332e-05	0.000414268199970166	0.538434096309916	0.425166976947224	1.5947201402715	191	COL5A1;DCN;LOX;KDELR3;TMEM45A;SDC3;PAM;HDLBP;IGFBP3;IRS2;ANXA2;SLC6A6;NDRG1;PLAUR;LXN;PGM1;WSB1;TGM2;ACKR3;F3;P4HA2;DDIT4;CA12;CCN1;CCN2;RORA;SERPINE1;P4HA1;CCNG2;TPBG;IDS;HEXA;GAA;KLF7;ZNF292;FOXO3;VEGFA;PIM1;ERRFI1;SCARB1;FOSL2;TPST2;GPC1;GPC4;BNIP3L;KLF6;EXT1;AK4;VLDLR;EGFR;SDC4;ADM;CDKN1C;KLHL24;BGN;HK2;AMPD3;SIAH2;XPNPEP1;PRKCA;CCN5;ENO2	Hypoxia	myCAF	1.5947201402715
HALLMARK_APICAL_JUNCTION	0.000229133307971816	0.00104151503623553	0.518848077743792	0.421616462292937	1.58671890972214	177	MMP2;FBN1;VCAN;CDH11;CERCAM;COL16A1;MPZL1;NEGR1;MYH10;B4GALT1;SDC3;LIMA1;SLIT2;CNN2;FSCN1;CNTN1;CD99;IRS1;SIRPA;DLG1;NLGN2;BAIAP2;INSIG1;CLDN11;ITGA2;THBS3;WASL;SHC1;LAYN;ITGA9;ACTN1;TSPAN4;CD276;CD34;JUP;NRXN2;AKT2;FLNC;TMEM8B;PLCG1;PKD1;GNAI2;TRO;EGFR	Apical Junction	myCAF	1.58671890972214
HALLMARK_KRAS_SIGNALING_UP	0.000348920132819423	0.0014538338867476	0.49849310876659	0.415317460616981	1.5590116791912	188	INHBA;SPON1;ITGBL1;APOD;GPNMB;ANKH;GFPT2;IGFBP3;MMP11;ALDH1A3;PLAUR;MAFB;PLAT;TMEM158;EPB41L3;SCG5;ID2;EMP1;PLAU;PRRX1;TOR1AIP2;IGF2;HSD11B1;ITGA2;ADAM17;KLF4;ENG;ETV1;LY96;F13A1;IL33;DUSP6;JUP;RABGAP1L;RBP4;CMKLR1;AKT2;MMD;EPHB2;F2RL1;SNAP25;TSPAN13;SERPINA3;MALL;PCSK1N;DCBLD2;SCN1B;ABCB1;ETV5;PTGS2;PRDM1;SEMA3B;FUCA1;SATB1;VWA5A;IL2RG;IL7R;SDCCAG8;AMMECR1;ERO1A;BPGM;CDADC1;CBX8;BIRC3;ITGB2;ZNF639;TRIB1;PEG3;FGF9;LIF;CCSER2;LAPTM5;ETV4;KCNN4;STRN	Kras Signaling Up	myCAF	1.5590116791912
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.000456974727372993	0.00175759510528074	0.49849310876659	0.405897671609028	1.53376639551126	194	GJA1;B4GALT1;OLFML3;RHOBTB3;FLNB;TSKU;CXCL12;RAB31;SVIL;NBL1;SLC19A2;THSD4;SH3BP5;TGM2;IGF1R;NCOR2;DEPTOR;CLIC3;CA12;LRIG1;MYOF;ADD3;EGR3;NRIP1;RHOD;PDLIM3;AR;DHRS3;TPBG;ABHD2;INPP5F;SEC14L2;PTGES;SNX24;GFRA1;SLC16A1;KLF4;SLC26A2;SCARB1;PAPSS2;ABLIM1;PMAIP1;SLC24A3;AREG;MED13L;NAV2;AMFR;GREB1;SIAH2;PGR;MUC1;CCN5;OPN3;KDM4B;SLC1A4;WWC1;CELSR1;FASN;ELF1	Estrogen Response Early	myCAF	1.53376639551126
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00061895165260162	0.00193422391438006	0.477270815362862	-0.491237975992025	-1.63402935722193	95	PROCR;IFITM2;HLA-C;IFITM1;PSME1;B2M;IFITM3;PSMB8;LAP3;PSME2;PSMA3;ISG20;NCOA7;IRF9;PSMB9;IRF2;BST2;ISG15;SP110;MVB12A;CSF1;IFIT3;IFI27;TRIM5;UBA7;IFI35	Interferon Alpha Response	qPSC	1.63402935722193
HALLMARK_FATTY_ACID_METABOLISM	0.000584900511493525	0.00193422391438006	0.477270815362862	-0.450679536560285	-1.58857756731298	146	CD36;PSME1;MGLL;SDHD;EPHX1;MDH2;IDH3B;SUCLG1;ACO2;MDH1;IDH3G;HSD17B10;SDHC;TDO2;CBR1;CA2;ALDOA;ACADVL;SUCLA2;HSDL2;AOC3;ECH1;FH;PDHB;SUCLG2;MAOA;GRHPR;SDHA;ACSS1;HADHB;APEX1;DLD;DECR1;LDHA;ELOVL5;ERP29;YWHAH;NTHL1;HCCS;ACOT8;IDI1;ECI1;UROD;ACAA1;PDHA1;PPARA;AUH;NCAPH2;ADSL;ALDH9A1;HSD17B11	Fatty Acid Metabolism	qPSC	1.58857756731298
HALLMARK_GLYCOLYSIS	0.000545561112535771	0.00193422391438006	0.477270815362862	0.404342083669707	1.52030397095274	189	COL5A1;VCAN;DCN;CHPF;PLOD2;KDELR3;B4GALT1;SDC3;PAM;HDLBP;IGFBP3;IRS2;NT5E;TPST1;SLC16A3;QSOX1;P4HA2;DDIT4;FUT8;SDC1;EGLN3;P4HA1;TPBG;GLCE;HOMER1;PYGL;ZNF292;VEGFA;AKR1A1;B4GALT2;GPC1;GPC4;EXT1;STMN1;CHPF2;AK4;PKM;VLDLR;CYB5A;IDUA;ANG;GMPPA;EGFR;PKP2;PPP2CB;B4GALT7;HS2ST1;XYLT2;HK2;B4GALT4;ENO2;IDH1;ME1;GMPPB;CAPN5;SLC35A3;PMM2;CLDN3;RRAGD	Glycolysis	myCAF	1.52030397095274
