patient	dataset	subtype	n_cells	keep_sample	sample_id	library_size
PDAC1	Powers	myCAF	235	TRUE	PDAC1__myCAF	483402
PDAC1	Powers	qPSC	104	TRUE	PDAC1__qPSC	193687
PDAC2	Powers	myCAF	792	TRUE	PDAC2__myCAF	1481412
PDAC2	Powers	qPSC	268	TRUE	PDAC2__qPSC	354486
peng_N1	Peng	myCAF	138	TRUE	peng_N1__myCAF	385056.547338116
peng_N1	Peng	qPSC	137	TRUE	peng_N1__qPSC	254991.763991203
peng_N2	Peng	myCAF	67	TRUE	peng_N2__myCAF	210820.410539228
peng_N2	Peng	qPSC	87	TRUE	peng_N2__qPSC	158954.891841588
peng_N6	Peng	myCAF	29	TRUE	peng_N6__myCAF	54734.867784945
peng_N6	Peng	qPSC	59	TRUE	peng_N6__qPSC	84769.5047884176
peng_N7	Peng	myCAF	24	TRUE	peng_N7__myCAF	26153.5577635113
peng_N7	Peng	qPSC	42	TRUE	peng_N7__qPSC	59988.579413762
peng_N8	Peng	myCAF	51	TRUE	peng_N8__myCAF	100598.402633043
peng_N8	Peng	qPSC	112	TRUE	peng_N8__qPSC	238397.883795919
peng_N9	Peng	myCAF	76	TRUE	peng_N9__myCAF	193498.77194064
peng_N9	Peng	qPSC	105	TRUE	peng_N9__qPSC	216010.218970731
peng_T1	Peng	myCAF	45	TRUE	peng_T1__myCAF	40485.3408167902
peng_T1	Peng	qPSC	132	TRUE	peng_T1__qPSC	148929.462044686
peng_T10	Peng	myCAF	36	TRUE	peng_T10__myCAF	46330.0976188911
peng_T10	Peng	qPSC	127	TRUE	peng_T10__qPSC	318481.801245041
peng_T11	Peng	myCAF	553	TRUE	peng_T11__myCAF	2833493.11819763
peng_T11	Peng	qPSC	323	TRUE	peng_T11__qPSC	1315776.35635391
peng_T12	Peng	myCAF	43	TRUE	peng_T12__myCAF	106492.604708435
peng_T12	Peng	qPSC	189	TRUE	peng_T12__qPSC	664345.073150809
peng_T13	Peng	myCAF	160	TRUE	peng_T13__myCAF	220042.756897848
peng_T13	Peng	qPSC	219	TRUE	peng_T13__qPSC	317694.030968958
peng_T14	Peng	myCAF	59	TRUE	peng_T14__myCAF	187192.140360408
peng_T14	Peng	qPSC	76	TRUE	peng_T14__qPSC	246837.321401922
peng_T15	Peng	myCAF	350	TRUE	peng_T15__myCAF	822903.44895998
peng_T15	Peng	qPSC	413	TRUE	peng_T15__qPSC	1135669.65335221
peng_T16	Peng	myCAF	133	TRUE	peng_T16__myCAF	274068.632066087
peng_T16	Peng	qPSC	287	TRUE	peng_T16__qPSC	777219.334733676
peng_T17	Peng	myCAF	144	TRUE	peng_T17__myCAF	835806.849437036
peng_T17	Peng	qPSC	81	TRUE	peng_T17__qPSC	467888.390484598
peng_T18	Peng	myCAF	185	TRUE	peng_T18__myCAF	587532.508848405
peng_T18	Peng	qPSC	445	TRUE	peng_T18__qPSC	1361110.63580478
peng_T19	Peng	myCAF	150	TRUE	peng_T19__myCAF	322066.735906485
peng_T19	Peng	qPSC	673	TRUE	peng_T19__qPSC	1505779.72442457
peng_T21	Peng	myCAF	51	TRUE	peng_T21__myCAF	110705.989571817
peng_T21	Peng	qPSC	20	TRUE	peng_T21__qPSC	69322.862536769
peng_T23	Peng	myCAF	493	TRUE	peng_T23__myCAF	874415.989320928
peng_T23	Peng	qPSC	237	TRUE	peng_T23__qPSC	474120.027658243
peng_T24	Peng	myCAF	247	TRUE	peng_T24__myCAF	421796.595504748
peng_T24	Peng	qPSC	415	TRUE	peng_T24__qPSC	720357.272923565
peng_T3	Peng	myCAF	44	TRUE	peng_T3__myCAF	87537.9256865195
peng_T3	Peng	qPSC	160	TRUE	peng_T3__qPSC	372420.132681316
peng_T4	Peng	myCAF	38	TRUE	peng_T4__myCAF	73855.5629789058
peng_T4	Peng	qPSC	67	TRUE	peng_T4__qPSC	141595.942330066
peng_T5	Peng	myCAF	38	TRUE	peng_T5__myCAF	51370.3462228322
peng_T5	Peng	qPSC	137	TRUE	peng_T5__qPSC	288493.086275201
peng_T6	Peng	myCAF	37	TRUE	peng_T6__myCAF	194808.79821524
peng_T6	Peng	qPSC	137	TRUE	peng_T6__qPSC	468255.783045769
peng_T7	Peng	myCAF	62	TRUE	peng_T7__myCAF	86477.2824282366
peng_T7	Peng	qPSC	172	TRUE	peng_T7__qPSC	303548.777386518
peng_T8	Peng	myCAF	39	TRUE	peng_T8__myCAF	69847.5677121647
peng_T8	Peng	qPSC	51	TRUE	peng_T8__qPSC	121127.156861084
peng_T9	Peng	myCAF	380	TRUE	peng_T9__myCAF	2176472.74743483
peng_T9	Peng	qPSC	111	TRUE	peng_T9__qPSC	517328.416401888
