Patient	Dataset	Condition	n_cells	percent_cells
PDAC2	Powers	Tumor	2203	10.2613070007918
peng_T11	Peng	Tumor	1778	8.28170850994457
peng_T19	Peng	Tumor	1731	8.06278820625087
peng_T24	Peng	Tumor	1405	6.54431971680097
peng_T23	Peng	Tumor	1357	6.32074153430528
peng_T15	Peng	Tumor	1331	6.19963668545344
peng_T18	Peng	Tumor	1058	4.9280357725092
peng_T16	Peng	Tumor	821	3.82411849643672
peng_T9	Peng	Tumor	783	3.64711910196097
peng_N1	Peng	Normal	779	3.62848758675299
peng_T13	Peng	Tumor	735	3.42354091946528
PDAC1	Powers	Tumor	658	3.06488425171177
peng_N8	Peng	Normal	469	2.18454515813499
peng_N2	Peng	Normal	458	2.13330849131306
peng_T3	Peng	Tumor	458	2.13330849131306
peng_T7	Peng	Tumor	440	2.04946667287717
peng_T5	Peng	Tumor	417	1.94233546043132
peng_T12	Peng	Tumor	396	1.84452000558945
peng_T6	Peng	Tumor	365	1.70012576272765
peng_N9	Peng	Normal	359	1.67217848991569
peng_T1	Peng	Tumor	350	1.63025758069775
peng_T10	Peng	Tumor	346	1.61162606548978
peng_N6	Peng	Normal	340	1.58367879267781
peng_T17	Peng	Tumor	331	1.54175788345987
peng_T14	Peng	Tumor	304	1.41599515580605
peng_T4	Peng	Tumor	225	1.04802273044855
peng_N3	Peng	Normal	214	0.996786063626624
peng_N7	Peng	Normal	177	0.824444547952862
peng_T20	Peng	Tumor	151	0.703339699101029
peng_T22	Peng	Tumor	147	0.684708183893055
peng_N4	Peng	Normal	133	0.619497880665145
peng_T8	Peng	Tumor	124	0.577576971447203
HPD2	Qadir	Normal	113	0.526340304625274
peng_T21	Peng	Tumor	94	0.437840607387396
peng_T2	Peng	Tumor	87	0.405235455773441
peng_N5	Peng	Normal	75	0.349340910149518
HPD1	Qadir	Normal	72	0.335367273743537
peng_N10	Peng	Normal	69	0.321393637337556
HPD3	Qadir	Normal	66	0.307420000931576
peng_N11	Peng	Normal	50	0.232893940099679
