Patient	Dataset	CellType2	n_cells	fraction
HPD1	Qadir	qPSC	10	0.138888888888889
HPD1	Qadir	smPSC	1	0.0138888888888889
HPD1	Qadir	myCAF	22	0.305555555555556
HPD1	Qadir	IL11.CAF	38	0.527777777777778
HPD1	Qadir	Myocyte	1	0.0138888888888889
HPD2	Qadir	qPSC	20	0.176991150442478
HPD2	Qadir	smPSC	14	0.123893805309735
HPD2	Qadir	myCAF	4	0.0353982300884956
HPD2	Qadir	csCAF	1	0.00884955752212389
HPD2	Qadir	iCAF	1	0.00884955752212389
HPD2	Qadir	IL11.CAF	2	0.0176991150442478
HPD2	Qadir	Myocyte	71	0.628318584070796
HPD3	Qadir	qPSC	23	0.348484848484849
HPD3	Qadir	smPSC	14	0.212121212121212
HPD3	Qadir	myCAF	4	0.0606060606060606
HPD3	Qadir	iCAF	1	0.0151515151515152
HPD3	Qadir	IL11.CAF	15	0.227272727272727
HPD3	Qadir	Myocyte	7	0.106060606060606
HPD3	Qadir	Schwann	2	0.0303030303030303
PDAC1	Powers	qPSC	104	0.158054711246201
PDAC1	Powers	smPSC	118	0.179331306990881
PDAC1	Powers	myCAF	235	0.357142857142857
PDAC1	Powers	csCAF	160	0.243161094224924
PDAC1	Powers	iCAF	4	0.0060790273556231
PDAC1	Powers	Myocyte	33	0.0501519756838906
PDAC1	Powers	Schwann	4	0.0060790273556231
PDAC2	Powers	qPSC	268	0.121652292328643
PDAC2	Powers	smPSC	368	0.167044938719927
PDAC2	Powers	myCAF	792	0.359509759418974
PDAC2	Powers	csCAF	533	0.241942805265547
PDAC2	Powers	iCAF	10	0.00453926463912846
PDAC2	Powers	Myocyte	221	0.100317748524739
PDAC2	Powers	Schwann	11	0.00499319110304131
peng_N1	Peng	qPSC	137	0.17586649550706
peng_N1	Peng	smPSC	258	0.331193838254172
peng_N1	Peng	myCAF	138	0.177150192554557
peng_N1	Peng	csCAF	224	0.287548138639281
peng_N1	Peng	iCAF	21	0.0269576379974326
peng_N1	Peng	Schwann	1	0.00128369704749679
peng_N10	Peng	qPSC	20	0.289855072463768
peng_N10	Peng	smPSC	26	0.376811594202899
peng_N10	Peng	myCAF	7	0.101449275362319
peng_N10	Peng	csCAF	11	0.159420289855072
peng_N10	Peng	Schwann	5	0.072463768115942
peng_N11	Peng	qPSC	11	0.22
peng_N11	Peng	smPSC	20	0.4
peng_N11	Peng	myCAF	2	0.04
peng_N11	Peng	csCAF	17	0.34
peng_N2	Peng	qPSC	87	0.189956331877729
peng_N2	Peng	smPSC	162	0.353711790393013
peng_N2	Peng	myCAF	67	0.146288209606987
peng_N2	Peng	csCAF	138	0.301310043668122
peng_N2	Peng	iCAF	1	0.00218340611353712
peng_N2	Peng	Myocyte	1	0.00218340611353712
peng_N2	Peng	Schwann	2	0.00436681222707424
peng_N3	Peng	qPSC	52	0.242990654205607
peng_N3	Peng	smPSC	120	0.560747663551402
peng_N3	Peng	myCAF	13	0.0607476635514019
peng_N3	Peng	csCAF	27	0.126168224299065
peng_N3	Peng	Myocyte	2	0.00934579439252336
peng_N4	Peng	qPSC	47	0.353383458646617
peng_N4	Peng	smPSC	43	0.323308270676692
peng_N4	Peng	myCAF	11	0.0827067669172932
peng_N4	Peng	csCAF	32	0.240601503759398
peng_N5	Peng	qPSC	24	0.32
peng_N5	Peng	smPSC	40	0.533333333333333
peng_N5	Peng	myCAF	3	0.04
peng_N5	Peng	csCAF	6	0.08
peng_N5	Peng	iCAF	2	0.0266666666666667
peng_N6	Peng	qPSC	59	0.173529411764706
peng_N6	Peng	smPSC	162	0.476470588235294
peng_N6	Peng	myCAF	29	0.0852941176470588
peng_N6	Peng	csCAF	85	0.25
peng_N6	Peng	iCAF	3	0.00882352941176471
peng_N6	Peng	Myocyte	1	0.00294117647058824
peng_N6	Peng	Schwann	1	0.00294117647058824
peng_N7	Peng	qPSC	42	0.23728813559322
peng_N7	Peng	smPSC	79	0.446327683615819
peng_N7	Peng	myCAF	24	0.135593220338983
peng_N7	Peng	csCAF	29	0.163841807909605
peng_N7	Peng	iCAF	2	0.0112994350282486
peng_N7	Peng	Schwann	1	0.00564971751412429
peng_N8	Peng	qPSC	112	0.238805970149254
peng_N8	Peng	smPSC	167	0.356076759061834
peng_N8	Peng	myCAF	51	0.108742004264392
peng_N8	Peng	csCAF	123	0.26226012793177
peng_N8	Peng	iCAF	13	0.0277185501066098
peng_N8	Peng	Myocyte	3	0.00639658848614072
peng_N9	Peng	qPSC	105	0.292479108635098
peng_N9	Peng	smPSC	61	0.16991643454039
peng_N9	Peng	myCAF	76	0.211699164345404
peng_N9	Peng	csCAF	112	0.311977715877437
peng_N9	Peng	iCAF	5	0.0139275766016713
peng_T1	Peng	qPSC	132	0.377142857142857
peng_T1	Peng	smPSC	105	0.3
peng_T1	Peng	myCAF	45	0.128571428571429
peng_T1	Peng	csCAF	46	0.131428571428571
peng_T1	Peng	iCAF	9	0.0257142857142857
peng_T1	Peng	Myocyte	2	0.00571428571428571
peng_T1	Peng	Schwann	11	0.0314285714285714
peng_T10	Peng	qPSC	127	0.367052023121387
peng_T10	Peng	smPSC	122	0.352601156069364
peng_T10	Peng	myCAF	36	0.104046242774566
peng_T10	Peng	csCAF	48	0.138728323699422
peng_T10	Peng	iCAF	1	0.00289017341040462
peng_T10	Peng	Myocyte	4	0.0115606936416185
peng_T10	Peng	Schwann	8	0.023121387283237
peng_T11	Peng	qPSC	323	0.181664791901012
peng_T11	Peng	smPSC	219	0.123172103487064
peng_T11	Peng	myCAF	553	0.311023622047244
peng_T11	Peng	csCAF	429	0.241282339707537
peng_T11	Peng	iCAF	167	0.09392575928009
peng_T11	Peng	Myocyte	85	0.0478065241844769
peng_T11	Peng	Schwann	2	0.00112485939257593
peng_T12	Peng	qPSC	189	0.477272727272727
peng_T12	Peng	smPSC	114	0.287878787878788
peng_T12	Peng	myCAF	43	0.108585858585859
peng_T12	Peng	csCAF	43	0.108585858585859
peng_T12	Peng	iCAF	1	0.00252525252525253
peng_T12	Peng	Myocyte	4	0.0101010101010101
peng_T12	Peng	Schwann	2	0.00505050505050505
peng_T13	Peng	qPSC	219	0.297959183673469
peng_T13	Peng	smPSC	173	0.235374149659864
peng_T13	Peng	myCAF	160	0.217687074829932
peng_T13	Peng	csCAF	162	0.220408163265306
peng_T13	Peng	iCAF	7	0.00952380952380952
peng_T13	Peng	Myocyte	9	0.0122448979591837
peng_T13	Peng	Schwann	5	0.00680272108843537
peng_T14	Peng	qPSC	76	0.25
peng_T14	Peng	smPSC	90	0.296052631578947
peng_T14	Peng	myCAF	59	0.194078947368421
peng_T14	Peng	csCAF	69	0.226973684210526
peng_T14	Peng	Myocyte	1	0.00328947368421053
peng_T14	Peng	Schwann	9	0.0296052631578947
peng_T15	Peng	qPSC	413	0.310293012772352
peng_T15	Peng	smPSC	303	0.227648384673178
peng_T15	Peng	myCAF	350	0.262960180315552
peng_T15	Peng	csCAF	233	0.175056348610068
peng_T15	Peng	iCAF	6	0.00450788880540947
peng_T15	Peng	Myocyte	10	0.00751314800901578
peng_T15	Peng	Schwann	16	0.0120210368144252
peng_T16	Peng	qPSC	287	0.349573690621194
peng_T16	Peng	smPSC	236	0.287454323995128
peng_T16	Peng	myCAF	133	0.161997563946407
peng_T16	Peng	csCAF	108	0.131546894031669
peng_T16	Peng	iCAF	3	0.00365408038976857
