Patient	Dataset	Condition	n_cells	median_nFeature_RNA	median_nCount_RNA	median_percent_mt
PDAC2	Powers	Tumor	2203	939	1531	4.43645083932854
peng_T11	Peng	Tumor	1778	1960	4397.08828180029	0.586198140176483
peng_T19	Peng	Tumor	1731	1120	1950.50000008948	1.30779576121703
peng_T24	Peng	Tumor	1405	1000	1632.50000028056	1.07368138508334
peng_T23	Peng	Tumor	1357	1079	1847.00000070667	0.649350649284881
peng_T15	Peng	Tumor	1331	1389	2424.83333306835	0.922509225092251
peng_T18	Peng	Tumor	1058	1300.5	2399.59484530586	1.52187759389317
peng_T16	Peng	Tumor	821	1313	2394.42859268547	1.51990349033978
peng_T9	Peng	Tumor	783	2212	4967.77838873863	0.444194325924518
peng_N1	Peng	Normal	779	1172	2130.9998346036	2.08834519170573
peng_T13	Peng	Tumor	735	805	1298.99006465077	0.745626613118742
PDAC1	Powers	Tumor	658	903	1851	4.10593871328786
peng_N8	Peng	Normal	469	1373	2609.5000001966	1.49801045490817
peng_N2	Peng	Normal	458	1170	2100.21666657865	0.892215486930429
peng_T3	Peng	Tumor	458	1225	2092.01596384027	0.871068395940779
peng_T7	Peng	Tumor	440	933	1480.19783732295	0.748369718818622
peng_T5	Peng	Tumor	417	1104	1816.00816782924	1.95117709481068
peng_T12	Peng	Tumor	396	1686	3200.87500017413	0.423861598193155
peng_T6	Peng	Tumor	365	1656	3198.11666294932	0.751397939775524
peng_N9	Peng	Normal	359	1273	2276.50000026755	0.875827136264294
peng_T1	Peng	Tumor	350	634	923.000000151561	1.55466852209628
peng_T10	Peng	Tumor	346	1350	2344.38095276361	1.43439309052827
peng_N6	Peng	Normal	340	1027	1637.49999953806	1.1722341946334
peng_T17	Peng	Tumor	331	1958	4253.16666737207	0.60820455527407
peng_T14	Peng	Tumor	304	1446	2664.62492624904	1.30647343221093
peng_T4	Peng	Tumor	225	1145	1835.17833420634	0.670009422179442
peng_N3	Peng	Normal	214	542.5	873.749999880791	1.51732308423113
peng_N7	Peng	Normal	177	864	1314.00000000241	1.2782072538827
peng_T20	Peng	Tumor	151	988	1606.5000000298	0.877853022322548
peng_T22	Peng	Tumor	147	1242	2065.00623166129	0.984862301648969
peng_N4	Peng	Normal	133	929	1423.49999988079	1.05479804474982
peng_T8	Peng	Tumor	124	893	1456.94944059003	0.333013319435127
HPD2	Qadir	Normal	113	3902	14773	2.53361311883112
peng_T21	Peng	Tumor	94	1308.5	2359.45175401442	0.640526408341585
peng_T2	Peng	Tumor	87	1624	3166.47696742415	0.535309525945925
peng_N5	Peng	Normal	75	819	1232.99006462097	1.19802677929393
HPD1	Qadir	Normal	72	4521.5	19934	2.9687519093975
peng_N10	Peng	Normal	69	802	1402	1.14604792538934
HPD3	Qadir	Normal	66	4334	17753	3.48153597420081
peng_N11	Peng	Normal	50	1510	2920.72221130063	1.14939514110789
