gene	category	present_in_expression
KCNA5	KCN	TRUE
KCNA7	KCN	TRUE
KCNAB1	KCN	TRUE
KCNAB2	KCN	TRUE
KCNB1	KCN	TRUE
KCNC4	KCN	TRUE
KCND2	KCN	TRUE
KCND3	KCN	TRUE
KCNE4	KCN	TRUE
KCNJ15	KCN	TRUE
KCNJ16	KCN	TRUE
KCNJ8	KCN	TRUE
KCNK1	KCN	TRUE
KCNK15	KCN	TRUE
KCNK17	KCN	TRUE
KCNK3	KCN	TRUE
KCNK6	KCN	TRUE
KCNMA1	KCN	TRUE
KCNMB1	KCN	TRUE
KCNMB4	KCN	TRUE
KCNN3	KCN	TRUE
KCNN4	KCN	TRUE
KCNQ4	KCN	TRUE
KCNS3	KCN	TRUE
KCNT2	KCN	TRUE
ARC	iCAF_marker	TRUE
BDKRB1	iCAF_marker	TRUE
CLCF1	iCAF_marker	TRUE
CXCL2	iCAF_marker	TRUE
CXCL3	iCAF_marker	TRUE
CXCL8	iCAF_marker	TRUE
CYB5D1	iCAF_marker	TRUE
DUSP2	iCAF_marker	TRUE
DYRK3	iCAF_marker	TRUE
EFNB2	iCAF_marker	TRUE
FLNC	iCAF_marker	TRUE
FOSL1	iCAF_marker	TRUE
GPRC5A	iCAF_marker	TRUE
HAS1	iCAF_marker	TRUE
HAS2	iCAF_marker	TRUE
HMGA1	iCAF_marker	TRUE
HMOX1	iCAF_marker	TRUE
HSPB8	iCAF_marker	TRUE
HSPH1	iCAF_marker	TRUE
IL6	iCAF_marker	TRUE
KDM6B	iCAF_marker	TRUE
KRT18	iCAF_marker	TRUE
KRT8	iCAF_marker	TRUE
LIF	iCAF_marker	TRUE
NFATC2	iCAF_marker	TRUE
NR4A3	iCAF_marker	TRUE
TFPI2	iCAF_marker	TRUE
THAP2	iCAF_marker	TRUE
TMEM88	iCAF_marker	TRUE
AC016831.1	iCAF_marker	FALSE
ADAM12	myCAF_marker	TRUE
BCAT1	myCAF_marker	TRUE
C1QTNF3	myCAF_marker	TRUE
C1QTNF6	myCAF_marker	TRUE
CADM1	myCAF_marker	TRUE
COL10A1	myCAF_marker	TRUE
COL11A1	myCAF_marker	TRUE
COL12A1	myCAF_marker	TRUE
COL8A2	myCAF_marker	TRUE
DSG2	myCAF_marker	TRUE
F13A1	myCAF_marker	TRUE
FN1	myCAF_marker	TRUE
GJB2	myCAF_marker	TRUE
IGFL2	myCAF_marker	TRUE
ITGA11	myCAF_marker	TRUE
KIF26B	myCAF_marker	TRUE
LOXL2	myCAF_marker	TRUE
LRRC15	myCAF_marker	TRUE
MMP11	myCAF_marker	TRUE
NUAK1	myCAF_marker	TRUE
PLAU	myCAF_marker	TRUE
PLPP4	myCAF_marker	TRUE
RASGRF2	myCAF_marker	TRUE
RUNX2	myCAF_marker	TRUE
SDC1	myCAF_marker	TRUE
SLC16A3	myCAF_marker	TRUE
SUGCT	myCAF_marker	TRUE
TMEM158	myCAF_marker	TRUE
TRIM59	myCAF_marker	TRUE
WNT5A	myCAF_marker	TRUE
