kcn_gene	marker_group	n_markers_tested	mean_rho	median_rho	mean_abs_rho	min_p_adj_bh	n_fdr_lt_0_05
KCNK17	iCAF	29	0.0101160968156829	-0.0164740448370319	0.22169413761043	5.5774763342671e-11	13
KCNAB1	iCAF	29	0.0624516453153447	0.0993046287818325	0.208899559344445	2.16488572055244e-09	13
KCNE4	iCAF	29	0.0737360749439438	0.0582903405500744	0.203738921355108	4.29659711309074e-05	15
KCNJ16	iCAF	29	-0.00919234992070429	-0.0685235516325315	0.200721143842657	1.50517303442154e-10	11
KCNK3	iCAF	29	0.140995960703423	0.17721803648442	0.186296725971941	3.04417422623038e-06	11
KCNC4	iCAF	29	-0.00916040700774104	-0.0374067704485967	0.185566501609425	7.01940064586769e-07	12
KCNA5	iCAF	29	0.0593037975597086	0.00507574838836402	0.184125504158342	8.76301636980921e-08	14
KCND3	iCAF	29	0.137698666543134	0.15307320599851	0.177406111703693	8.76301636980921e-08	8
KCNJ15	iCAF	29	0.0286253366794732	-0.00882620480867403	0.175428004297607	2.82942316901433e-07	11
KCNMB1	iCAF	29	0.0801618580697494	0.0723858457721731	0.169493857396672	2.65192721016716e-06	8
KCNS3	iCAF	29	0.00959786351591193	-0.01493507114703	0.162975031219768	8.43534295425179e-06	7
KCND2	iCAF	29	0.0301242675342335	0.0479590642631546	0.157448553593598	5.05103939922499e-05	7
KCNJ8	iCAF	29	0.0668211152724579	0.108846376237766	0.153313128718884	0.000602807014517732	9
KCNN4	iCAF	29	0.0738805581944444	0.0978194507819031	0.148543722423392	5.13722768131561e-06	6
KCNK15	iCAF	29	0.13495166364227	0.148523962505691	0.144659251619164	0.00242312961660841	6
KCNA7	iCAF	29	0.0831165475084907	0.100880735252506	0.142806961545677	0.00455602574422515	5
KCNB1	iCAF	29	0.0841583318439755	0.0979971418281362	0.138634392597333	7.58552304534166e-05	8
KCNMA1	iCAF	29	0.0503564068389639	0.00526849505987101	0.134376483779084	3.14436903165181e-05	8
KCNT2	iCAF	29	0.104829565108627	0.105147133581441	0.133950272575972	0.0024186806507191	7
KCNN3	iCAF	29	0.114219445295851	0.115369080878775	0.129272502132277	0.000938520425548708	6
KCNQ4	iCAF	29	0.0538321658606962	0.0187893191690915	0.124689667005653	0.000891485799246046	6
KCNAB2	iCAF	29	0.09518074037885	0.0920683269934399	0.114911561741582	0.0001358823916675	5
KCNK1	iCAF	29	0.0798144395602625	0.0779566728859834	0.103905178625504	5.57957142723822e-05	4
KCNMB4	iCAF	29	0.0364898139913082	0.0262814639329014	0.0940906892132817	0.00512710468614183	3
KCNK6	iCAF	29	0.0164081382515734	-0.00148318752040297	0.0912784197515842	0.0054236951374523	4
KCNK17	myCAF	30	-0.353628619563839	-0.437940947384427	0.411017660105426	1.02975051551742e-14	25
KCND2	myCAF	30	0.334718462681415	0.385487952693701	0.351075462613133	4.87696271844818e-11	24
KCNE4	myCAF	30	-0.262882617962279	-0.328957609526672	0.332473263466599	7.85172498988771e-10	25
KCNAB1	myCAF	30	-0.273770883138274	-0.291763404996466	0.311280368868722	1.9843719607124e-11	23
KCNC4	myCAF	30	-0.245249071182676	-0.286962788930212	0.28802921117948	3.51442023988493e-07	24
KCNS3	myCAF	30	-0.206822050055192	-0.261857313215015	0.28632893845793	9.70246783984761e-10	23
KCNJ16	myCAF	30	-0.218229302021699	-0.267528812592716	0.270432548561308	2.42422519619433e-10	21
KCNA5	myCAF	30	-0.232807184931734	-0.266478003960146	0.259952561209925	2.93712880459934e-09	19
KCNJ8	myCAF	30	-0.136887226739858	-0.20878254674128	0.230837245869053	9.70246783984761e-10	19
KCNJ15	myCAF	30	-0.16708702196337	-0.196526438091056	0.217569067343494	6.21312028905722e-07	17
KCND3	myCAF	30	0.186899655930903	0.189883569610262	0.201145217422233	4.10062727175953e-06	14
KCNMB1	myCAF	30	-0.177346971815858	-0.206081825439127	0.192041362967862	6.66383690165613e-05	16
KCNT2	myCAF	30	0.168702499945339	0.183326575761164	0.172041098225301	0.000111775702220257	11
KCNN4	myCAF	30	0.15497768672623	0.161372384012601	0.1713000758497	6.85457023671624e-07	12
KCNK1	myCAF	30	0.159970002193726	0.171059139447611	0.171272774661842	0.000224939830462487	13
KCNK3	myCAF	30	-0.126030564172367	-0.130440726255763	0.169689381994675	6.57104022287983e-06	12
KCNB1	myCAF	30	-0.118448720049717	-0.154388681386239	0.163382374135697	0.00115312342508959	10
KCNQ4	myCAF	30	-0.10424242923785	-0.106818633120815	0.133417741371256	0.00177862575073366	7
KCNA7	myCAF	30	-0.0874516984782703	-0.0964645094384587	0.132032797247403	0.00352446074161349	7
KCNN3	myCAF	30	0.117111563149695	0.0775635933034187	0.130250449281632	0.000194028916861663	7
KCNMA1	myCAF	30	0.00725281439892127	0.0213257067865632	0.106213035117465	0.0150905865278098	3
KCNK6	myCAF	30	-0.0123762002605644	-0.0269836491585155	0.104785218132656	6.44099916175576e-06	2
KCNK15	myCAF	30	0.0627840969501094	0.0519076963250426	0.0998710691941808	0.00609301317370991	5
KCNAB2	myCAF	30	-0.0288971265300011	-0.0626521292079296	0.0965319021652444	0.0525382863163838	0
KCNMB4	myCAF	30	-0.0463979175496882	-0.0448079405103765	0.0955239045580113	0.00378751146170077	1
