kcn_gene	signature	n_samples	n_low	n_high	wilcoxon_statistic	p_value	p_adj_bh
KCNA5	myCAF score	136	68	68	1730	0.0113715861114251	0.0236908043988023
KCNA5	iCAF score	136	68	68	2754	0.0546445514990179	0.0910742524983631
KCNA7	myCAF score	136	68	68	1760	0.0163732178458621	0.0314869573958886
KCNA7	iCAF score	136	68	68	2853	0.0186425048244497	0.0345231570823143
KCNAB1	myCAF score	136	68	68	972	5.53016577476946e-09	9.2169429579491e-08
KCNAB1	iCAF score	136	68	68	2396.5	0.714647161608698	0.776790393052932
KCNAB2	myCAF score	136	68	68	2194	0.609045269716972	0.676716966352191
KCNAB2	iCAF score	136	68	68	2982.5	0.00354243049058305	0.00885607622645763
KCNB1	myCAF score	136	91	45	1859	0.384547126109637	0.480683907637047
KCNB1	iCAF score	136	91	45	2497.5	0.0376128661394486	0.0648497692059458
KCNC4	myCAF score	136	68	68	1209.5	1.61362258586071e-06	2.01702823232589e-05
KCNC4	iCAF score	136	68	68	2335.5	0.920256374079614	0.920256374079614
KCND2	myCAF score	136	73	63	3920	1.54446044707687e-12	7.72230223538436e-11
KCND2	iCAF score	136	73	63	2813	0.0251580948796304	0.0449251694279115
KCND3	myCAF score	136	68	68	3048.5	0.00135743181790255	0.0037706439386182
KCND3	iCAF score	136	68	68	3262.5	3.54938195149254e-05	0.00019718788619403
KCNE4	myCAF score	136	68	68	1284.5	7.81556969634119e-06	5.58254978310085e-05
KCNE4	iCAF score	136	68	68	2454.5	0.536525720305419	0.633915664457308
KCNJ15	myCAF score	136	68	68	1384	5.41192785469177e-05	0.000245996720667808
KCNJ15	iCAF score	136	68	68	2172.5	0.545167471433285	0.633915664457308
KCNJ16	myCAF score	136	68	68	1466.5	0.000235077404712298	0.00083956215968678
KCNJ16	iCAF score	136	68	68	2344.5	0.889225283316827	0.907372738078395
KCNJ8	myCAF score	136	68	68	1686	0.00647734561078903	0.0147212400245205
KCNJ8	iCAF score	136	68	68	2663	0.127109189967586	0.205014822528365
KCNK1	myCAF score	136	68	68	2889.5	0.0120225800788653	0.0240451601577305
KCNK1	iCAF score	136	68	68	2900.5	0.0104866908944338	0.0227971541183344
KCNK15	myCAF score	136	72	64	3029	0.00158329258782088	0.00416655944163389
KCNK15	iCAF score	136	72	64	3077.5	0.00075051213273555	0.0025017071091185
KCNK17	myCAF score	136	68	68	827.5	1.05162488323535e-10	2.62906220808837e-09
KCNK17	iCAF score	136	68	68	2193	0.606002366637913	0.676716966352191
KCNK3	myCAF score	136	68	68	1968	0.134878858158365	0.210748215872445
KCNK3	iCAF score	136	68	68	3322	1.112874610687e-05	6.95546631679377e-05
KCNK6	myCAF score	136	68	68	2158	0.504049170964105	0.614694110931835
KCNK6	iCAF score	136	68	68	2273.5	0.868628818809588	0.907372738078395
KCNMA1	myCAF score	136	68	68	2623.5	0.175840045078005	0.244222284830563
KCNMA1	iCAF score	136	68	68	2629.5	0.167652002412672	0.239502860589531
KCNMB1	myCAF score	136	68	68	1542	0.000809965466710638	0.00253114208347074
KCNMB1	iCAF score	136	68	68	2579	0.246057234184769	0.332509775925364
KCNMB4	myCAF score	136	68	68	1985.5	0.155909240657294	0.236226122208021
KCNMB4	iCAF score	136	68	68	2547	0.307399091709121	0.394101399627079
KCNN3	myCAF score	136	68	68	3071.5	0.000954302191081505	0.00280677115023972
KCNN3	iCAF score	136	68	68	3243.5	5.07143138077934e-05	0.000245996720667808
KCNN4	myCAF score	136	68	68	3367.5	4.38915101970389e-06	4.38915101970389e-05
KCNN4	iCAF score	136	68	68	2949	0.00559776691148138	0.013328016455908
KCNQ4	myCAF score	136	73	63	2333	0.885478809867705	0.907372738078395
KCNQ4	iCAF score	136	73	63	2618	0.165168297972764	0.239502860589531
KCNS3	myCAF score	136	68	68	1271.5	5.98950987265584e-06	4.9912582272132e-05
KCNS3	iCAF score	136	68	68	2066.5	0.286244000364282	0.376636842584582
KCNT2	myCAF score	136	68	68	3210	9.36402375184392e-05	0.000360154759686305
KCNT2	iCAF score	136	68	68	3226	7.00431429412151e-05	0.00029184642892173
