gene	orig.ident	section_used
KCNA5	IU_PDA_T1	False
KCNA5	IU_PDA_T10	False
KCNA5	IU_PDA_T11	False
KCNA5	IU_PDA_T12	True
KCNA5	IU_PDA_T2	False
KCNA5	IU_PDA_T3	False
KCNA5	IU_PDA_T4	False
KCNA5	IU_PDA_T6	False
KCNA5	IU_PDA_T8	False
KCNA5	IU_PDA_T9	False
KCNA7	IU_PDA_T1	False
KCNA7	IU_PDA_T10	False
KCNA7	IU_PDA_T11	False
KCNA7	IU_PDA_T12	False
KCNA7	IU_PDA_T2	False
KCNA7	IU_PDA_T3	False
KCNA7	IU_PDA_T4	False
KCNA7	IU_PDA_T6	False
KCNA7	IU_PDA_T8	False
KCNA7	IU_PDA_T9	False
KCNAB1	IU_PDA_T1	False
KCNAB1	IU_PDA_T10	False
KCNAB1	IU_PDA_T11	True
KCNAB1	IU_PDA_T12	True
KCNAB1	IU_PDA_T2	False
KCNAB1	IU_PDA_T3	False
KCNAB1	IU_PDA_T4	False
KCNAB1	IU_PDA_T6	False
KCNAB1	IU_PDA_T8	False
KCNAB1	IU_PDA_T9	True
KCNAB2	IU_PDA_T1	True
KCNAB2	IU_PDA_T10	True
KCNAB2	IU_PDA_T11	True
KCNAB2	IU_PDA_T12	True
KCNAB2	IU_PDA_T2	True
KCNAB2	IU_PDA_T3	True
KCNAB2	IU_PDA_T4	True
KCNAB2	IU_PDA_T6	True
KCNAB2	IU_PDA_T8	True
KCNAB2	IU_PDA_T9	True
KCNB1	IU_PDA_T1	False
KCNB1	IU_PDA_T10	False
KCNB1	IU_PDA_T11	True
KCNB1	IU_PDA_T12	True
KCNB1	IU_PDA_T2	False
KCNB1	IU_PDA_T3	False
KCNB1	IU_PDA_T4	False
KCNB1	IU_PDA_T6	False
KCNB1	IU_PDA_T8	False
KCNB1	IU_PDA_T9	False
KCNC4	IU_PDA_T1	True
KCNC4	IU_PDA_T10	True
KCNC4	IU_PDA_T11	True
KCNC4	IU_PDA_T12	True
KCNC4	IU_PDA_T2	True
KCNC4	IU_PDA_T3	True
KCNC4	IU_PDA_T4	True
KCNC4	IU_PDA_T6	True
KCNC4	IU_PDA_T8	True
KCNC4	IU_PDA_T9	True
KCND2	IU_PDA_T1	True
KCND2	IU_PDA_T10	False
KCND2	IU_PDA_T11	True
KCND2	IU_PDA_T12	True
KCND2	IU_PDA_T2	True
KCND2	IU_PDA_T3	True
KCND2	IU_PDA_T4	True
KCND2	IU_PDA_T6	True
KCND2	IU_PDA_T8	True
KCND2	IU_PDA_T9	True
KCND3	IU_PDA_T1	True
KCND3	IU_PDA_T10	True
KCND3	IU_PDA_T11	True
KCND3	IU_PDA_T12	True
KCND3	IU_PDA_T2	True
KCND3	IU_PDA_T3	True
KCND3	IU_PDA_T4	True
KCND3	IU_PDA_T6	True
KCND3	IU_PDA_T8	True
KCND3	IU_PDA_T9	True
KCNE4	IU_PDA_T1	True
KCNE4	IU_PDA_T10	True
KCNE4	IU_PDA_T11	True
KCNE4	IU_PDA_T12	True
KCNE4	IU_PDA_T2	True
KCNE4	IU_PDA_T3	True
KCNE4	IU_PDA_T4	True
KCNE4	IU_PDA_T6	True
KCNE4	IU_PDA_T8	True
KCNE4	IU_PDA_T9	True
KCNJ15	IU_PDA_T1	True
KCNJ15	IU_PDA_T10	True
KCNJ15	IU_PDA_T11	True
KCNJ15	IU_PDA_T12	True
KCNJ15	IU_PDA_T2	True
KCNJ15	IU_PDA_T3	True
KCNJ15	IU_PDA_T4	True
KCNJ15	IU_PDA_T6	True
KCNJ15	IU_PDA_T8	True
KCNJ15	IU_PDA_T9	True
KCNJ16	IU_PDA_T1	False
KCNJ16	IU_PDA_T10	False
KCNJ16	IU_PDA_T11	False
KCNJ16	IU_PDA_T12	False
KCNJ16	IU_PDA_T2	True
KCNJ16	IU_PDA_T3	False
KCNJ16	IU_PDA_T4	False
KCNJ16	IU_PDA_T6	True
KCNJ16	IU_PDA_T8	True
KCNJ16	IU_PDA_T9	False
KCNJ8	IU_PDA_T1	True
KCNJ8	IU_PDA_T10	True
KCNJ8	IU_PDA_T11	True
KCNJ8	IU_PDA_T12	True
KCNJ8	IU_PDA_T2	True
KCNJ8	IU_PDA_T3	True
KCNJ8	IU_PDA_T4	True
KCNJ8	IU_PDA_T6	True
KCNJ8	IU_PDA_T8	True
KCNJ8	IU_PDA_T9	True
KCNK1	IU_PDA_T1	True
KCNK1	IU_PDA_T10	True
KCNK1	IU_PDA_T11	True
KCNK1	IU_PDA_T12	True
KCNK1	IU_PDA_T2	True
KCNK1	IU_PDA_T3	True
KCNK1	IU_PDA_T4	True
KCNK1	IU_PDA_T6	True
KCNK1	IU_PDA_T8	True
KCNK1	IU_PDA_T9	True
KCNK15	IU_PDA_T1	False
KCNK15	IU_PDA_T10	False
KCNK15	IU_PDA_T11	False
KCNK15	IU_PDA_T12	True
KCNK15	IU_PDA_T2	False
KCNK15	IU_PDA_T3	True
KCNK15	IU_PDA_T4	False
KCNK15	IU_PDA_T6	True
KCNK15	IU_PDA_T8	False
KCNK15	IU_PDA_T9	False
KCNK17	IU_PDA_T1	False
KCNK17	IU_PDA_T10	False
KCNK17	IU_PDA_T11	False
KCNK17	IU_PDA_T12	True
KCNK17	IU_PDA_T2	True
KCNK17	IU_PDA_T3	True
KCNK17	IU_PDA_T4	False
KCNK17	IU_PDA_T6	False
KCNK17	IU_PDA_T8	True
KCNK17	IU_PDA_T9	False
KCNK3	IU_PDA_T1	False
KCNK3	IU_PDA_T10	False
KCNK3	IU_PDA_T11	True
KCNK3	IU_PDA_T12	True
KCNK3	IU_PDA_T2	True
KCNK3	IU_PDA_T3	True
KCNK3	IU_PDA_T4	True
KCNK3	IU_PDA_T6	True
KCNK3	IU_PDA_T8	False
KCNK3	IU_PDA_T9	False
KCNK6	IU_PDA_T1	True
KCNK6	IU_PDA_T10	True
KCNK6	IU_PDA_T11	True
KCNK6	IU_PDA_T12	True
KCNK6	IU_PDA_T2	True
KCNK6	IU_PDA_T3	True
KCNK6	IU_PDA_T4	True
KCNK6	IU_PDA_T6	True
KCNK6	IU_PDA_T8	True
KCNK6	IU_PDA_T9	True
KCNMA1	IU_PDA_T1	True
KCNMA1	IU_PDA_T10	True
KCNMA1	IU_PDA_T11	True
KCNMA1	IU_PDA_T12	True
KCNMA1	IU_PDA_T2	True
KCNMA1	IU_PDA_T3	True
KCNMA1	IU_PDA_T4	True
KCNMA1	IU_PDA_T6	True
KCNMA1	IU_PDA_T8	True
KCNMA1	IU_PDA_T9	True
KCNMB1	IU_PDA_T1	True
KCNMB1	IU_PDA_T10	True
KCNMB1	IU_PDA_T11	True
KCNMB1	IU_PDA_T12	True
KCNMB1	IU_PDA_T2	True
KCNMB1	IU_PDA_T3	True
KCNMB1	IU_PDA_T4	True
KCNMB1	IU_PDA_T6	True
KCNMB1	IU_PDA_T8	True
KCNMB1	IU_PDA_T9	True
KCNMB4	IU_PDA_T1	True
KCNMB4	IU_PDA_T10	False
KCNMB4	IU_PDA_T11	True
KCNMB4	IU_PDA_T12	True
KCNMB4	IU_PDA_T2	True
KCNMB4	IU_PDA_T3	True
KCNMB4	IU_PDA_T4	True
KCNMB4	IU_PDA_T6	True
KCNMB4	IU_PDA_T8	True
KCNMB4	IU_PDA_T9	True
KCNN3	IU_PDA_T1	True
KCNN3	IU_PDA_T10	True
KCNN3	IU_PDA_T11	True
KCNN3	IU_PDA_T12	True
KCNN3	IU_PDA_T2	True
KCNN3	IU_PDA_T3	True
KCNN3	IU_PDA_T4	True
KCNN3	IU_PDA_T6	True
KCNN3	IU_PDA_T8	True
KCNN3	IU_PDA_T9	True
KCNN4	IU_PDA_T1	True
KCNN4	IU_PDA_T10	True
KCNN4	IU_PDA_T11	True
KCNN4	IU_PDA_T12	True
KCNN4	IU_PDA_T2	True
KCNN4	IU_PDA_T3	True
KCNN4	IU_PDA_T4	True
KCNN4	IU_PDA_T6	True
KCNN4	IU_PDA_T8	True
KCNN4	IU_PDA_T9	True
KCNQ4	IU_PDA_T1	False
KCNQ4	IU_PDA_T10	False
KCNQ4	IU_PDA_T11	True
KCNQ4	IU_PDA_T12	True
KCNQ4	IU_PDA_T2	True
KCNQ4	IU_PDA_T3	True
KCNQ4	IU_PDA_T4	True
KCNQ4	IU_PDA_T6	True
KCNQ4	IU_PDA_T8	True
KCNQ4	IU_PDA_T9	True
KCNS3	IU_PDA_T1	True
KCNS3	IU_PDA_T10	True
KCNS3	IU_PDA_T11	True
KCNS3	IU_PDA_T12	True
KCNS3	IU_PDA_T2	True
KCNS3	IU_PDA_T3	True
KCNS3	IU_PDA_T4	True
KCNS3	IU_PDA_T6	True
KCNS3	IU_PDA_T8	True
KCNS3	IU_PDA_T9	True
KCNT2	IU_PDA_T1	False
KCNT2	IU_PDA_T10	False
KCNT2	IU_PDA_T11	False
KCNT2	IU_PDA_T12	True
KCNT2	IU_PDA_T2	False
KCNT2	IU_PDA_T3	False
KCNT2	IU_PDA_T4	False
KCNT2	IU_PDA_T6	False
KCNT2	IU_PDA_T8	False
KCNT2	IU_PDA_T9	True
