gene	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
KCNAB2	IU_PDA_T1	myCAF	20	3510	0.8433333333333334	0.8991642924976337	-0.055830959164300364	0.9379148492494521
KCNAB2	IU_PDA_T1	Tumor Epithelial cells	20	3510	0.03666666666666667	0.027616334283001056	0.009050332383665611	1.3265342484058706
KCNAB2	IU_PDA_T1	Normal Epithelial cells	20	3510	0.003333333333333333	0.011566951566951582	-0.008233618233618248	0.29427852799687393
KCNAB2	IU_PDA_T1	iCAF	20	3510	0.04666666666666667	0.0147008547008548	0.03196581196581187	3.1597274354680165
KCNAB2	IU_PDA_T1	B cells	20	3510	0.01	0.011054131054131071	-0.001054131054131071	0.9054941125386311
KCNAB2	IU_PDA_T1	DCs	20	3510	0.03	0.010579297245963938	0.01942070275403606	2.8185375223426608
KCNAB2	IU_PDA_T1	SPP1-TAM	20	3510	0.0	0.0017473884140550805	-0.0017473884140550805	0.0541304683082301
KCNAB2	IU_PDA_T1	PVL	20	3510	0.0	0.00641975308641975	-0.00641975308641975	0.015338004165877682
KCNAB2	IU_PDA_T1	C1Q-TAM	20	3510	0.02	0.010161443494776844	0.009838556505223157	1.9587887425615178
KCNAB2	IU_PDA_T1	CD4+ cells	20	3510	0.003333333333333333	0.0022792022792022773	0.0010541310541310558	1.443060711292062
KCNAB2	IU_PDA_T1	FCN1-TAM	20	3510	0.006666666666666666	0.0044254510921177504	0.0022412155745489158	1.4952468889681683
KCNC4	IU_PDA_T1	myCAF	20	3510	0.8866666666666667	0.8989173789173869	-0.012250712250720164	0.9863732197641466
KCNC4	IU_PDA_T1	Tumor Epithelial cells	20	3510	0.006666666666666666	0.02778727445394123	-0.021120607787274565	0.24264352824592197
KCNC4	IU_PDA_T1	Normal Epithelial cells	20	3510	0.0	0.011585944919278269	-0.011585944919278269	0.008557288322917756
KCNC4	IU_PDA_T1	iCAF	20	3510	0.013333333333333332	0.014890788224121656	-0.001557454890788323	0.896105870651803
KCNC4	IU_PDA_T1	B cells	20	3510	0.003333333333333333	0.011092117758784445	-0.007758784425451112	0.3067635104749131
KCNC4	IU_PDA_T1	DCs	20	3510	0.019999999999999997	0.010636277302943994	0.009363722697056003	1.8721573067499269
KCNC4	IU_PDA_T1	SPP1-TAM	20	3510	0.003333333333333333	0.001728395061728395	0.0016049382716049382	1.8777852802160702
KCNC4	IU_PDA_T1	PVL	20	3510	0.03333333333333333	0.006229819563152894	0.02710351377018044	5.281877784945916
KCNC4	IU_PDA_T1	C1Q-TAM	20	3510	0.013333333333333332	0.010199430199430214	0.003133903133903118	1.304279273049153
KCNC4	IU_PDA_T1	CD4+ cells	20	3510	0.0	0.002298195631528963	-0.002298195631528963	0.041698016077297784
KCNC4	IU_PDA_T1	FCN1-TAM	20	3510	0.019999999999999997	0.004349477682811008	0.01565052231718899	4.517384158965282
KCND2	IU_PDA_T1	myCAF	20	3510	0.89	0.8988983855650601	-0.008898385565060063	0.9901018892715062
KCND2	IU_PDA_T1	Tumor Epithelial cells	20	3510	0.01	0.027768281101614545	-0.017768281101614547	0.36241919489662594
KCND2	IU_PDA_T1	Normal Epithelial cells	20	3510	0.0	0.011585944919278269	-0.011585944919278269	0.008557288322917756
KCND2	IU_PDA_T1	iCAF	20	3510	0.023333333333333334	0.014833808167141598	0.008499525166191737	1.5691465345653082
KCND2	IU_PDA_T1	B cells	20	3510	0.01666666666666667	0.0110161443494777	0.005650522317188969	1.5083167454059252
KCND2	IU_PDA_T1	DCs	20	3510	0.013333333333333332	0.010674264007597368	0.0026590693257359643	1.2467982336297818
KCND2	IU_PDA_T1	SPP1-TAM	20	3510	0.0	0.0017473884140550805	-0.0017473884140550805	0.0541304683082301
KCND2	IU_PDA_T1	PVL	20	3510	0.04	0.006191832858499523	0.03380816714150048	6.373341584532024
KCND2	IU_PDA_T1	C1Q-TAM	20	3510	0.003333333333333333	0.010256410256410275	-0.006923076923076942	0.3315177024015839
KCND2	IU_PDA_T1	CD4+ cells	20	3510	0.0	0.002298195631528963	-0.002298195631528963	0.041698016077297784
KCND2	IU_PDA_T1	FCN1-TAM	20	3510	0.003333333333333333	0.004444444444444436	-0.0011111111111111027	0.7555012224938888
KCND3	IU_PDA_T1	myCAF	20	3510	0.8633333333333333	0.8990503323836736	-0.035716999050340315	0.9602769439503476
KCND3	IU_PDA_T1	Tumor Epithelial cells	20	3510	0.06	0.027483380816714257	0.032516619183285744	2.178848212963879
KCND3	IU_PDA_T1	Normal Epithelial cells	20	3510	0.0	0.011585944919278269	-0.011585944919278269	0.008557288322917756
KCND3	IU_PDA_T1	iCAF	20	3510	0.03	0.014795821462488227	0.015204178537511772	2.0207009110440852
KCND3	IU_PDA_T1	B cells	20	3510	0.02	0.010997150997151013	0.009002849002848987	1.8112757053734152
KCND3	IU_PDA_T1	DCs	20	3510	0.01666666666666667	0.010655270655270681	0.006011396011395989	1.5589255913750595
KCND3	IU_PDA_T1	SPP1-TAM	20	3510	0.0	0.0017473884140550805	-0.0017473884140550805	0.0541304683082301
KCND3	IU_PDA_T1	PVL	20	3510	0.0	0.00641975308641975	-0.00641975308641975	0.015338004165877682
KCND3	IU_PDA_T1	C1Q-TAM	20	3510	0.0	0.01027540360873696	-0.01027540360873696	0.009638179271965055
KCND3	IU_PDA_T1	CD4+ cells	20	3510	0.006666666666666666	0.002260208926875592	0.004406457739791075	2.866977829638275
KCND3	IU_PDA_T1	FCN1-TAM	20	3510	0.003333333333333333	0.004444444444444436	-0.0011111111111111027	0.7555012224938888
KCNE4	IU_PDA_T1	myCAF	34	3496	0.9078431372549021	0.898760488176972	0.009082649077930105	1.0101046260208313
KCNE4	IU_PDA_T1	Tumor Epithelial cells	34	3496	0.0058823529411764705	0.027879481311975696	-0.021997128370799226	0.21381214592480388
KCNE4	IU_PDA_T1	Normal Epithelial cells	34	3496	0.00196078431372549	0.01161327231121283	-0.00965248799748734	0.17593583235939553
KCNE4	IU_PDA_T1	iCAF	34	3496	0.021568627450980392	0.014816933638444033	0.006751693812536359	1.452619417380516
