gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global	wilcoxon_fdr_within_gene
KCNA5	iCAF	1	1	0.11000000000000001	0.0527701085956191	0.057229891404380916	2.0824621496828755				
KCNA5	PVL	1	1	0.03333333333333333	0.004803975704030918	0.028529357629302414	6.817597669958307				
KCNA5	C1Q-TAM	1	1	0.02	0.005411374930977349	0.014588625069022651	3.6470028353588355				
KCNA5	B cells	1	1	0.006666666666666666	0.00044174489232468245	0.006224921774341984	12.490503856215811				
KCNA5	DCs	1	1	0.003333333333333333	0.002760905577029262	0.0005724277563040709	1.2000862107789223				
KCNA5	FCN1-TAM	1	0	0.0	0.0	0.0	1.0				
KCNA5	CD4+ cells	1	0	0.0	0.0002576845205227314	-0.0002576845205227314	0.2795759790047857				
KCNA5	SPP1-TAM	1	0	0.003333333333333333	0.006129210381004959	-0.0027958770476716258	0.5511667006468054				
KCNA5	Normal Epithelial cells	1	0	0.03	0.04062212405669043	-0.010622124056690434	0.7391559428014346				
KCNA5	Tumor Epithelial cells	1	0	0.006666666666666666	0.04588625069022629	-0.03921958402355962	0.14714543075599817				
KCNA5	myCAF	1	0	0.7866666666666666	0.8405853119823363	-0.0539186453156697	0.935863462169299				
KCNAB1	PVL	3	2	0.019999999999999997	0.0042973949420041825	0.015702605057995814	4.570888051924466	1.0	0.5	0.7751677852348994	0.6875
KCNAB1	C1Q-TAM	3	2	0.01	0.001711351968054763	0.007885146327995595	2.4212113471318717	0.0	0.5	0.7751677852348994	0.6875
KCNAB1	iCAF	3	2	0.06	0.05304619915332204	0.00695380084667796	1.1308428628473857	1.0	0.5	0.7751677852348994	0.6875
KCNAB1	DCs	3	2	0.003333333333333333	0.002760905577029262	0.0005724277563040709	1.2000862107789223	0.0	0.5	0.7751677852348994	0.6875
KCNAB1	B cells	3	1	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
KCNAB1	FCN1-TAM	3	1	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
KCNAB1	CD4+ cells	3	0	0.0	0.0002576845205227314	-0.0002576845205227314	0.2795759790047857	0.0	0.5	0.7751677852348994	0.6875
KCNAB1	SPP1-TAM	3	0	0.0	0.0019344698343610215	-0.0019344698343610215	0.04915285462141425	0.0	0.25	0.595360824742268	0.6875
KCNAB1	myCAF	3	1	0.8433333333333334	0.8403092214246332	-0.0036425547579664874	0.9956657368040397	3.0	1.0	1.0	1.0
KCNAB1	Normal Epithelial cells	3	1	0.02333333333333333	0.04065893613105082	-0.01732560279771749	0.5749250485338706	1.0	0.5	0.7751677852348994	0.6875
