target_gene	n_sections_used	n_pathways_fdr_lt_0_05	n_positive_pathways_fdr_lt_0_05	n_negative_pathways_fdr_lt_0_05	top_positive_pathway	top_positive_nes	top_positive_fdr	top_negative_pathway	top_negative_nes	top_negative_fdr	top_positive_gene	top_positive_gene_mean_delta	top_negative_gene	top_negative_gene_mean_delta
KCNA5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNA7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNAB1	3	1	1	0	HALLMARK_MYC_TARGETS_V1	1.3561196963637	0.0378180939045834	HALLMARK_PANCREAS_BETA_CELLS	-1.03009293903011	0.929558246631417	KCNAB1	0.729951070368852	SH3GLB2	-0.157510391938098
KCNAB2	3	9	9	0	HALLMARK_APOPTOSIS	1.63954780307803	7.67975787867031e-05	NA	NA	NA	KCNAB2	0.768722942484065	CRELD2	-0.154593763106867
KCNB1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNC4	3	1	1	0	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.9593420952044	0.000198737803109108	HALLMARK_ALLOGRAFT_REJECTION	-1.35556565740259	0.137889947320236	KCNC4	1.02315768233163	P4HB	-0.173118845822426
KCND2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCND3	3	14	14	0	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.70648449868217	6.2006385711276e-05	HALLMARK_IL6_JAK_STAT3_SIGNALING	-1.06189728969184	0.445109078114004	KCND3	0.817626005940624	NUPR1	-0.18453217233339
KCNE4	3	1	1	0	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.69922018984687	0.0239710614978663	HALLMARK_PROTEIN_SECRETION	-1.24487489860834	0.328947368421053	KCNE4	0.978829782461176	HSPA1B	-0.238243277354598
KCNJ15	3	13	13	0	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.64630377889037	7.70352579402137e-07	HALLMARK_MYC_TARGETS_V2	-1.39210607754179	0.0765625	KCNJ15	1.06187703410575	MT1G	-0.173528974879613
KCNJ16	3	2	2	0	HALLMARK_ANGIOGENESIS	1.77395147676577	0.0128566835464032	NA	NA	NA	KCNJ16	1.09328216313247	CPB1	-0.0974408909228683
KCNJ8	3	8	8	0	HALLMARK_ANGIOGENESIS	1.65593055850159	0.00204461917030135	NA	NA	NA	KCNJ8	0.977378019051553	HSPA1A	-0.155938152080993
KCNK1	3	18	17	1	HALLMARK_APOPTOSIS	1.79745036004521	1.42316323317252e-06	HALLMARK_MYC_TARGETS_V2	-1.63006933427017	0.00985723120832606	KCNK1	1.01935500576541	RBPJL	-0.275125347605876
KCNK15	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNK17	3	3	1	2	HALLMARK_PANCREAS_BETA_CELLS	2.05263238905262	7.59268850156188e-06	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-1.46123534724682	0.00551633133553074	INS	0.780277062504497	HNRNPC	-0.244369698297592
KCNK3	3	2	2	0	HALLMARK_ANGIOGENESIS	1.83533647067275	0.00204935904201771	HALLMARK_BILE_ACID_METABOLISM	-1.05883451579785	0.420344682639765	KCNK3	1.00285596537604	PDK4	-0.110827472024945
KCNK6	3	0	0	0	NA	NA	NA	HALLMARK_MTORC1_SIGNALING	-1.34802245480451	0.128885180858644	KCNK6	0.962595076440708	FTH1	-0.170611953467104
KCNMA1	3	15	12	3	HALLMARK_PANCREAS_BETA_CELLS	2.17269957997539	5.99659621254218e-05	HALLMARK_MTORC1_SIGNALING	-1.60226437471447	0.0020360019978998	KCNMA1	1.06865318032841	AZGP1	-0.212029908418675
KCNMB1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNMB4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNN3	3	0	0	0	HALLMARK_MTORC1_SIGNALING	1.43279950425082	0.113152817863924	HALLMARK_ANGIOGENESIS	-1.16260904555851	0.820008200082001	KCNN3	0.724771822713218	BRSK2	-0.190504494297513
KCNN4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNQ4	3	2	2	0	HALLMARK_PANCREAS_BETA_CELLS	1.48938821877867	0.0408576999413945	NA	NA	NA	KCNQ4	0.730909539770539	ELL2	-0.203908776540555
KCNS3	3	3	3	0	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.70092327239969	0.0110640538512801	HALLMARK_MTORC1_SIGNALING	-1.3596230388157	0.103760349314684	KCNS3	0.944470154517179	DCTN1	-0.133945544499534
KCNT2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
