target_gene	orig.ident	n_spots	n_positive	n_high	min_expression_in_high	mean_expression_in_high	mean_expression_in_rest	used_for_gsea
KCNA5	IU_PDA_NP10	2966	0	0	NA	NA	0	FALSE
KCNA5	IU_PDA_NP11	3859	46	20	0.693147180559945	0.748077794993351	0.00469440653674357	TRUE
KCNA5	IU_PDA_NP2	2995	9	0	NA	NA	0.00208291306345226	FALSE
KCNAB1	IU_PDA_NP10	2966	31	20	0.693147180559945	0.693147180559945	0.00258812592877101	TRUE
KCNAB1	IU_PDA_NP11	3859	104	20	0.693147180559945	0.733693691370762	0.0151665441956331	TRUE
KCNAB1	IU_PDA_NP2	2995	79	20	0.693147180559945	0.794513457586986	0.013746448286735	TRUE
KCNAB2	IU_PDA_NP10	2966	50	20	0.693147180559945	0.713420435965354	0.00705852526028458	TRUE
KCNAB2	IU_PDA_NP11	3859	125	20	0.693147180559945	0.774240202181578	0.0189581802445414	TRUE
KCNAB2	IU_PDA_NP2	2995	89	20	0.693147180559945	0.860601249586102	0.0160763547760122	TRUE
KCNB1	IU_PDA_NP10	2966	0	0	NA	NA	0	FALSE
KCNB1	IU_PDA_NP11	3859	39	20	0.693147180559945	0.693147180559945	0.00343052785377415	TRUE
KCNB1	IU_PDA_NP2	2995	7	0	NA	NA	0.0016200434937962	FALSE
KCNC4	IU_PDA_NP10	2966	363	37	0.693147180559945	1.05937008878602	0.0771478254907962	TRUE
KCNC4	IU_PDA_NP11	3859	445	45	1.09861228866811	1.12274983908299	0.0728013469669864	TRUE
KCNC4	IU_PDA_NP2	2995	407	41	1.09861228866811	1.12510472205029	0.0878024304666399	TRUE
KCND2	IU_PDA_NP10	2966	9	0	NA	NA	0.00210327870028304	FALSE
KCND2	IU_PDA_NP11	3859	49	20	0.693147180559945	0.693147180559945	0.00523606882944476	TRUE
KCND2	IU_PDA_NP2	2995	13	0	NA	NA	0.00300865220276437	FALSE
KCND3	IU_PDA_NP10	2966	58	20	0.693147180559945	0.693147180559945	0.00894079866302713	TRUE
KCND3	IU_PDA_NP11	3859	110	20	0.693147180559945	0.733693691370762	0.0162498687810354	TRUE
KCND3	IU_PDA_NP2	2995	225	23	1.09861228866811	1.09861228866811	0.047384475332882	TRUE
KCNE4	IU_PDA_NP10	2966	177	20	0.693147180559945	0.944921197264614	0.0369396155288226	TRUE
KCNE4	IU_PDA_NP11	3859	227	23	0.693147180559945	0.987717780654833	0.0368618417190378	TRUE
KCNE4	IU_PDA_NP2	2995	721	73	1.09861228866811	1.24482824303273	0.167176416320786	TRUE
KCNJ15	IU_PDA_NP10	2966	854	86	1.09861228866811	1.21537775578701	0.203141492612535	TRUE
KCNJ15	IU_PDA_NP11	3859	1417	142	1.09861228866811	1.37955847724862	0.271796548007446	TRUE
KCNJ15	IU_PDA_NP2	2995	986	99	1.09861228866811	1.30495484188418	0.239321931982578	TRUE
KCNJ16	IU_PDA_NP10	2966	1291	130	1.09861228866811	1.42984298165874	0.328224092119794	TRUE
KCNJ16	IU_PDA_NP11	3859	2112	212	1.38629436111989	1.53770599548006	0.453969680533586	TRUE
KCNJ16	IU_PDA_NP2	2995	1597	160	1.38629436111989	1.53177248387943	0.437281198967465	TRUE
KCNJ8	IU_PDA_NP10	2966	714	72	1.09861228866811	1.15455046942262	0.159090588813958	TRUE
KCNJ8	IU_PDA_NP11	3859	3014	302	1.6094379124341	1.71748499602008	0.756150269529466	TRUE
KCNJ8	IU_PDA_NP2	2995	1959	196	1.38629436111989	1.5265682372346	0.551228787179229	TRUE
KCNK1	IU_PDA_NP10	2966	92	20	0.693147180559945	0.910263838236617	0.016940460624683	TRUE
KCNK1	IU_PDA_NP11	3859	280	28	1.09861228866811	1.2112268883235	0.0459121599648736	TRUE
KCNK1	IU_PDA_NP2	2995	182	20	0.693147180559945	1.03717139645196	0.0377444851262895	TRUE
KCNK15	IU_PDA_NP10	2966	16	0	NA	NA	0.0038758664858622	FALSE
KCNK15	IU_PDA_NP11	3859	30	20	0.693147180559945	0.693147180559945	0.00180554097567061	TRUE
KCNK15	IU_PDA_NP2	2995	40	20	0.693147180559945	0.693147180559945	0.00465981297855425	TRUE
KCNK17	IU_PDA_NP10	2966	109	20	0.693147180559945	0.794513457586986	0.0209402916055109	TRUE
KCNK17	IU_PDA_NP11	3859	78	20	0.693147180559945	0.75396694677617	0.0104721376588895	TRUE
KCNK17	IU_PDA_NP2	2995	57	20	0.693147180559945	0.768351050398759	0.00862065401032537	TRUE
KCNK3	IU_PDA_NP10	2966	526	53	1.09861228866811	1.14203599771744	0.115890758324562	TRUE
KCNK3	IU_PDA_NP11	3859	2288	229	1.38629436111989	1.49512007736799	0.491753329403003	TRUE
KCNK3	IU_PDA_NP2	2995	2049	205	1.38629436111989	1.56376975623282	0.584713847462595	TRUE
KCNK6	IU_PDA_NP10	2966	163	20	0.693147180559945	0.855333223803211	0.0336456370740231	TRUE
KCNK6	IU_PDA_NP11	3859	370	37	0.693147180559945	1.08447044694474	0.0603919443031036	TRUE
KCNK6	IU_PDA_NP2	2995	352	36	0.693147180559945	1.11604229272485	0.0740231527735528	TRUE
KCNMA1	IU_PDA_NP10	2966	363	37	1.09861228866811	1.12796876890242	0.0774246879749944	TRUE
KCNMA1	IU_PDA_NP11	3859	540	54	1.09861228866811	1.21269071590003	0.0927958302434849	TRUE
KCNMA1	IU_PDA_NP2	2995	365	37	1.09861228866811	1.1141626709628	0.0786420965615511	TRUE
KCNMB1	IU_PDA_NP10	2966	10	0	NA	NA	0.00247368068567351	FALSE
KCNMB1	IU_PDA_NP11	3859	50	20	0.693147180559945	0.713420435965354	0.00541662292701181	TRUE
KCNMB1	IU_PDA_NP2	2995	32	20	0.693147180559945	0.794513457586986	0.00279588778713255	TRUE
KCNMB4	IU_PDA_NP10	2966	23	0	NA	NA	0.00578515862346704	FALSE
KCNMB4	IU_PDA_NP11	3859	117	20	0.693147180559945	0.788624305804167	0.0175137474640049	TRUE
KCNMB4	IU_PDA_NP2	2995	34	20	0.693147180559945	0.693147180559945	0.00326186908498798	TRUE
KCNN3	IU_PDA_NP10	2966	51	20	0.693147180559945	0.768351050398759	0.00729380943562739	TRUE
KCNN3	IU_PDA_NP11	3859	72	20	0.693147180559945	0.693147180559945	0.00938881307348715	TRUE
KCNN3	IU_PDA_NP2	2995	38	20	0.693147180559945	0.733693691370762	0.00419383168069883	TRUE
KCNN4	IU_PDA_NP10	2966	16	0	NA	NA	0.0038758664858622	FALSE
KCNN4	IU_PDA_NP11	3859	9	0	NA	NA	0.00161656507515924	FALSE
KCNN4	IU_PDA_NP2	2995	6	0	NA	NA	0.00152398937945504	FALSE
KCNQ4	IU_PDA_NP10	2966	80	20	0.693147180559945	0.733693691370762	0.0141170505205692	TRUE
KCNQ4	IU_PDA_NP11	3859	81	20	0.693147180559945	0.774240202181578	0.0110137999515907	TRUE
KCNQ4	IU_PDA_NP2	2995	35	20	0.693147180559945	0.713420435965354	0.00349485973391569	TRUE
KCNS3	IU_PDA_NP10	2966	187	20	0.693147180559945	0.835059968397803	0.0392924572822508	TRUE
KCNS3	IU_PDA_NP11	3859	288	29	0.693147180559945	1.02464302741993	0.0468733994164558	TRUE
KCNS3	IU_PDA_NP2	2995	519	52	1.09861228866811	1.17358290351522	0.11370957908271	TRUE
KCNT2	IU_PDA_NP10	2966	8	0	NA	NA	0.00186958106691826	FALSE
KCNT2	IU_PDA_NP11	3859	21	0	NA	NA	0.00387705516969863	FALSE
KCNT2	IU_PDA_NP2	2995	0	0	NA	NA	0	FALSE
