target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNAB1	SH3GLB2	3	1	2	-0.157510391938098	-0.221785034907387	0.422678074170635	0.827218059995725
KCNAB1	ATP5MC3	3	0	3	-0.143000633048866	-0.184117460068148	0.18144920772142	0.705631388466839
KCNAB1	SERBP1	3	0	3	-0.139962251775764	-0.156773181931279	0.18144920772142	0.705631388466839
KCNAB1	POLR2L	3	0	3	-0.128490881475738	-0.0638629498155816	0.18144920772142	0.705631388466839
KCNAB1	LUC7L	3	0	3	-0.128347219063256	-0.168482619693569	0.18144920772142	0.705631388466839
KCNAB1	SRSF7	3	0	3	-0.126249181339749	-0.136879113571258	0.18144920772142	0.705631388466839
KCNAB1	MAT2A	3	0	3	-0.124795933763293	-0.153464698537195	0.18144920772142	0.705631388466839
KCNAB1	TGFBR2	3	0	3	-0.124277120693905	-0.157015771907232	0.18144920772142	0.705631388466839
KCNAB1	TCIRG1	3	1	2	-0.122286526520851	-0.167580366426454	0.422678074170635	0.827218059995725
KCNAB1	IL32	3	0	3	-0.118537912791929	-0.155571378189239	0.18144920772142	0.705631388466839
KCNAB1	AFMID	3	1	2	-0.117444863088589	-0.0815224867755992	0.422678074170635	0.827218059995725
KCNAB1	MARCKS	3	0	3	-0.115652513512351	-0.0897800087932085	0.18144920772142	0.705631388466839
KCNAB1	LRPAP1	3	0	3	-0.114940207837114	-0.112987785996721	0.18144920772142	0.705631388466839
KCNAB1	APH1A	3	0	3	-0.11165441539815	-0.118929277637753	0.18144920772142	0.705631388466839
KCNAB1	C7	3	1	2	-0.1115099052121	-0.104840492898823	0.422678074170635	0.827218059995725
KCNAB1	FAF2	3	0	3	-0.108845745897359	-0.105282731313912	0.18144920772142	0.705631388466839
KCNAB1	HIST1H4C	3	0	3	-0.107739515180846	-0.0923161169614524	0.18144920772142	0.705631388466839
KCNAB1	TARS	3	0	3	-0.107038488303241	-0.0669300838943849	0.18144920772142	0.705631388466839
KCNAB1	LLGL2	3	0	3	-0.106341654046234	-0.0633506751171486	0.18144920772142	0.705631388466839
KCNAB1	GCG	3	1	2	-0.103648274851972	-0.137559018102312	0.422678074170635	0.827218059995725
KCNAB1	PRPF3	3	0	3	-0.103432332968543	-0.0884818674700223	0.18144920772142	0.705631388466839
KCNAB1	SSR2	3	1	2	-0.10328903102681	-0.14715566039578	0.422678074170635	0.827218059995725
KCNAB1	OSBPL9	3	0	3	-0.102207034274069	-0.135757614824971	0.18144920772142	0.705631388466839
KCNAB1	MT1H	3	1	2	-0.101993250183306	-0.129165917165195	0.422678074170635	0.827218059995725
KCNAB1	DCN	3	1	2	-0.101826555626079	-0.189123967584659	0.422678074170635	0.827218059995725
KCNAB1	MATR3	3	0	3	-0.101772716957713	-0.102192970940066	0.18144920772142	0.705631388466839
KCNAB1	MARCH6	3	0	3	-0.101705007976113	-0.123892138311709	0.18144920772142	0.705631388466839
KCNAB1	SRPRA	3	0	3	-0.101247721182718	-0.0607915121336742	0.18144920772142	0.705631388466839
KCNAB1	PDCD5	3	1	2	-0.100940318188121	-0.15898179213904	0.422678074170635	0.827218059995725
KCNAB1	ORMDL3	3	0	3	-0.0990522430384165	-0.0728486618932912	0.18144920772142	0.705631388466839
KCNAB2	CRELD2	3	0	3	-0.154593763106867	-0.171029187659593	0.18144920772142	0.739510772843032
KCNAB2	WDR13	3	0	3	-0.152914145571327	-0.206590942920322	0.18144920772142	0.739510772843032
KCNAB2	LARS	3	0	3	-0.146186276486311	-0.152641827539698	0.18144920772142	0.739510772843032
KCNAB2	SH3RF1	3	0	3	-0.140786696658939	-0.15432021312514	0.18144920772142	0.739510772843032
KCNAB2	SMARCC1	3	0	3	-0.139696607901589	-0.105071263897166	0.18144920772142	0.739510772843032
KCNAB2	KCNJ8	3	0	3	-0.137236050513167	-0.0100363759133822	0.18144920772142	0.739510772843032
KCNAB2	PPIE	3	0	3	-0.13645421675867	-0.152592679349623	0.18144920772142	0.739510772843032
KCNAB2	POLR2B	3	0	3	-0.13528270037784	-0.102048969359656	0.18144920772142	0.739510772843032
KCNAB2	EXOC4	3	0	3	-0.135124034630371	-0.111616690005067	0.18144920772142	0.739510772843032
KCNAB2	FAM13A	3	0	3	-0.129571339970155	-0.126885010339133	0.18144920772142	0.739510772843032
KCNAB2	BACE1	3	0	3	-0.125830251710989	-0.105939664878195	0.18144920772142	0.739510772843032
KCNAB2	EXT1	3	0	3	-0.125261937158888	-0.147265859964011	0.18144920772142	0.739510772843032
KCNAB2	OAF	3	1	2	-0.12458797966438	-0.173439673477466	0.422678074170635	0.857782168137868
KCNAB2	ZNF358	3	1	2	-0.123443155276939	-0.181049781117589	0.422678074170635	0.857782168137868
KCNAB2	NKTR	3	0	3	-0.122214927306522	-0.131441722966171	0.18144920772142	0.739510772843032
KCNAB2	NDUFA13	3	0	3	-0.12144821475599	-0.120022669075533	0.18144920772142	0.739510772843032
KCNAB2	ERRFI1	3	0	3	-0.12108676355791	-0.0546935602456751	0.18144920772142	0.739510772843032
KCNAB2	NUDT3	3	0	3	-0.12079943164812	-0.102475311664233	0.18144920772142	0.739510772843032
KCNAB2	CHCHD5	3	0	3	-0.118472409090214	-0.102853254430304	0.18144920772142	0.739510772843032
KCNAB2	RBPJL	3	1	2	-0.116781539098304	-0.0412036271929739	0.422678074170635	0.857782168137868
KCNAB2	MAP2K2	3	0	3	-0.115716841629588	-0.125210692860687	0.18144920772142	0.739510772843032
KCNAB2	PPIL2	3	0	3	-0.114467502016107	-0.128181861030086	0.18144920772142	0.739510772843032
KCNAB2	NOL7	3	0	3	-0.114324647365173	-0.0983664920833903	0.18144920772142	0.739510772843032
KCNAB2	HDAC2	3	1	2	-0.114319710490116	-0.122578269889199	0.422678074170635	0.857782168137868
KCNAB2	NMRAL1	3	1	2	-0.113743241485119	-0.140470415489411	0.422678074170635	0.857782168137868
KCNAB2	LONP1	3	0	3	-0.113569782153277	-0.135849299427393	0.18144920772142	0.739510772843032
KCNAB2	CARS	3	0	3	-0.113559658385765	-0.13219927987134	0.18144920772142	0.739510772843032
KCNAB2	PSMD6	3	0	3	-0.113533088179189	-0.0874183008591227	0.18144920772142	0.739510772843032
KCNAB2	PHLDB2	3	0	3	-0.113496587453696	-0.134420122342801	0.18144920772142	0.739510772843032
KCNAB2	ZFR	3	0	3	-0.113460802438169	-0.115123744879666	0.18144920772142	0.739510772843032
KCNC4	P4HB	3	0	3	-0.173118845822426	-0.0628897299249065	0.18144920772142	0.79444481593922
KCNC4	SAP18	3	0	3	-0.134812646846883	-0.117936463670553	0.18144920772142	0.79444481593922
KCNC4	AQP8	3	0	3	-0.134800755704022	-0.147543579074406	0.18144920772142	0.79444481593922
KCNC4	CPB1	3	0	3	-0.12682206996155	-0.0605213730537466	0.18144920772142	0.79444481593922
KCNC4	MT1H	3	0	3	-0.121947012782896	-0.12217769191224	0.18144920772142	0.79444481593922
KCNC4	LARP4	3	0	3	-0.121228431190686	-0.105134156955895	0.18144920772142	0.79444481593922
KCNC4	GALNT2	3	0	3	-0.115395739586657	-0.154080688963515	0.18144920772142	0.79444481593922
KCNC4	TMEM97	3	0	3	-0.115101876301616	-0.116612504243401	0.18144920772142	0.79444481593922
KCNC4	THOC7	3	0	3	-0.115027320660668	-0.102083232195827	0.18144920772142	0.79444481593922
KCNC4	STUB1	3	1	2	-0.111209360843357	-0.146786711915164	0.422678074170635	0.900315969967732
KCNC4	EPB41L4B	3	0	3	-0.108224329844373	-0.112796412459009	0.18144920772142	0.79444481593922
KCNC4	ALB	3	0	3	-0.107270470065194	-0.120467202779424	0.18144920772142	0.79444481593922
KCNC4	GRSF1	3	0	3	-0.10699184639778	-0.106744419987829	0.18144920772142	0.79444481593922
KCNC4	SEC11A	3	0	3	-0.106693772287018	-0.0749035635484428	0.18144920772142	0.79444481593922
KCNC4	EEF1D	3	0	3	-0.10615878545795	-0.116927950812721	0.18144920772142	0.79444481593922
KCNC4	WAC	3	1	2	-0.106098524514385	-0.0991120269097158	0.422678074170635	0.900315969967732
KCNC4	SLC3A2	3	1	2	-0.103153205156495	-0.0366544513417303	0.422678074170635	0.900315969967732
KCNC4	ACOX1	3	1	2	-0.103016977620486	-0.0534506968466736	0.422678074170635	0.900315969967732
KCNC4	ALDH2	3	0	3	-0.102440982796223	-0.0960758234759367	0.18144920772142	0.79444481593922
KCNC4	IFFO2	3	0	3	-0.102115806500553	-0.101895517879002	0.18144920772142	0.79444481593922
KCNC4	YIF1A	3	0	3	-0.101630500448531	-0.0742694131545387	0.18144920772142	0.79444481593922
KCNC4	PDIA6	3	0	3	-0.10104230248352	-0.0668210824980906	0.18144920772142	0.79444481593922
KCNC4	ECHDC3	3	0	3	-0.100355131941542	-0.110724290498193	0.18144920772142	0.79444481593922
KCNC4	F3	3	0	3	-0.0989856313667961	-0.0563286366716151	0.18144920772142	0.79444481593922
KCNC4	UQCRB	3	0	3	-0.0989528775478322	-0.119246886283466	0.18144920772142	0.79444481593922
KCNC4	NOP53	3	0	3	-0.0987642654874045	-0.107967213477328	0.18144920772142	0.79444481593922
KCNC4	IGFBP2	3	0	3	-0.0979263600570285	-0.0982891207567977	0.18144920772142	0.79444481593922
KCNC4	DPEP1	3	0	3	-0.0972061165629312	-0.129815279172651	0.18144920772142	0.79444481593922
KCNC4	COX6B1	3	1	2	-0.0969864403617379	-0.0997876241607905	0.422678074170635	0.900315969967732
KCNC4	CYB561	3	0	3	-0.0957073479064895	-0.0610329472162245	0.18144920772142	0.79444481593922
KCND3	NUPR1	3	0	3	-0.18453217233339	-0.228424558118844	0.18144920772142	0.872382220646536
KCND3	MAT2A	3	0	3	-0.18279643653202	-0.123926661850704	0.18144920772142	0.872382220646536
KCND3	PM20D1	3	0	3	-0.178010483205705	-0.123762534352701	0.18144920772142	0.872382220646536
KCND3	SPSB3	3	0	3	-0.163209666513705	-0.0846858908688475	0.18144920772142	0.872382220646536
KCND3	SMARCC1	3	0	3	-0.157449569491923	-0.160288049804567	0.18144920772142	0.872382220646536
KCND3	ARHGAP17	3	0	3	-0.148216975760212	-0.162913078001943	0.18144920772142	0.872382220646536
KCND3	CFTR	3	0	3	-0.14618288342078	-0.109191337392125	0.18144920772142	0.872382220646536
KCND3	COPZ1	3	0	3	-0.141381759487264	-0.0907390863837196	0.18144920772142	0.872382220646536
KCND3	PCID2	3	0	3	-0.13997474834411	-0.161777423244554	0.18144920772142	0.872382220646536
KCND3	BRD4	3	0	3	-0.138327963485653	-0.130477560792438	0.18144920772142	0.872382220646536
KCND3	RBM6	3	0	3	-0.135054805217175	-0.123401695319701	0.18144920772142	0.872382220646536
KCND3	PYCR1	3	0	3	-0.135037201262883	-0.0698678811920835	0.18144920772142	0.872382220646536
KCND3	MYO1C	3	0	3	-0.132030855320195	-0.119635017431121	0.18144920772142	0.872382220646536
KCND3	CERS2	3	0	3	-0.130937653131235	-0.0241520529128601	0.18144920772142	0.872382220646536
KCND3	MTMR12	3	1	2	-0.129154171110301	-0.0400569814693347	0.789268026134281	1
KCND3	PDIA2	3	1	2	-0.125840625883683	-0.183601599794462	0.422678074170635	0.966580525117459
KCND3	CTDSP1	3	0	3	-0.124418999923373	-0.0467854540618824	0.18144920772142	0.872382220646536
KCND3	LMO3	3	0	3	-0.123997407405844	-0.115951486341775	0.18144920772142	0.872382220646536
