target_gene	orig.ident	partner_gene	local_corr_z
KCNA5	IU_PDA_NP10	KCNMB1	4.042557694025706
KCNA5	IU_PDA_NP10	KCND2	3.3410199751705796
KCNA5	IU_PDA_NP10	KCNT2	3.224230787573563
KCNA5	IU_PDA_NP10	KCNMB4	2.695840470941686
KCNA5	IU_PDA_NP10	KCNK15	2.532459573415015
KCNA5	IU_PDA_NP10	KCNAB1	2.152087375300719
KCNA5	IU_PDA_NP10	KCNN4	1.9804679972503816
KCNA5	IU_PDA_NP10	KCNN3	1.6930266780095342
KCNA5	IU_PDA_NP10	GDPD4	1.4412239224585401
KCNA5	IU_PDA_NP10	KCNAB2	1.3327358352478378
KCNA5	IU_PDA_NP10	KCND3	1.310538520393998
KCNA5	IU_PDA_NP10	KCNQ4	1.2285300370962573
KCNA5	IU_PDA_NP10	CYP2C18	1.0858315568830317
KCNA5	IU_PDA_NP10	CLDN18	1.0829332695610197
KCNA5	IU_PDA_NP10	CRYAB	1.0513605342939738
KCNA5	IU_PDA_NP10	KCNS3	1.028090080605784
KCNA5	IU_PDA_NP10	ACTA2	0.9732190947096327
KCNA5	IU_PDA_NP10	BCAS1	0.9507245182493638
KCNA5	IU_PDA_NP10	BIRC2	0.8796589635531233
KCNA5	IU_PDA_NP10	CCN1	0.8614821159239298
KCNA5	IU_PDA_NP10	KCNK17	0.845541859462355
KCNA5	IU_PDA_NP10	HBA2	0.8109168099763996
KCNA5	IU_PDA_NP10	PAN3	0.7931557101153816
KCNA5	IU_PDA_NP10	KCNK6	0.7809949632888927
KCNA5	IU_PDA_NP10	NFKBIZ	0.7342516649712595
KCNA5	IU_PDA_NP10	SLC38A10	0.6978799431169608
KCNA5	IU_PDA_NP10	CCN2	0.6970659868218065
KCNA5	IU_PDA_NP10	RHOB	0.696296003640253
KCNA5	IU_PDA_NP10	SLC39A5	0.6941425899216896
KCNA5	IU_PDA_NP10	PEBP1	0.6864587329901024
KCNA5	IU_PDA_NP10	HSPA6	0.6810341322550867
KCNA5	IU_PDA_NP10	PPP1R3C	0.6592457532096863
KCNA5	IU_PDA_NP10	ERN2	0.6486965401643988
KCNA5	IU_PDA_NP10	SLC5A3	0.6482230867133983
KCNA5	IU_PDA_NP10	LAMB1	0.639654093563908
KCNA5	IU_PDA_NP10	SLC44A4	0.6354696739307217
KCNA5	IU_PDA_NP10	SLC17A9	0.622586468206037
KCNA5	IU_PDA_NP10	APOD	0.6187024841025334
KCNA5	IU_PDA_NP10	KCNE4	0.6168983914597136
KCNA5	IU_PDA_NP10	ECHDC2	0.5838226522282053
KCNA5	IU_PDA_NP10	B3GNT6	0.5701947527757175
KCNA5	IU_PDA_NP10	TRIM50	0.5688734554934048
KCNA5	IU_PDA_NP10	KCNJ15	0.557011376527925
KCNA5	IU_PDA_NP10	KLF10	0.5496272485304942
KCNA5	IU_PDA_NP10	CHCHD2	0.5400586407400393
KCNA5	IU_PDA_NP10	GATAD1	0.538756609412336
KCNA5	IU_PDA_NP10	KCNMA1	0.5384823534375383
KCNA5	IU_PDA_NP10	L3HYPDH	0.534263633524931
KCNA5	IU_PDA_NP10	IER5	0.5331164118633412
KCNA5	IU_PDA_NP10	IARS	0.5324388490722185
KCNA5	IU_PDA_NP10	VIM	0.529717758049201
KCNA5	IU_PDA_NP10	SYCE1	0.5196283578698206
KCNA5	IU_PDA_NP10	CDC16	0.5166439288152993
KCNA5	IU_PDA_NP10	SERPINF1	0.5160941529405402
KCNA5	IU_PDA_NP10	LARS	0.5092363520074648
KCNA5	IU_PDA_NP10	HERC4	0.5087335309195145
KCNA5	IU_PDA_NP10	VSIG1	0.5082523227242718
KCNA5	IU_PDA_NP10	GRPR	0.5071168927260808
KCNA5	IU_PDA_NP10	SDCBP2	0.5051005639199463
KCNA5	IU_PDA_NP10	NR4A1	0.5004329865555182
KCNA5	IU_PDA_NP10	ANXA10	0.49227264967746026
KCNA5	IU_PDA_NP10	CYP2S1	0.4917486197136044
KCNA5	IU_PDA_NP10	BTAF1	0.4917161113578034
KCNA5	IU_PDA_NP10	BAG3	0.4847180253819696
KCNA5	IU_PDA_NP10	PWWP3B	0.48051112024685316
KCNA5	IU_PDA_NP10	HSPA8	0.4799374367746495
KCNA5	IU_PDA_NP10	TPO	0.47004661372900025
KCNA5	IU_PDA_NP10	DNAJA4	0.463295354112425
KCNA5	IU_PDA_NP10	ATF3	0.46205215387485266
KCNA5	IU_PDA_NP10	ATP1B1	0.45865179357001434
KCNA5	IU_PDA_NP10	TIA1	0.45836166457572003
KCNA5	IU_PDA_NP10	LPGAT1	0.45605313994724034
KCNA5	IU_PDA_NP10	BTG2	0.4539275811813303
KCNA5	IU_PDA_NP10	FOXO3	0.4463032688521235
KCNA5	IU_PDA_NP10	HSPH1	0.44611937435201665
KCNA5	IU_PDA_NP10	RUNX1	0.4459611237052921
KCNA5	IU_PDA_NP10	CENPC	0.4450762781823102
KCNA5	IU_PDA_NP10	EXT1	0.4434494280825587
KCNA5	IU_PDA_NP10	CHD2	0.4412006962534286
KCNA5	IU_PDA_NP10	DUSP1	0.43806396866532465
KCNA5	IU_PDA_NP10	FNBP4	0.43373184475873344
KCNA5	IU_PDA_NP10	ADAM28	0.43307492100857226
KCNA5	IU_PDA_NP10	HSPD1	0.42934338597627475
KCNA5	IU_PDA_NP10	CDRT4	0.4264505450666437
KCNA5	IU_PDA_NP10	MAATS1	0.4192478907668462
