target_gene	orig.ident	available_for_local_corr
KCNA5	IU_PDA_NP10	True
KCNA7	IU_PDA_NP10	False
KCNAB1	IU_PDA_NP10	True
KCNAB2	IU_PDA_NP10	True
KCNB1	IU_PDA_NP10	False
KCNC4	IU_PDA_NP10	True
KCND2	IU_PDA_NP10	True
KCND3	IU_PDA_NP10	True
KCNE4	IU_PDA_NP10	True
KCNJ15	IU_PDA_NP10	True
KCNJ16	IU_PDA_NP10	True
KCNJ8	IU_PDA_NP10	True
KCNK1	IU_PDA_NP10	True
KCNK15	IU_PDA_NP10	True
KCNK17	IU_PDA_NP10	True
KCNK3	IU_PDA_NP10	True
KCNK6	IU_PDA_NP10	True
KCNMA1	IU_PDA_NP10	True
KCNMB1	IU_PDA_NP10	True
KCNMB4	IU_PDA_NP10	True
KCNN3	IU_PDA_NP10	True
KCNN4	IU_PDA_NP10	True
KCNQ4	IU_PDA_NP10	True
KCNS3	IU_PDA_NP10	True
KCNT2	IU_PDA_NP10	True
KCNA5	IU_PDA_NP11	True
KCNA7	IU_PDA_NP11	False
KCNAB1	IU_PDA_NP11	True
KCNAB2	IU_PDA_NP11	True
KCNB1	IU_PDA_NP11	True
KCNC4	IU_PDA_NP11	True
KCND2	IU_PDA_NP11	True
KCND3	IU_PDA_NP11	True
KCNE4	IU_PDA_NP11	True
KCNJ15	IU_PDA_NP11	True
KCNJ16	IU_PDA_NP11	True
KCNJ8	IU_PDA_NP11	True
KCNK1	IU_PDA_NP11	True
KCNK15	IU_PDA_NP11	True
KCNK17	IU_PDA_NP11	True
KCNK3	IU_PDA_NP11	True
KCNK6	IU_PDA_NP11	True
KCNMA1	IU_PDA_NP11	True
KCNMB1	IU_PDA_NP11	True
KCNMB4	IU_PDA_NP11	True
KCNN3	IU_PDA_NP11	True
KCNN4	IU_PDA_NP11	True
KCNQ4	IU_PDA_NP11	True
KCNS3	IU_PDA_NP11	True
KCNT2	IU_PDA_NP11	True
KCNA5	IU_PDA_NP2	True
KCNA7	IU_PDA_NP2	False
KCNAB1	IU_PDA_NP2	True
KCNAB2	IU_PDA_NP2	True
KCNB1	IU_PDA_NP2	True
KCNC4	IU_PDA_NP2	True
KCND2	IU_PDA_NP2	True
KCND3	IU_PDA_NP2	True
KCNE4	IU_PDA_NP2	True
KCNJ15	IU_PDA_NP2	True
KCNJ16	IU_PDA_NP2	True
KCNJ8	IU_PDA_NP2	True
KCNK1	IU_PDA_NP2	True
KCNK15	IU_PDA_NP2	True
KCNK17	IU_PDA_NP2	True
KCNK3	IU_PDA_NP2	True
KCNK6	IU_PDA_NP2	True
KCNMA1	IU_PDA_NP2	True
KCNMB1	IU_PDA_NP2	True
KCNMB4	IU_PDA_NP2	True
KCNN3	IU_PDA_NP2	True
KCNN4	IU_PDA_NP2	True
KCNQ4	IU_PDA_NP2	True
KCNS3	IU_PDA_NP2	True
KCNT2	IU_PDA_NP2	True
