target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCNA5	IU_PDA_NP10	2966	13318	4744	423	0.0747216667020006	2.043561014359632	0.05602269308037981	
KCNA7	IU_PDA_NP10	2966	13318	4744	423				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_NP10	2966	13318	4744	423	-0.00041565304403723836	-0.04923009205294234	0.5721752327276949	
KCNAB2	IU_PDA_NP10	2966	13318	4744	423	0.0064698397032673825	0.946619569033057	0.25790070939009035	
KCNB1	IU_PDA_NP10	2966	13318	4744	423				Target gene unavailable in local correlation matrix
KCNC4	IU_PDA_NP10	2966	13318	4744	423	0.027265698565857865	5.821118517547966	3.287605577140906e-08	
KCND2	IU_PDA_NP10	2966	13318	4744	423	0.02349983801820159	1.3170746102099855	0.1726464485448034	
KCND3	IU_PDA_NP10	2966	13318	4744	423	0.005940710942670655	0.8561258356496416	0.2822679804707937	
KCNE4	IU_PDA_NP10	2966	13318	4744	423	0.015628929824038473	2.983939180704039	0.005837668533935145	
KCNJ15	IU_PDA_NP10	2966	13318	4744	423	0.04896362473152542	10.400597748960061	3.953403747552495e-24	
KCNJ16	IU_PDA_NP10	2966	13318	4744	423	0.022800135539982863	4.762463429296866	7.563343558714982e-06	
KCNJ8	IU_PDA_NP10	2966	13318	4744	423	0.017211333203601784	3.530352772080176	0.001056393119398636	
KCNK1	IU_PDA_NP10	2966	13318	4744	423	0.01659509826023539	2.969417543203968	0.006079595175936901	
KCNK15	IU_PDA_NP10	2966	13318	4744	423	0.014466625228017668	1.193227529019342	0.198805163253569	
KCNK17	IU_PDA_NP10	2966	13318	4744	423	0.006550312735649871	1.2436453702267622	0.1884189276787742	
KCNK3	IU_PDA_NP10	2966	13318	4744	423	0.012219091250199189	2.510476520811529	0.02025901019284962	
KCNK6	IU_PDA_NP10	2966	13318	4744	423	0.00469940252196234	0.923928033032847	0.263670752905022	
KCNMA1	IU_PDA_NP10	2966	13318	4744	423	0.022541778019436284	4.654372838969134	1.2415169271541707e-05	
KCNMB1	IU_PDA_NP10	2966	13318	4744	423	0.02888001493232853	1.6937956956821563	0.10360700963195828	
KCNMB4	IU_PDA_NP10	2966	13318	4744	423	0.014350690377747145	1.5200707389121573	0.1329040392013573	
KCNN3	IU_PDA_NP10	2966	13318	4744	423	0.00850646549693759	1.2805724278466242	0.18042291424373494	
KCNN4	IU_PDA_NP10	2966	13318	4744	423	0.04681519215477585	4.041112573244488	0.00016264779304628048	
KCNQ4	IU_PDA_NP10	2966	13318	4744	423	0.010719948659042411	1.9334238877702863	0.06899518059101425	
KCNS3	IU_PDA_NP10	2966	13318	4744	423	0.005381078194507822	1.0384930350717352	0.23476906353344182	
