orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_NP11	KCNA5	3859	17236	46.0	0.016268138262940303	2.757313221546769	0.0029139248563965848	0.02436895139488187	bernoulli	30	
IU_PDA_NP2	KCNA5	2995	14116	9.0	0.03787627048379829	2.1058540901883314	0.017608514317412803	0.11037379578356978	bernoulli	30	
IU_PDA_NP10	KCNA5	2966	13318	4.0	0.0747216667020006	2.043561014359632	0.02049846699059099	0.05602269308037981	bernoulli	30	
IU_PDA_NP10	KCNA7	2966	13318						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_NP11	KCNA7	3859	17236						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_NP2	KCNA7	2995	14116						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_NP2	KCNAB1	2995	14116	80.0	0.006352955605500055	0.9891606279454531	0.16129227917242756	0.36048160430620446	bernoulli	30	
IU_PDA_NP11	KCNAB1	3859	17236	104.0	0.004075207341835852	0.8315369468903201	0.20283518260580358	0.3618931294624881	bernoulli	30	
IU_PDA_NP10	KCNAB1	2966	13318	34.0	-0.00041565304403723836	-0.04923009205294234	0.5196320348281626	0.5721752327276949	bernoulli	30	
IU_PDA_NP2	KCNAB2	2995	14116	89.0	0.015175615161531977	2.5479050206663256	0.005418598600364015	0.049539467514726966	bernoulli	30	
IU_PDA_NP10	KCNAB2	2966	13318	53.0	0.0064698397032673825	0.946619569033057	0.1719163342741008	0.25790070939009035	bernoulli	30	
IU_PDA_NP11	KCNAB2	3859	17236	125.0	0.0012277653558727957	0.2599977628467651	0.3974327496312875	0.5170705670776623	bernoulli	30	
IU_PDA_NP2	KCNB1	2995	14116	7.0	0.036344662589347015	1.6712304463637473	0.0473380843226958	0.20237784379316684	bernoulli	30	
IU_PDA_NP11	KCNB1	3859	17236	39.0	0.004779775634607684	0.7518689758801721	0.22606492838301934	0.3806247050512573	bernoulli	30	
IU_PDA_NP10	KCNB1	2966	13318						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_NP10	KCNC4	2966	13318	401.0	0.027265698565857865	5.821118517547966	2.922754920659884e-09	3.287605577140906e-08	bernoulli	30	
IU_PDA_NP11	KCNC4	3859	17236	445.0	0.00893006915931264	2.035711779800357	0.020889652759949084	0.10391170417618541	bernoulli	30	
IU_PDA_NP2	KCNC4	2995	14116	461.0	-0.00397524856956435	-0.7986912502793219	0.7877652692404042	0.8372934674043782	bernoulli	30	
IU_PDA_NP2	KCND2	2995	14116	13.0	0.021620552944960764	1.569513556117371	0.05826416163115153	0.22471500152604781	bernoulli	30	
IU_PDA_NP10	KCND2	2966	13318	9.0	0.02349983801820159	1.3170746102099855	0.09390680832396425	0.1726464485448034	bernoulli	30	
IU_PDA_NP11	KCND2	3859	17236	49.0	-0.0024283999547167843	-0.42589737211380546	0.6649086850611035	0.7249725516012892	bernoulli	30	
IU_PDA_NP2	KCND3	2995	14116	232.0	0.014511837069745645	2.8832965053992954	0.0019676841132928854	0.02314652411936864	bernoulli	30	
IU_PDA_NP11	KCND3	3859	17236	110.0	0.004945763800326996	1.0068222874412545	0.15701009114782116	0.32192291228073033	bernoulli	30	
IU_PDA_NP10	KCND3	2966	13318	68.0	0.005940710942670655	0.8561258356496416	0.19596408976069668	0.2822679804707937	bernoulli	30	
IU_PDA_NP2	KCNE4	2995	14116	864.0	0.0391445835528271	8.156488317112458	1.724529268848324e-16	1.1115732949343809e-14	bernoulli	30	
IU_PDA_NP11	KCNE4	3859	17236	227.0	0.013747561868172562	3.174863049215635	0.0007495361689028792	0.008217577478385979	bernoulli	30	
IU_PDA_NP10	KCNE4	2966	13318	200.0	0.015628929824038473	2.983939180704039	0.0014228166437267968	0.005837668533935145	bernoulli	30	
IU_PDA_NP10	KCNJ15	2966	13318	952.0	0.04896362473152542	10.400597748960061	1.2319136170853622e-25	3.953403747552495e-24	bernoulli	30	
IU_PDA_NP11	KCNJ15	3859	17236	1437.0	0.02437177086347268	5.878915118793954	2.0648202549301093e-09	7.019574342006976e-08	bernoulli	30	
IU_PDA_NP2	KCNJ15	2995	14116	1210.0	0.027024489941993465	5.657610725695827	7.674739487438712e-09	2.770757611373014e-07	bernoulli	30	
IU_PDA_NP10	KCNJ16	2966	13318	1448.0	0.022800135539982863	4.762463429296866	9.562193195538839e-07	7.563343558714982e-06	bernoulli	30	
IU_PDA_NP11	KCNJ16	3859	17236	2122.0	0.017725831584481544	4.262470031767259	1.010898097424832e-05	0.0001889787376053623	bernoulli	30	
IU_PDA_NP2	KCNJ16	2995	14116	1690.0	0.006983601664976787	1.4863344839725796	0.06859533489509842	0.24320822790177674	bernoulli	30	
IU_PDA_NP11	KCNJ8	3859	17236	2821.0	0.0249506633270381	6.070681678024237	6.368421643792546e-10	2.286794071925173e-08	bernoulli	30	
IU_PDA_NP2	KCNJ8	2995	14116	1799.0	0.023779823155175468	5.173222712522592	1.1504524184544924e-07	3.7247216373632146e-06	bernoulli	30	
IU_PDA_NP10	KCNJ8	2966	13318	793.0	0.017211333203601784	3.530352772080176	0.00020750295842820484	0.001056393119398636	bernoulli	30	
IU_PDA_NP11	KCNK1	3859	17236	280.0	0.03505354359476059	8.022929891693549	5.162614339210308e-16	3.0578288917741876e-14	bernoulli	30	
IU_PDA_NP10	KCNK1	2966	13318	101.0	0.01659509826023539	2.969417543203968	0.0014918243756541366	0.006079595175936901	bernoulli	30	
IU_PDA_NP2	KCNK1	2995	14116	185.0	-0.001965336185706428	-0.3743733759133383	0.6459367259500551	0.7410030738326678	bernoulli	30	
IU_PDA_NP10	KCNK15	2966	13318	16.0	0.014466625228017668	1.193227529019342	0.11639013800030618	0.198805163253569	bernoulli	30	
IU_PDA_NP11	KCNK15	3859	17236	30.0	0.007757467443520762	1.0361234423442718	0.15007227850535437	0.31664557651060593	bernoulli	30	
IU_PDA_NP2	KCNK15	2995	14116	40.0	0.0050709377782470625	0.6534926368153491	0.2567193674024233	0.4512889900688179	bernoulli	30	
IU_PDA_NP11	KCNK17	3859	17236	78.0	0.010729297696072853	2.031811201574608	0.02108638638144539	0.10449461172735491	bernoulli	30	
