orig.ident	gene	available_for_hotspot	positive_spots
IU_PDA_NP10	KCNA5	True	4
IU_PDA_NP10	KCNA7	False	0
IU_PDA_NP10	KCNAB1	True	34
IU_PDA_NP10	KCNAB2	True	53
IU_PDA_NP10	KCNB1	False	0
IU_PDA_NP10	KCNC4	True	401
IU_PDA_NP10	KCND2	True	9
IU_PDA_NP10	KCND3	True	68
IU_PDA_NP10	KCNE4	True	200
IU_PDA_NP10	KCNJ15	True	952
IU_PDA_NP10	KCNJ16	True	1448
IU_PDA_NP10	KCNJ8	True	793
IU_PDA_NP10	KCNK1	True	101
IU_PDA_NP10	KCNK15	True	16
IU_PDA_NP10	KCNK17	True	119
IU_PDA_NP10	KCNK3	True	602
IU_PDA_NP10	KCNK6	True	187
IU_PDA_NP10	KCNMA1	True	417
IU_PDA_NP10	KCNMB1	True	10
IU_PDA_NP10	KCNMB4	True	26
IU_PDA_NP10	KCNN3	True	53
IU_PDA_NP10	KCNN4	True	16
IU_PDA_NP10	KCNQ4	True	83
IU_PDA_NP10	KCNS3	True	202
IU_PDA_NP10	KCNT2	True	8
IU_PDA_NP11	KCNA5	True	46
IU_PDA_NP11	KCNA7	False	0
IU_PDA_NP11	KCNAB1	True	104
IU_PDA_NP11	KCNAB2	True	125
IU_PDA_NP11	KCNB1	True	39
IU_PDA_NP11	KCNC4	True	445
IU_PDA_NP11	KCND2	True	49
IU_PDA_NP11	KCND3	True	110
IU_PDA_NP11	KCNE4	True	227
IU_PDA_NP11	KCNJ15	True	1437
IU_PDA_NP11	KCNJ16	True	2122
IU_PDA_NP11	KCNJ8	True	2821
IU_PDA_NP11	KCNK1	True	280
IU_PDA_NP11	KCNK15	True	30
IU_PDA_NP11	KCNK17	True	78
IU_PDA_NP11	KCNK3	True	2250
IU_PDA_NP11	KCNK6	True	370
IU_PDA_NP11	KCNMA1	True	540
IU_PDA_NP11	KCNMB1	True	50
IU_PDA_NP11	KCNMB4	True	117
IU_PDA_NP11	KCNN3	True	72
IU_PDA_NP11	KCNN4	True	9
IU_PDA_NP11	KCNQ4	True	81
IU_PDA_NP11	KCNS3	True	288
IU_PDA_NP11	KCNT2	True	21
IU_PDA_NP2	KCNA5	True	9
IU_PDA_NP2	KCNA7	False	0
IU_PDA_NP2	KCNAB1	True	80
IU_PDA_NP2	KCNAB2	True	89
IU_PDA_NP2	KCNB1	True	7
IU_PDA_NP2	KCNC4	True	461
IU_PDA_NP2	KCND2	True	13
IU_PDA_NP2	KCND3	True	232
IU_PDA_NP2	KCNE4	True	864
IU_PDA_NP2	KCNJ15	True	1210
IU_PDA_NP2	KCNJ16	True	1690
IU_PDA_NP2	KCNJ8	True	1799
IU_PDA_NP2	KCNK1	True	185
IU_PDA_NP2	KCNK15	True	40
IU_PDA_NP2	KCNK17	True	57
IU_PDA_NP2	KCNK3	True	1893
IU_PDA_NP2	KCNK6	True	390
IU_PDA_NP2	KCNMA1	True	410
IU_PDA_NP2	KCNMB1	True	32
IU_PDA_NP2	KCNMB4	True	34
IU_PDA_NP2	KCNN3	True	38
IU_PDA_NP2	KCNN4	True	6
IU_PDA_NP2	KCNQ4	True	35
IU_PDA_NP2	KCNS3	True	594
IU_PDA_NP2	KCNT2	True	4
