gene	n_sections_tested	n_fdr_lt_0_05	median_Z	max_Z	median_C
KCNJ15	3	3	5.878915118793954	10.400597748960061	0.027024489941993465
KCNJ8	3	3	5.173222712522592	6.070681678024237	0.023779823155175468
KCNMA1	3	2	4.654372838969134	10.064730491513526	0.022541778019436284
KCNJ16	3	2	4.262470031767259	4.762463429296866	0.017725831584481544
KCNE4	3	3	3.174863049215635	8.156488317112458	0.015628929824038473
KCNK1	3	2	2.969417543203968	8.022929891693549	0.01659509826023539
KCNK3	3	2	2.510476520811529	4.044909154214264	0.012219091250199189
KCNA5	3	1	2.1058540901883314	2.757313221546769	0.03787627048379829
KCNC4	3	1	2.035711779800357	5.821118517547966	0.00893006915931264
KCNN4	3	1	2.0162158407932305	4.041112573244488	0.04681519215477585
KCNT2	3	0	1.7499313802065037	1.9256543972892939	0.03176960346875224
KCNQ4	3	0	1.5415075112865744	1.9334238877702863	0.010238784404173371
KCNMB4	3	0	1.5200707389121573	1.9183262466597488	0.014350690377747145
KCNK17	3	0	1.345949132908828	2.031811201574608	0.00927437557689869
KCND2	3	0	1.3170746102099855	1.569513556117371	0.021620552944960764
KCNN3	3	0	1.2805724278466242	1.8217654505076204	0.00850646549693759
KCNMB1	3	0	1.2123240611588308	1.6937956956821563	0.009731936422529454
KCNB1	2	0	1.2115497111219597	1.6712304463637473	0.02056221911197735
KCNS3	3	0	1.0384930350717352	1.8119548440625095	0.005381078194507822
KCNK15	3	0	1.0361234423442718	1.193227529019342	0.007757467443520762
KCND3	3	1	1.0068222874412545	2.8832965053992954	0.005940710942670655
KCNAB2	3	1	0.946619569033057	2.5479050206663256	0.0064698397032673825
KCNK6	3	0	0.923928033032847	1.0921547663374584	0.00469940252196234
KCNAB1	3	0	0.8315369468903201	0.9891606279454531	0.004075207341835852
