target_gene	orig.ident	available_for_local_corr
KCNA5	IU_PDA_T1	True
KCNA7	IU_PDA_T1	False
KCNAB1	IU_PDA_T1	True
KCNAB2	IU_PDA_T1	True
KCNB1	IU_PDA_T1	True
KCNC4	IU_PDA_T1	True
KCND2	IU_PDA_T1	True
KCND3	IU_PDA_T1	True
KCNE4	IU_PDA_T1	True
KCNJ15	IU_PDA_T1	True
KCNJ16	IU_PDA_T1	True
KCNJ8	IU_PDA_T1	True
KCNK1	IU_PDA_T1	True
KCNK15	IU_PDA_T1	True
KCNK17	IU_PDA_T1	True
KCNK3	IU_PDA_T1	True
KCNK6	IU_PDA_T1	True
KCNMA1	IU_PDA_T1	True
KCNMB1	IU_PDA_T1	True
KCNMB4	IU_PDA_T1	True
KCNN3	IU_PDA_T1	True
KCNN4	IU_PDA_T1	True
KCNQ4	IU_PDA_T1	True
KCNS3	IU_PDA_T1	True
KCNT2	IU_PDA_T1	True
KCNA5	IU_PDA_T10	True
KCNA7	IU_PDA_T10	False
KCNAB1	IU_PDA_T10	True
KCNAB2	IU_PDA_T10	True
KCNB1	IU_PDA_T10	True
KCNC4	IU_PDA_T10	True
KCND2	IU_PDA_T10	True
KCND3	IU_PDA_T10	True
KCNE4	IU_PDA_T10	True
KCNJ15	IU_PDA_T10	True
KCNJ16	IU_PDA_T10	True
KCNJ8	IU_PDA_T10	True
KCNK1	IU_PDA_T10	True
KCNK15	IU_PDA_T10	True
KCNK17	IU_PDA_T10	True
KCNK3	IU_PDA_T10	True
KCNK6	IU_PDA_T10	True
KCNMA1	IU_PDA_T10	True
KCNMB1	IU_PDA_T10	True
KCNMB4	IU_PDA_T10	True
KCNN3	IU_PDA_T10	True
KCNN4	IU_PDA_T10	True
KCNQ4	IU_PDA_T10	True
KCNS3	IU_PDA_T10	True
KCNT2	IU_PDA_T10	True
KCNA5	IU_PDA_T11	True
KCNA7	IU_PDA_T11	False
KCNAB1	IU_PDA_T11	True
KCNAB2	IU_PDA_T11	True
KCNB1	IU_PDA_T11	True
KCNC4	IU_PDA_T11	True
KCND2	IU_PDA_T11	True
KCND3	IU_PDA_T11	True
KCNE4	IU_PDA_T11	True
KCNJ15	IU_PDA_T11	True
KCNJ16	IU_PDA_T11	True
KCNJ8	IU_PDA_T11	True
KCNK1	IU_PDA_T11	True
KCNK15	IU_PDA_T11	True
KCNK17	IU_PDA_T11	True
KCNK3	IU_PDA_T11	True
KCNK6	IU_PDA_T11	True
KCNMA1	IU_PDA_T11	True
KCNMB1	IU_PDA_T11	True
KCNMB4	IU_PDA_T11	True
KCNN3	IU_PDA_T11	True
KCNN4	IU_PDA_T11	True
KCNQ4	IU_PDA_T11	True
KCNS3	IU_PDA_T11	True
KCNT2	IU_PDA_T11	True
KCNA5	IU_PDA_T12	True
KCNA7	IU_PDA_T12	False
KCNAB1	IU_PDA_T12	True
KCNAB2	IU_PDA_T12	True
KCNB1	IU_PDA_T12	True
KCNC4	IU_PDA_T12	True
KCND2	IU_PDA_T12	True
KCND3	IU_PDA_T12	True
KCNE4	IU_PDA_T12	True
KCNJ15	IU_PDA_T12	True
KCNJ16	IU_PDA_T12	True
KCNJ8	IU_PDA_T12	True
KCNK1	IU_PDA_T12	True
KCNK15	IU_PDA_T12	True
KCNK17	IU_PDA_T12	True
KCNK3	IU_PDA_T12	True
KCNK6	IU_PDA_T12	True
KCNMA1	IU_PDA_T12	True
KCNMB1	IU_PDA_T12	True
KCNMB4	IU_PDA_T12	True
KCNN3	IU_PDA_T12	True
KCNN4	IU_PDA_T12	True
KCNQ4	IU_PDA_T12	True
KCNS3	IU_PDA_T12	True
KCNT2	IU_PDA_T12	True
KCNA5	IU_PDA_T2	True
KCNA7	IU_PDA_T2	False
KCNAB1	IU_PDA_T2	True
KCNAB2	IU_PDA_T2	True
KCNB1	IU_PDA_T2	True
KCNC4	IU_PDA_T2	True
KCND2	IU_PDA_T2	True
KCND3	IU_PDA_T2	True
KCNE4	IU_PDA_T2	True
KCNJ15	IU_PDA_T2	True
KCNJ16	IU_PDA_T2	True
KCNJ8	IU_PDA_T2	True
KCNK1	IU_PDA_T2	True
KCNK15	IU_PDA_T2	True
KCNK17	IU_PDA_T2	True
KCNK3	IU_PDA_T2	True
KCNK6	IU_PDA_T2	True
KCNMA1	IU_PDA_T2	True
KCNMB1	IU_PDA_T2	True
KCNMB4	IU_PDA_T2	True
KCNN3	IU_PDA_T2	True
KCNN4	IU_PDA_T2	True
KCNQ4	IU_PDA_T2	True
KCNS3	IU_PDA_T2	True
KCNT2	IU_PDA_T2	True
KCNA5	IU_PDA_T3	True
KCNA7	IU_PDA_T3	False
KCNAB1	IU_PDA_T3	True
KCNAB2	IU_PDA_T3	True
KCNB1	IU_PDA_T3	True
KCNC4	IU_PDA_T3	True
KCND2	IU_PDA_T3	True
KCND3	IU_PDA_T3	True
KCNE4	IU_PDA_T3	True
KCNJ15	IU_PDA_T3	True
KCNJ16	IU_PDA_T3	True
KCNJ8	IU_PDA_T3	True
KCNK1	IU_PDA_T3	True
KCNK15	IU_PDA_T3	True
KCNK17	IU_PDA_T3	True
KCNK3	IU_PDA_T3	True
KCNK6	IU_PDA_T3	True
KCNMA1	IU_PDA_T3	True
KCNMB1	IU_PDA_T3	True
KCNMB4	IU_PDA_T3	True
KCNN3	IU_PDA_T3	True
KCNN4	IU_PDA_T3	True
KCNQ4	IU_PDA_T3	True
KCNS3	IU_PDA_T3	True
KCNT2	IU_PDA_T3	True
KCNA5	IU_PDA_T4	True
KCNA7	IU_PDA_T4	False
KCNAB1	IU_PDA_T4	True
KCNAB2	IU_PDA_T4	True
KCNB1	IU_PDA_T4	True
KCNC4	IU_PDA_T4	True
KCND2	IU_PDA_T4	True
KCND3	IU_PDA_T4	True
KCNE4	IU_PDA_T4	True
KCNJ15	IU_PDA_T4	True
KCNJ16	IU_PDA_T4	True
KCNJ8	IU_PDA_T4	True
KCNK1	IU_PDA_T4	True
KCNK15	IU_PDA_T4	True
KCNK17	IU_PDA_T4	True
KCNK3	IU_PDA_T4	True
KCNK6	IU_PDA_T4	True
KCNMA1	IU_PDA_T4	True
KCNMB1	IU_PDA_T4	True
KCNMB4	IU_PDA_T4	True
KCNN3	IU_PDA_T4	True
KCNN4	IU_PDA_T4	True
KCNQ4	IU_PDA_T4	True
KCNS3	IU_PDA_T4	True
KCNT2	IU_PDA_T4	True
KCNA5	IU_PDA_T6	True
KCNA7	IU_PDA_T6	False
KCNAB1	IU_PDA_T6	True
KCNAB2	IU_PDA_T6	True
KCNB1	IU_PDA_T6	False
KCNC4	IU_PDA_T6	True
KCND2	IU_PDA_T6	True
KCND3	IU_PDA_T6	True
KCNE4	IU_PDA_T6	True
KCNJ15	IU_PDA_T6	True
KCNJ16	IU_PDA_T6	True
KCNJ8	IU_PDA_T6	True
KCNK1	IU_PDA_T6	True
KCNK15	IU_PDA_T6	True
KCNK17	IU_PDA_T6	True
KCNK3	IU_PDA_T6	True
KCNK6	IU_PDA_T6	True
KCNMA1	IU_PDA_T6	True
KCNMB1	IU_PDA_T6	True
KCNMB4	IU_PDA_T6	True
KCNN3	IU_PDA_T6	True
KCNN4	IU_PDA_T6	True
KCNQ4	IU_PDA_T6	True
KCNS3	IU_PDA_T6	True
KCNT2	IU_PDA_T6	True
KCNA5	IU_PDA_T8	False
KCNA7	IU_PDA_T8	False
KCNAB1	IU_PDA_T8	True
KCNAB2	IU_PDA_T8	True
KCNB1	IU_PDA_T8	False
KCNC4	IU_PDA_T8	True
KCND2	IU_PDA_T8	True
KCND3	IU_PDA_T8	True
KCNE4	IU_PDA_T8	True
KCNJ15	IU_PDA_T8	True
KCNJ16	IU_PDA_T8	True
KCNJ8	IU_PDA_T8	True
KCNK1	IU_PDA_T8	True
KCNK15	IU_PDA_T8	True
KCNK17	IU_PDA_T8	True
KCNK3	IU_PDA_T8	True
KCNK6	IU_PDA_T8	True
KCNMA1	IU_PDA_T8	True
KCNMB1	IU_PDA_T8	True
KCNMB4	IU_PDA_T8	True
KCNN3	IU_PDA_T8	True
KCNN4	IU_PDA_T8	True
KCNQ4	IU_PDA_T8	True
KCNS3	IU_PDA_T8	True
KCNT2	IU_PDA_T8	True
KCNA5	IU_PDA_T9	True
KCNA7	IU_PDA_T9	False
KCNAB1	IU_PDA_T9	True
KCNAB2	IU_PDA_T9	True
KCNB1	IU_PDA_T9	True
KCNC4	IU_PDA_T9	True
KCND2	IU_PDA_T9	True
KCND3	IU_PDA_T9	True
KCNE4	IU_PDA_T9	True
KCNJ15	IU_PDA_T9	True
KCNJ16	IU_PDA_T9	True
KCNJ8	IU_PDA_T9	True
KCNK1	IU_PDA_T9	True
KCNK15	IU_PDA_T9	True
KCNK17	IU_PDA_T9	True
KCNK3	IU_PDA_T9	True
KCNK6	IU_PDA_T9	True
KCNMA1	IU_PDA_T9	True
KCNMB1	IU_PDA_T9	True
KCNMB4	IU_PDA_T9	True
KCNN3	IU_PDA_T9	True
KCNN4	IU_PDA_T9	True
KCNQ4	IU_PDA_T9	True
KCNS3	IU_PDA_T9	True
KCNT2	IU_PDA_T9	True
