target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCNA5	IU_PDA_T1	3530	13524	1146	423	0.06897453994435375	2.0025001806568397	0.16004802539045074	
KCNA7	IU_PDA_T1	3530	13524	1146	423				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T1	3530	13524	1146	423	0.024837500866344373	1.6510413967762567	0.24920234669795255	
KCNAB2	IU_PDA_T1	3530	13524	1146	423	0.012540638027908484	2.3407191161935548	0.09063076994499134	
KCNB1	IU_PDA_T1	3530	13524	1146	423	0.0688889275497505	1.6919539358841469	0.23954961554828255	
KCNC4	IU_PDA_T1	3530	13524	1146	423	0.002779396707055896	0.5521951417909164	0.4994453029368539	
KCND2	IU_PDA_T1	3530	13524	1146	423	0.0071689798849826755	1.352526436793784	0.32475102594197847	
KCND3	IU_PDA_T1	3530	13524	1146	423	0.005130442941183839	0.9692001539735764	0.401858303611898	
KCNE4	IU_PDA_T1	3530	13524	1146	423	0.0013880500562859772	0.30445923594224794	0.5642524740538072	
KCNJ15	IU_PDA_T1	3530	13524	1146	423	0.009362452841396099	1.400923906231887	0.3123497074245812	
KCNJ16	IU_PDA_T1	3530	13524	1146	423	0.009508498828642933	0.8720880287406386	0.42340458601412717	
KCNJ8	IU_PDA_T1	3530	13524	1146	423	0.0009338441998504091	0.19094594293506692	0.5949213524679675	
KCNK1	IU_PDA_T1	3530	13524	1146	423	0.006131878076732021	1.1091018504438193	0.37132430289787327	
KCNK15	IU_PDA_T1	3530	13524	1146	423	0.028603308421993302	1.3765096208241088	0.31866833979830406	
KCNK17	IU_PDA_T1	3530	13524	1146	423	0.023923101182811116	2.144541206499271	0.12921942630844124	
KCNK3	IU_PDA_T1	3530	13524	1146	423	0.024025336915038158	1.2920011044376298	0.3356330701261005	
KCNK6	IU_PDA_T1	3530	13524	1146	423	0.0010344550409327666	0.21854949514244207	0.58735224797043	
KCNMA1	IU_PDA_T1	3530	13524	1146	423	0.03177327515155393	7.200408654157265	1.4654831962140208e-11	
KCNMB1	IU_PDA_T1	3530	13524	1146	423	0.01570098864638984	3.0224359494366473	0.01851054250690042	
KCNMB4	IU_PDA_T1	3530	13524	1146	423	0.0011213859106179549	0.2023091657083021	0.5916309874126591	
KCNN3	IU_PDA_T1	3530	13524	1146	423	0.002667045977309088	0.375649259334412	0.5460794023795125	
KCNN4	IU_PDA_T1	3530	13524	1146	423	0.016155151055441984	2.7148038362358244	0.041367369624698495	
KCNQ4	IU_PDA_T1	3530	13524	1146	423	0.014209191806714903	1.5229776491195441	0.28031868228904183	
KCNS3	IU_PDA_T1	3530	13524	1146	423	0.0037543150899085674	0.8224524265192306	0.43575860924048254	
KCNT2	IU_PDA_T1	3530	13524	1146	423	0.013555137432768746	0.9789207687982227	0.39958361419763433	
KCNA5	IU_PDA_T10	2714	13635	1219	424	0.046979699114052684	1.6990083947914705	0.22403338885951682	
KCNA7	IU_PDA_T10	2714	13635	1219	424				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T10	2714	13635	1219	424	0.08800620153148503	1.931029965724942	0.16778437492628892	
KCNAB2	IU_PDA_T10	2714	13635	1219	424	-0.006319757170222752	-1.171029032644989	0.897639447346058	
KCNB1	IU_PDA_T10	2714	13635	1219	424	0.04323109495078339	1.5754855735321898	0.2491381476580346	
KCNC4	IU_PDA_T10	2714	13635	1219	424	-0.00342634119224117	-0.48801570585116855	0.7619442023912519	
KCND2	IU_PDA_T10	2714	13635	1219	424	0.013704274942328546	1.4324950173870312	0.27879338697512296	
KCND3	IU_PDA_T10	2714	13635	1219	424	0.005899199685641246	0.7208938928630086	0.4471074107579442	
KCNE4	IU_PDA_T10	2714	13635	1219	424	0.004599550758179485	0.822222480204044	0.4209215113272789	
KCNJ15	IU_PDA_T10	2714	13635	1219	424	0.006389112446597447	0.7079681447225161	0.4501739417898876	
KCNJ16	IU_PDA_T10	2714	13635	1219	424	0.05632699829381711	2.573172169257128	0.05481014092202047	
KCNJ8	IU_PDA_T10	2714	13635	1219	424	0.006054608764674173	1.0585225509430523	0.36286117563131043	
KCNK1	IU_PDA_T10	2714	13635	1219	424	0.02087037946359264	4.026351443508429	0.0006896510094629046	
KCNK15	IU_PDA_T10	2714	13635	1219	424	0.010386237277028976	0.8229338793872909	0.4206966173823381	
KCNK17	IU_PDA_T10	2714	13635	1219	424	0.016250814042646795	1.2710524923254434	0.3128405231104585	
KCNK3	IU_PDA_T10	2714	13635	1219	424	0.04468720570469935	2.2952229897939005	0.09478803323837227	
KCNK6	IU_PDA_T10	2714	13635	1219	424	-0.0013036499840907427	-0.2280263462566732	0.7001828408904964	
KCNMA1	IU_PDA_T10	2714	13635	1219	424	0.013495926236334116	2.493106219538617	0.06473529460014911	
KCNMB1	IU_PDA_T10	2714	13635	1219	424	0.015145951789495035	1.8829580040609721	0.18050823081311057	
KCNMB4	IU_PDA_T10	2714	13635	1219	424	0.005773811617721529	0.6000959082576787	0.47703566116576135	
KCNN3	IU_PDA_T10	2714	13635	1219	424	0.013314472874301304	1.8722159831722471	0.18220134908757077	
KCNN4	IU_PDA_T10	2714	13635	1219	424	0.007608743738717058	1.2390322532945393	0.3206720190642981	
KCNQ4	IU_PDA_T10	2714	13635	1219	424	0.023980496031322244	1.755251121810838	0.21161549888772416	
KCNS3	IU_PDA_T10	2714	13635	1219	424	0.007661661152910608	1.338450912774805	0.2991828048745269	
KCNT2	IU_PDA_T10	2714	13635	1219	424	0.04217827008289199	1.5775501523082387	0.24887604065222482	
KCNA5	IU_PDA_T11	2777	14686	2801	422	0.033868916065088295	1.652294945950246	0.16196601692365414	
KCNA7	IU_PDA_T11	2777	14686	2801	422				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T11	2777	14686	2801	422	0.006654172950649124	0.9460278064321066	0.3156982191929705	
KCNAB2	IU_PDA_T11	2777	14686	2801	422	-0.00017167902262962104	-0.030206751230828978	0.6069461361536372	
KCNB1	IU_PDA_T11	2777	14686	2801	422	0.01206163969144443	1.7990183176619854	0.13250110146071933	
KCNC4	IU_PDA_T11	2777	14686	2801	422	0.012736753390498779	2.241311055814253	0.06186609445029272	
KCND2	IU_PDA_T11	2777	14686	2801	422	0.010080145248311785	1.5601623065276942	0.17974684526244145	
KCND3	IU_PDA_T11	2777	14686	2801	422	0.022769660365924687	3.6942627684027025	0.0010875218072414735	
KCNE4	IU_PDA_T11	2777	14686	2801	422	-0.0015754414327651867	-0.3038458839119886	0.6861993908964062	
KCNJ15	IU_PDA_T11	2777	14686	2801	422	0.010259784152961644	1.334066034552202	0.22846042878802486	
KCNJ16	IU_PDA_T11	2777	14686	2801	422	0.058008614202119786	2.064992393925584	0.08666369792915879	
KCNJ8	IU_PDA_T11	2777	14686	2801	422	0.009849120071703212	1.8203807043151223	0.12888906528996266	
KCNK1	IU_PDA_T11	2777	14686	2801	422	0.012765952485265136	2.490899916149686	0.03593107192524696	
KCNK15	IU_PDA_T11	2777	14686	2801	422	0.011327073057260077	1.2015599963830372	0.25704981714389386	
KCNK17	IU_PDA_T11	2777	14686	2801	422	0.0393651633728024	1.5488964270505665	0.1820056625318082	
