orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T12	KCNA5	3642	15208	92.0	0.02268915179435414	4.3329103040151145	7.357553636543229e-06	3.5476751967200195e-05	bernoulli	30	
IU_PDA_T4	KCNA5	3621	14334	15.0	0.03615373226369357	3.2644641844290256	0.0005483566382576931	0.0030103960370684688	bernoulli	30	
IU_PDA_T1	KCNA5	3530	13524	4.0	0.06897453994435375	2.0025001806568397	0.022615481848650646	0.16004802539045074	bernoulli	30	
IU_PDA_T2	KCNA5	4118	14706	21.0	0.01907872114830197	1.9577495642850675	0.025129703104554788	0.1394030229557083	bernoulli	30	
IU_PDA_T10	KCNA5	2714	13635	6.0	0.046979699114052684	1.6990083947914705	0.04465880094757365	0.22403338885951682	bernoulli	30	
IU_PDA_T11	KCNA5	2777	14686	9.0	0.033868916065088295	1.652294945950246	0.04923721955465674	0.16196601692365414	bernoulli	30	
IU_PDA_T6	KCNA5	3397	15000	9.0	0.027622302175979732	1.6279995036186377	0.05176249551136765	0.11139704916363195	bernoulli	30	
IU_PDA_T9	KCNA5	3526	14113	11.0	0.016333157396687475	1.1045443591642041	0.13467853608597613	0.3403864935138577	bernoulli	30	
IU_PDA_T3	KCNA5	4354	14668	13.0	0.00901408970165353	0.7924331243481223	0.2140540857531249	0.31435175508879015	bernoulli	30	
IU_PDA_T8	KCNA5	3779	14218						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T1	KCNA7	3530	13524						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T10	KCNA7	2714	13635						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T11	KCNA7	2777	14686						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T12	KCNA7	3642	15208						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T2	KCNA7	4118	14706						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T3	KCNA7	4354	14668						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T4	KCNA7	3621	14334						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T6	KCNA7	3397	15000						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T8	KCNA7	3779	14218						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T9	KCNA7	3526	14113						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T12	KCNAB1	3642	15208	175.0	0.022492742516216614	4.836150187041877	6.618895880317549e-07	3.573310917567245e-06	bernoulli	30	
IU_PDA_T10	KCNAB1	2714	13635	3.0	0.08800620153148503	1.931029965724942	0.026739673393093206	0.16778437492628892	bernoulli	30	
IU_PDA_T1	KCNAB1	3530	13524	11.0	0.024837500866344373	1.6510413967762567	0.049365061136040736	0.24920234669795255	bernoulli	30	
IU_PDA_T6	KCNAB1	3397	15000	29.0	0.010231298548338175	1.3250430375682716	0.09257843864716536	0.16836524972205147	bernoulli	30	
IU_PDA_T8	KCNAB1	3779	14218	8.0	0.02779195107467141	1.2771459811511643	0.10077535697429785	0.25558758927230946	bernoulli	30	
IU_PDA_T3	KCNAB1	4354	14668	21.0	0.01066131407513153	1.2464117545768008	0.10630663401242274	0.19327041493483102	bernoulli	30	
IU_PDA_T4	KCNAB1	3621	14334	18.0	0.01251244833010123	1.1962585537526225	0.11579783863004889	0.21808516869309166	bernoulli	30	
IU_PDA_T2	KCNAB1	4118	14706	23.0	0.008729697598569447	0.9624449997539666	0.16791305924329158	0.39531328330105286	bernoulli	30	
IU_PDA_T11	KCNAB1	2777	14686	50.0	0.006654172950649124	0.9460278064321066	0.17206720189157843	0.3156982191929705	bernoulli	30	
IU_PDA_T9	KCNAB1	3526	14113	36.0	-0.0008020874909535435	-0.10718890522556584	0.5426804414669391	0.6906937100035462	bernoulli	30	
IU_PDA_T12	KCNAB2	3642	15208	1328.0	0.043112955371019585	9.98384022542636	8.969327104219029e-24	1.1861350139214173e-22	bernoulli	30	
IU_PDA_T3	KCNAB2	4354	14668	604.0	0.011027956764208523	2.825332627047946	0.0023615778280226462	0.007648404411886989	bernoulli	30	
IU_PDA_T8	KCNAB2	3779	14218	310.0	0.011249823971690312	2.5303150843559097	0.005698006850784442	0.03665803683459421	bernoulli	30	
IU_PDA_T1	KCNAB2	3530	13524	131.0	0.012540638027908484	2.3407191161935548	0.00962332044077252	0.09063076994499134	bernoulli	30	
IU_PDA_T4	KCNAB2	3621	14334	297.0	0.0047489182495622	1.0552707844721956	0.14565074942574452	0.24851950543764784	bernoulli	30	
IU_PDA_T9	KCNAB2	3526	14113	342.0	0.004409331786959118	0.9959465559223419	0.15963805656524965	0.3680725195728424	bernoulli	30	
IU_PDA_T6	KCNAB2	3397	15000	292.0	0.004062408934143637	0.8205074190654379	0.2059634507948922	0.2907445663394864	bernoulli	30	
IU_PDA_T2	KCNAB2	4118	14706	223.0	0.0021648031170769513	0.49531266641486943	0.3101897156296294	0.5204205703167517	bernoulli	30	
IU_PDA_T11	KCNAB2	2777	14686	201.0	-0.00017167902262962104	-0.030206751230828978	0.512048917856882	0.6069461361536372	bernoulli	30	
IU_PDA_T10	KCNAB2	2714	13635	229.0	-0.006319757170222752	-1.171029032644989	0.8792064462525682	0.897639447346058	bernoulli	30	
IU_PDA_T3	KCNB1	4354	14668	8.0	0.03824967395618272	2.1857596800850274	0.014416596026361049	0.03825992953042589	bernoulli	30	
IU_PDA_T11	KCNB1	2777	14686	51.0	0.01206163969144443	1.7990183176619854	0.03600789159265497	0.13250110146071933	bernoulli	30	
IU_PDA_T1	KCNB1	3530	13524	3.0	0.0688889275497505	1.6919539358841469	0.04532737845223714	0.23954961554828255	bernoulli	30	
IU_PDA_T10	KCNB1	2714	13635	7.0	0.04323109495078339	1.5754855735321898	0.0575722029189357	0.2491381476580346	bernoulli	30	
IU_PDA_T4	KCNB1	3621	14334	6.0	0.031613812403947644	1.4118911857141576	0.07899100172828483	0.1684906277936361	bernoulli	30	
IU_PDA_T2	KCNB1	4118	14706	13.0	0.015007774403163011	1.205456270711076	0.11401360486585732	0.3322787693146783	bernoulli	30	
IU_PDA_T12	KCNB1	3642	15208	39.0	0.0075908000924230995	1.107616083086973	0.13401382728719247	0.20875559254387632	bernoulli	30	
IU_PDA_T9	KCNB1	3526	14113	12.0	0.012293750917869968	0.929804691811264	0.1762361083278045	0.3876986213754279	bernoulli	30	
IU_PDA_T6	KCNB1	3397	15000						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T8	KCNB1	3779	14218						bernoulli	30	Gene unavailable in filtered Hotspot result
IU_PDA_T11	KCNC4	2777	14686	206.0	0.012736753390498779	2.241311055814253	0.01250296665725649	0.06186609445029272	bernoulli	30	
IU_PDA_T3	KCNC4	4354	14668	180.0	0.007409072729204311	1.8103865702835062	0.03511793022368347	0.08133740731422535	bernoulli	30	
IU_PDA_T4	KCNC4	3621	14334	192.0	0.006736686146403135	1.4061902728538747	0.07983381590666372	0.16949899375482214	bernoulli	30	
