orig.ident	gene	available_for_hotspot	positive_spots
IU_PDA_T1	KCNA5	True	4
IU_PDA_T1	KCNA7	False	0
IU_PDA_T1	KCNAB1	True	11
IU_PDA_T1	KCNAB2	True	131
IU_PDA_T1	KCNB1	True	3
IU_PDA_T1	KCNC4	True	131
IU_PDA_T1	KCND2	True	115
IU_PDA_T1	KCND3	True	78
IU_PDA_T1	KCNE4	True	335
IU_PDA_T1	KCNJ15	True	55
IU_PDA_T1	KCNJ16	True	20
IU_PDA_T1	KCNJ8	True	189
IU_PDA_T1	KCNK1	True	172
IU_PDA_T1	KCNK15	True	7
IU_PDA_T1	KCNK17	True	21
IU_PDA_T1	KCNK3	True	8
IU_PDA_T1	KCNK6	True	193
IU_PDA_T1	KCNMA1	True	417
IU_PDA_T1	KCNMB1	True	118
IU_PDA_T1	KCNMB4	True	125
IU_PDA_T1	KCNN3	True	38
IU_PDA_T1	KCNN4	True	123
IU_PDA_T1	KCNQ4	True	26
IU_PDA_T1	KCNS3	True	371
IU_PDA_T1	KCNT2	True	12
IU_PDA_T10	KCNA5	True	6
IU_PDA_T10	KCNA7	False	0
IU_PDA_T10	KCNAB1	True	3
IU_PDA_T10	KCNAB2	True	229
IU_PDA_T10	KCNB1	True	7
IU_PDA_T10	KCNC4	True	86
IU_PDA_T10	KCND2	True	28
IU_PDA_T10	KCND3	True	50
IU_PDA_T10	KCNE4	True	135
IU_PDA_T10	KCNJ15	True	30
IU_PDA_T10	KCNJ16	True	8
IU_PDA_T10	KCNJ8	True	140
IU_PDA_T10	KCNK1	True	459
IU_PDA_T10	KCNK15	True	23
IU_PDA_T10	KCNK17	True	23
IU_PDA_T10	KCNK3	True	12
IU_PDA_T10	KCNK6	True	222
IU_PDA_T10	KCNMA1	True	174
IU_PDA_T10	KCNMB1	True	46
IU_PDA_T10	KCNMB4	True	28
IU_PDA_T10	KCNN3	True	52
IU_PDA_T10	KCNN4	True	163
IU_PDA_T10	KCNQ4	True	16
IU_PDA_T10	KCNS3	True	145
IU_PDA_T10	KCNT2	True	7
IU_PDA_T11	KCNA5	True	9
IU_PDA_T11	KCNA7	False	0
IU_PDA_T11	KCNAB1	True	50
IU_PDA_T11	KCNAB2	True	201
IU_PDA_T11	KCNB1	True	51
IU_PDA_T11	KCNC4	True	206
IU_PDA_T11	KCND2	True	74
IU_PDA_T11	KCND3	True	82
IU_PDA_T11	KCNE4	True	185
IU_PDA_T11	KCNJ15	True	56
IU_PDA_T11	KCNJ16	True	6
IU_PDA_T11	KCNJ8	True	219
IU_PDA_T11	KCNK1	True	466
IU_PDA_T11	KCNK15	True	26
IU_PDA_T11	KCNK17	True	7
IU_PDA_T11	KCNK3	True	40
IU_PDA_T11	KCNK6	True	282
IU_PDA_T11	KCNMA1	True	1165
IU_PDA_T11	KCNMB1	True	511
IU_PDA_T11	KCNMB4	True	191
IU_PDA_T11	KCNN3	True	84
IU_PDA_T11	KCNN4	True	296
IU_PDA_T11	KCNQ4	True	52
IU_PDA_T11	KCNS3	True	370
IU_PDA_T11	KCNT2	True	20
IU_PDA_T12	KCNA5	True	92
IU_PDA_T12	KCNA7	False	0
IU_PDA_T12	KCNAB1	True	175
IU_PDA_T12	KCNAB2	True	1328
IU_PDA_T12	KCNB1	True	39
IU_PDA_T12	KCNC4	True	532
IU_PDA_T12	KCND2	True	552
IU_PDA_T12	KCND3	True	547
IU_PDA_T12	KCNE4	True	1098
IU_PDA_T12	KCNJ15	True	871
IU_PDA_T12	KCNJ16	True	18
IU_PDA_T12	KCNJ8	True	749
IU_PDA_T12	KCNK1	True	826
IU_PDA_T12	KCNK15	True	36
IU_PDA_T12	KCNK17	True	383
IU_PDA_T12	KCNK3	True	249
IU_PDA_T12	KCNK6	True	1137
IU_PDA_T12	KCNMA1	True	1558
IU_PDA_T12	KCNMB1	True	798
IU_PDA_T12	KCNMB4	True	599
IU_PDA_T12	KCNN3	True	266
IU_PDA_T12	KCNN4	True	832
IU_PDA_T12	KCNQ4	True	189
IU_PDA_T12	KCNS3	True	1074
IU_PDA_T12	KCNT2	True	61
IU_PDA_T2	KCNA5	True	21
IU_PDA_T2	KCNA7	False	0
IU_PDA_T2	KCNAB1	True	23
IU_PDA_T2	KCNAB2	True	223
IU_PDA_T2	KCNB1	True	13
IU_PDA_T2	KCNC4	True	229
IU_PDA_T2	KCND2	True	93
IU_PDA_T2	KCND3	True	81
IU_PDA_T2	KCNE4	True	218
IU_PDA_T2	KCNJ15	True	496
IU_PDA_T2	KCNJ16	True	72
IU_PDA_T2	KCNJ8	True	294
IU_PDA_T2	KCNK1	True	569
IU_PDA_T2	KCNK15	True	6
IU_PDA_T2	KCNK17	True	156
IU_PDA_T2	KCNK3	True	137
IU_PDA_T2	KCNK6	True	360
IU_PDA_T2	KCNMA1	True	428
IU_PDA_T2	KCNMB1	True	77
IU_PDA_T2	KCNMB4	True	196
IU_PDA_T2	KCNN3	True	53
IU_PDA_T2	KCNN4	True	730
IU_PDA_T2	KCNQ4	True	48
IU_PDA_T2	KCNS3	True	489
IU_PDA_T2	KCNT2	True	19
IU_PDA_T3	KCNA5	True	13
IU_PDA_T3	KCNA7	False	0
IU_PDA_T3	KCNAB1	True	21
IU_PDA_T3	KCNAB2	True	604
IU_PDA_T3	KCNB1	True	8
IU_PDA_T3	KCNC4	True	180
IU_PDA_T3	KCND2	True	88
IU_PDA_T3	KCND3	True	162
IU_PDA_T3	KCNE4	True	305
IU_PDA_T3	KCNJ15	True	225
IU_PDA_T3	KCNJ16	True	5
IU_PDA_T3	KCNJ8	True	451
IU_PDA_T3	KCNK1	True	507
IU_PDA_T3	KCNK15	True	59
IU_PDA_T3	KCNK17	True	67
IU_PDA_T3	KCNK3	True	505
IU_PDA_T3	KCNK6	True	350
IU_PDA_T3	KCNMA1	True	688
IU_PDA_T3	KCNMB1	True	295
IU_PDA_T3	KCNMB4	True	430
IU_PDA_T3	KCNN3	True	90
IU_PDA_T3	KCNN4	True	324
IU_PDA_T3	KCNQ4	True	72
IU_PDA_T3	KCNS3	True	559
IU_PDA_T3	KCNT2	True	17
IU_PDA_T4	KCNA5	True	15
IU_PDA_T4	KCNA7	False	0
IU_PDA_T4	KCNAB1	True	18
IU_PDA_T4	KCNAB2	True	297
IU_PDA_T4	KCNB1	True	6
IU_PDA_T4	KCNC4	True	192
IU_PDA_T4	KCND2	True	41
IU_PDA_T4	KCND3	True	34
IU_PDA_T4	KCNE4	True	117
IU_PDA_T4	KCNJ15	True	67
IU_PDA_T4	KCNJ16	True	6
IU_PDA_T4	KCNJ8	True	111
IU_PDA_T4	KCNK1	True	885
IU_PDA_T4	KCNK15	True	12
IU_PDA_T4	KCNK17	True	17
IU_PDA_T4	KCNK3	True	40
IU_PDA_T4	KCNK6	True	519
IU_PDA_T4	KCNMA1	True	177
IU_PDA_T4	KCNMB1	True	147
IU_PDA_T4	KCNMB4	True	256
IU_PDA_T4	KCNN3	True	32
IU_PDA_T4	KCNN4	True	531
IU_PDA_T4	KCNQ4	True	258
IU_PDA_T4	KCNS3	True	691
IU_PDA_T4	KCNT2	True	27
IU_PDA_T6	KCNA5	True	9
IU_PDA_T6	KCNA7	False	0
IU_PDA_T6	KCNAB1	True	29
IU_PDA_T6	KCNAB2	True	292
IU_PDA_T6	KCNB1	False	0
IU_PDA_T6	KCNC4	True	652
IU_PDA_T6	KCND2	True	275
IU_PDA_T6	KCND3	True	148
IU_PDA_T6	KCNE4	True	389
IU_PDA_T6	KCNJ15	True	417
IU_PDA_T6	KCNJ16	True	144
IU_PDA_T6	KCNJ8	True	518
IU_PDA_T6	KCNK1	True	1621
IU_PDA_T6	KCNK15	True	52
IU_PDA_T6	KCNK17	True	24
IU_PDA_T6	KCNK3	True	73
IU_PDA_T6	KCNK6	True	470
IU_PDA_T6	KCNMA1	True	347
IU_PDA_T6	KCNMB1	True	166
IU_PDA_T6	KCNMB4	True	148
IU_PDA_T6	KCNN3	True	113
IU_PDA_T6	KCNN4	True	506
IU_PDA_T6	KCNQ4	True	129
IU_PDA_T6	KCNS3	True	517
IU_PDA_T6	KCNT2	True	23
IU_PDA_T8	KCNA5	False	0
IU_PDA_T8	KCNA7	False	0
IU_PDA_T8	KCNAB1	True	8
IU_PDA_T8	KCNAB2	True	310
IU_PDA_T8	KCNB1	False	0
IU_PDA_T8	KCNC4	True	198
IU_PDA_T8	KCND2	True	60
IU_PDA_T8	KCND3	True	80
IU_PDA_T8	KCNE4	True	132
IU_PDA_T8	KCNJ15	True	166
IU_PDA_T8	KCNJ16	True	147
IU_PDA_T8	KCNJ8	True	203
IU_PDA_T8	KCNK1	True	855
IU_PDA_T8	KCNK15	True	11
IU_PDA_T8	KCNK17	True	31
IU_PDA_T8	KCNK3	True	14
IU_PDA_T8	KCNK6	True	279
IU_PDA_T8	KCNMA1	True	252
IU_PDA_T8	KCNMB1	True	108
IU_PDA_T8	KCNMB4	True	65
IU_PDA_T8	KCNN3	True	56
IU_PDA_T8	KCNN4	True	772
IU_PDA_T8	KCNQ4	True	78
IU_PDA_T8	KCNS3	True	178
IU_PDA_T8	KCNT2	True	18
IU_PDA_T9	KCNA5	True	11
IU_PDA_T9	KCNA7	False	0
IU_PDA_T9	KCNAB1	True	36
IU_PDA_T9	KCNAB2	True	342
IU_PDA_T9	KCNB1	True	12
IU_PDA_T9	KCNC4	True	98
IU_PDA_T9	KCND2	True	67
IU_PDA_T9	KCND3	True	360
IU_PDA_T9	KCNE4	True	383
IU_PDA_T9	KCNJ15	True	308
IU_PDA_T9	KCNJ16	True	7
IU_PDA_T9	KCNJ8	True	347
IU_PDA_T9	KCNK1	True	297
IU_PDA_T9	KCNK15	True	12
IU_PDA_T9	KCNK17	True	28
IU_PDA_T9	KCNK3	True	17
IU_PDA_T9	KCNK6	True	341
IU_PDA_T9	KCNMA1	True	968
IU_PDA_T9	KCNMB1	True	323
IU_PDA_T9	KCNMB4	True	169
IU_PDA_T9	KCNN3	True	115
IU_PDA_T9	KCNN4	True	269
IU_PDA_T9	KCNQ4	True	30
IU_PDA_T9	KCNS3	True	353
IU_PDA_T9	KCNT2	True	63
