gene	n_sections_tested	n_fdr_lt_0_05	median_Z	max_Z	median_C
KCNMA1	10	7	7.005987483172686	13.527541862684226	0.030916238941017683
KCNK1	10	7	3.520588012647013	13.67896719430548	0.015448833165677762
KCNMB1	10	7	3.4594140462465934	16.225214051015254	0.015933561534613193
KCNK3	10	6	2.6326388011242687	104.53618515893486	0.03601076972895188
KCNN4	10	5	2.457769816798111	13.182043224069256	0.013171200406363832
KCND3	10	5	2.0020377938608718	8.30342804204581	0.010696530126812116
KCNJ16	10	3	1.9393691581406114	12.158483139620406	0.043190532253670255
KCNN3	10	2	1.8774111274478793	6.727852070088493	0.012214409240990222
KCNJ15	10	4	1.847053633358365	17.801055468538653	0.009811118497178872
KCNA5	9	2	1.6990083947914705	4.3329103040151145	0.027622302175979732
KCNK17	10	2	1.595005888631639	16.059788295437855	0.014809391564155271
KCNB1	8	1	1.4936883796231737	2.1857596800850274	0.023310793403555328
KCNE4	10	3	1.4655568207430782	3.1150553914030037	0.0064974508572948324
KCND2	10	3	1.3925107270904076	6.623164229597396	0.009164605357731144
KCNS3	10	3	1.371365740984152	10.087993215786664	0.006575070094526313
KCNK15	10	0	1.289034808603573	2.0755556613564465	0.017033225482925275
KCNAB1	10	1	1.2617788678639825	4.836150187041877	0.011586881202616379
KCNT2	10	0	1.2407124334655635	1.9351101601794884	0.012103103502553211
KCNJ8	10	3	1.1545496947364675	10.393287637222963	0.006171793937222208
KCNAB2	10	3	1.0256086701972689	9.98384022542636	0.004579125018260659
KCNK6	10	3	0.9532038077555415	5.870342607128972	0.004217674945693079
KCNQ4	10	1	0.8393657706679739	2.729445745752624	0.004294012503930194
KCNC4	10	0	0.6210441572551506	2.241311055814253	0.002997734398658816
KCNMB4	10	3	0.34049144296224854	4.855010731996493	0.0018876327726094783
