target_gene	n_sections_used	n_pathways_fdr_lt_0_05	n_positive_pathways_fdr_lt_0_05	n_negative_pathways_fdr_lt_0_05	top_positive_pathway	top_positive_nes	top_positive_fdr	top_negative_pathway	top_negative_nes	top_negative_fdr	top_positive_gene	top_positive_gene_mean_delta	top_negative_gene	top_negative_gene_mean_delta
KCNA5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNA7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNAB1	3	1	1	0	HALLMARK_MYOGENESIS	1.76061873172008	0.00298830787558447	HALLMARK_XENOBIOTIC_METABOLISM	-1.46489252249674	0.0755474504145293	KCNAB1	0.856582316135511	OLFM4	-0.258272592364404
KCNAB2	10	15	1	14	HALLMARK_ALLOGRAFT_REJECTION	1.27272055256764	0.014939435764259	HALLMARK_MYC_TARGETS_V1	-1.47516286941336	1.14463467536334e-05	KCNAB2	1.01566165150256	S100A6	-0.172417949788701
KCNB1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNC4	10	11	0	11	NA	NA	NA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-1.5766652641663	0.00011995803282862	KCNC4	0.934941521213257	HIST1H1E	-0.109404361616365
KCND2	9	1	1	0	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.52257015414249	2.17074489082411e-13	HALLMARK_ESTROGEN_RESPONSE_EARLY	-1.29048689872341	0.235004583817713	KCND2	0.870075695135648	TAGLN2	-0.156181117865083
KCND3	10	8	1	7	HALLMARK_PANCREAS_BETA_CELLS	1.96315213516169	0.0186520905831251	HALLMARK_GLYCOLYSIS	-1.70090945625004	0.00195277523387895	KCND3	0.894737489958078	FN1	-0.212417992063408
KCNE4	10	18	3	15	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.27957215993696	3.10419580202809e-20	HALLMARK_MYC_TARGETS_V1	-1.60274905678174	4.78556237197174e-11	KCNE4	0.994175552052443	KRT8	-0.189768168417279
KCNJ15	9	3	0	3	HALLMARK_P53_PATHWAY	1.43994261070256	0.0663246472403664	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.51507178903425	1.15213664908351e-17	KCNJ15	0.92823834284372	TIMP3	-0.164435483725558
KCNJ16	3	4	4	0	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.53375501456728	0.00904321582489665	HALLMARK_ANGIOGENESIS	-1.33638200204852	0.372745490981964	REG1A	0.84646999743409	FN1	-0.475020601663479
KCNJ8	10	17	3	14	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.632179770508	7.0969944120172e-06	HALLMARK_MYC_TARGETS_V1	-1.62653146770631	1.90332541408086e-06	KCNJ8	1.00217532584162	S100A6	-0.210966389030653
KCNK1	10	9	0	9	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.71337075725582	0.0602845483717207	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.46155932303381	1.2956689832974e-24	KCNK1	1.01601008392444	ACTA2	-0.145960905733196
KCNK15	3	0	0	0	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.28348462556293	0.667623549256938	HALLMARK_ANGIOGENESIS	-1.82579545919303	0.0671011827749729	KCNK15	0.721646780500818	VCAN	-0.244426434566987
KCNK17	3	18	1	17	HALLMARK_PANCREAS_BETA_CELLS	2.46596090981394	4.87927578554384e-09	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-1.79262697079113	4.68533176924901e-05	KCNK17	0.900628482380741	C19orf33	-0.269529755660868
KCNK3	6	26	10	16	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.73014168679161	8.64984008583524e-06	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.84186290410789	1.22410251589139e-28	KCNK3	0.986512642788003	COL1A1	-0.739299543168226
KCNK6	10	18	0	18	NA	NA	NA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-1.44998231252271	6.25252049889289e-06	KCNK6	0.997043060475754	CTHRC1	-0.107842054110922
KCNMA1	10	21	3	18	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.62748480180669	3.55386619147232e-08	HALLMARK_MYC_TARGETS_V1	-1.69703978780852	8.42356247734186e-15	KCNMA1	1.07675170176984	KRT8	-0.239976989466034
KCNMB1	10	8	2	6	HALLMARK_MYOGENESIS	2.13056590681599	4.54487480788005e-06	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.66764935896564	0.000162510736347217	KCNMB1	0.985960461550239	S100A10	-0.207888756166188
KCNMB4	9	18	0	18	NA	NA	NA	HALLMARK_DNA_REPAIR	-1.4936047774674	2.05122576136843e-05	KCNMB4	0.957228712847985	SPINK1	-0.155208643146177
KCNN3	10	6	2	4	HALLMARK_MYOGENESIS	1.6228617862668	0.00106041637304212	HALLMARK_GLYCOLYSIS	-1.64789960888843	0.000594848563371429	KCNN3	0.789488954132147	KRT8	-0.177174645469537
KCNN4	10	16	2	14	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.68640044974618	0.00992504114899336	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.4714591432502	1.34747264951688e-22	KCNN4	0.994892557071899	FBLN1	-0.153086344696742
KCNQ4	8	10	3	7	HALLMARK_MYC_TARGETS_V1	1.47388275427288	0.0210729673121899	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.555641558343	2.37301161601762e-19	KCNQ4	0.821414314999738	CCN2	-0.215655646460945
KCNS3	10	16	1	15	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.3751246237725	7.77393552379462e-05	HALLMARK_MYC_TARGETS_V1	-1.50579252071977	1.53007320202659e-08	KCNS3	1.00057411408812	KRT8	-0.128522713636118
KCNT2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
