target_gene	orig.ident	n_spots	n_positive	n_high	min_expression_in_high	mean_expression_in_high	mean_expression_in_rest	used_for_gsea
KCNA5	IU_PDA_T1	3530	0	0	NA	NA	0	FALSE
KCNA5	IU_PDA_T10	2714	5	0	NA	NA	0.00127698448887241	FALSE
KCNA5	IU_PDA_T11	2777	9	0	NA	NA	0.00224642586425621	FALSE
KCNA5	IU_PDA_T12	3642	90	20	0.693147180559945	0.808897561209575	0.0133959974155704	TRUE
KCNA5	IU_PDA_T2	4118	20	0	NA	NA	0.00336642632617749	FALSE
KCNA5	IU_PDA_T3	4354	13	0	NA	NA	0.00216269601639583	FALSE
KCNA5	IU_PDA_T4	3621	15	0	NA	NA	0.00309531563783914	FALSE
KCNA5	IU_PDA_T6	3397	9	0	NA	NA	0.00183642173242258	FALSE
KCNA5	IU_PDA_T8	3779	0	0	NA	NA	0	FALSE
KCNA5	IU_PDA_T9	3526	11	0	NA	NA	0.00216239903180925	FALSE
KCNAB1	IU_PDA_T1	3530	11	0	NA	NA	0.00227481135814945	FALSE
KCNAB1	IU_PDA_T10	2714	0	0	NA	NA	0	FALSE
KCNAB1	IU_PDA_T11	2777	50	20	0.693147180559945	0.849444072020392	0.00754240675255653	TRUE
KCNAB1	IU_PDA_T12	3642	171	20	0.693147180559945	1.06656072969706	0.028897080139302	TRUE
KCNAB1	IU_PDA_T2	4118	22	0	NA	NA	0.00389999227502067	FALSE
KCNAB1	IU_PDA_T3	4354	21	0	NA	NA	0.00343627834172417	FALSE
KCNAB1	IU_PDA_T4	3621	17	0	NA	NA	0.00336618811864878	FALSE
KCNAB1	IU_PDA_T6	3397	29	0	NA	NA	0.00683756434072633	FALSE
KCNAB1	IU_PDA_T8	3779	8	0	NA	NA	0.00146736635207186	FALSE
KCNAB1	IU_PDA_T9	3526	35	20	0.693147180559945	0.693147180559945	0.00296554697900718	TRUE
KCNAB2	IU_PDA_T1	3530	111	20	0.693147180559945	0.794513457586986	0.0179704824589615	TRUE
KCNAB2	IU_PDA_T10	2714	171	20	0.693147180559945	1.00251403742396	0.038851233951207	TRUE
KCNAB2	IU_PDA_T11	2777	174	20	1.09861228866811	1.14176459953588	0.0393059580118477	TRUE
KCNAB2	IU_PDA_T12	3642	1186	119	1.09861228866811	1.30407429906627	0.23260422025398	TRUE
KCNAB2	IU_PDA_T2	4118	202	21	0.693147180559945	0.938540674357553	0.0306223186920552	TRUE
KCNAB2	IU_PDA_T3	4354	580	58	1.09861228866811	1.13921058339454	0.0868658871693017	TRUE
