target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNAB1	OLFM4	3	0	3	-0.258272592364404	-0.218680098305349	0.18144920772142	0.675898298762291
KCNAB1	IGFBP3	3	0	3	-0.238033415464085	-0.20671571474382	0.18144920772142	0.675898298762291
KCNAB1	COL1A2	3	0	3	-0.223767262661995	-0.265355470072634	0.18144920772142	0.675898298762291
KCNAB1	MMP2	3	0	3	-0.204301832585238	-0.0877967370446444	0.18144920772142	0.675898298762291
KCNAB1	LCN2	3	0	3	-0.199077439620511	-0.260785469236244	0.18144920772142	0.675898298762291
KCNAB1	KRT8	3	0	3	-0.198452795006532	-0.197344040818114	0.18144920772142	0.675898298762291
KCNAB1	GPX2	3	0	3	-0.196755424972679	-0.220424906528382	0.18144920772142	0.675898298762291
KCNAB1	JUP	3	0	3	-0.192352211559839	-0.243099101763838	0.18144920772142	0.675898298762291
KCNAB1	HSPA1A	3	0	3	-0.183239747769186	-0.203327428976246	0.18144920772142	0.675898298762291
KCNAB1	TSPAN1	3	0	3	-0.181744294975033	-0.203246473190297	0.18144920772142	0.675898298762291
KCNAB1	PML	3	0	3	-0.178072067024804	-0.119565938522898	0.18144920772142	0.675898298762291
KCNAB1	TGOLN2	3	0	3	-0.174540378733721	-0.177525840945336	0.18144920772142	0.675898298762291
KCNAB1	TIMP3	3	1	2	-0.174522616097134	-0.241961450222296	0.422678074170635	0.840513846086098
KCNAB1	CD99	3	0	3	-0.174017878903142	-0.161630596443698	0.18144920772142	0.675898298762291
KCNAB1	EIF3B	3	0	3	-0.172338254285002	-0.162860779810133	0.18144920772142	0.675898298762291
KCNAB1	S100A10	3	1	2	-0.171947345984307	-0.110002873534874	0.422678074170635	0.840513846086098
KCNAB1	ZFP36	3	0	3	-0.171702367081007	-0.196453025832956	0.18144920772142	0.675898298762291
KCNAB1	COL1A1	3	0	3	-0.171579605161657	-0.171179008787707	0.18144920772142	0.675898298762291
KCNAB1	XBP1	3	0	3	-0.171347467401972	-0.103629770226857	0.18144920772142	0.675898298762291
KCNAB1	MAP2K1	3	0	3	-0.162323938222273	-0.138586674253057	0.18144920772142	0.675898298762291
KCNAB1	SF3B1	3	0	3	-0.160706161614383	-0.155670743465876	0.18144920772142	0.675898298762291
KCNAB1	RSRP1	3	0	3	-0.159766171044461	-0.155643153186029	0.18144920772142	0.675898298762291
