target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNAB1	KCNAB1	3	3	0	0.856582316135511	0.841901665267835	0.18144920772142	0.675898298762291
KCNAB1	ACTG2	3	3	0	0.321847445337826	0.358078246631111	0.18144920772142	0.675898298762291
KCNAB1	MFAP4	3	3	0	0.311185341276214	0.117150004583226	0.18144920772142	0.675898298762291
KCNAB1	MYL9	3	3	0	0.294323884981395	0.252831958605023	0.18144920772142	0.675898298762291
KCNAB1	C7	3	2	1	0.274166313909604	0.201616200026907	0.422678074170635	0.840513846086098
KCNAB1	TAGLN	3	3	0	0.260515430793429	0.237886268330085	0.18144920772142	0.675898298762291
KCNAB1	DES	3	3	0	0.257105661600202	0.302567437464681	0.18144920772142	0.675898298762291
KCNAB1	MYLK	3	3	0	0.248783012322234	0.205985129719651	0.18144920772142	0.675898298762291
KCNAB1	SORBS1	3	3	0	0.242171194299271	0.230488970197523	0.18144920772142	0.675898298762291
KCNAB1	MCAM	3	3	0	0.237652765506025	0.233178572807558	0.18144920772142	0.675898298762291
KCNAB1	A2M	3	3	0	0.236963722500651	0.258826192508066	0.18144920772142	0.675898298762291
KCNAB1	TNS1	3	3	0	0.225592737798501	0.2365926589059	0.18144920772142	0.675898298762291
KCNAB1	PPP1R12B	3	3	0	0.221148723486973	0.195272196933993	0.18144920772142	0.675898298762291
KCNAB1	ADAMTS1	3	3	0	0.219359451578903	0.236813462386411	0.18144920772142	0.675898298762291
KCNAB1	PNRC1	3	2	1	0.217010533876366	0.31958214507303	0.422678074170635	0.840513846086098
KCNAB1	MFGE8	3	3	0	0.213870847543248	0.177633402097675	0.18144920772142	0.675898298762291
KCNAB1	MXRA7	3	3	0	0.208813070415861	0.206287063011707	0.18144920772142	0.675898298762291
KCNAB1	FILIP1L	3	3	0	0.20641935105189	0.162404716686583	0.18144920772142	0.675898298762291
KCNAB1	ADIRF	3	2	1	0.205215032887159	0.133589523216932	0.422678074170635	0.840513846086098
KCNAB1	DSTN	3	3	0	0.202793899399625	0.182283114996375	0.18144920772142	0.675898298762291
KCNAB1	CLIC1	3	3	0	0.200947842294814	0.235718939699038	0.18144920772142	0.675898298762291
KCNAB1	EIF4A2	3	2	1	0.200372464950858	0.270673294611063	0.422678074170635	0.840513846086098
KCNAB1	MT1X	3	2	1	0.200152330873634	0.177882592758718	0.422678074170635	0.840513846086098
KCNAB1	RABGAP1L	3	3	0	0.19941673617845	0.193615272117728	0.18144920772142	0.675898298762291
KCNAB1	DEPP1	3	3	0	0.194209976849845	0.258905155039406	0.18144920772142	0.675898298762291
KCNAB1	TRAPPC5	3	3	0	0.194033410502415	0.179222169476592	0.18144920772142	0.675898298762291
KCNAB1	CLU	3	2	1	0.19196976892286	0.122902604784425	0.422678074170635	0.840513846086098
KCNAB1	HSPB6	3	3	0	0.183804318666791	0.193786560885552	0.18144920772142	0.675898298762291
KCNAB1	EMILIN1	3	3	0	0.181893768883345	0.164358643404716	0.18144920772142	0.675898298762291
KCNAB1	SPEG	3	3	0	0.181241331595437	0.229409571737707	0.18144920772142	0.675898298762291
KCNAB2	KCNAB2	10	10	0	1.01566165150256	1.06182799816088	0.00592153702414871	0.204702823806814
KCNAB2	CD74	10	9	1	0.137512368987277	0.121011007129042	0.0414910873877316	0.277166798267205
KCNAB2	PSAP	10	7	3	0.108713753799454	0.0810050202487291	0.0831311427008039	0.327399023300961
KCNAB2	HLA-DRA	10	7	3	0.106025920222606	0.115223706718103	0.102917539402853	0.344080759241401
KCNAB2	APOE	10	6	4	0.103641955732754	0.0301307346990653	0.262192602406773	0.537026907820169
KCNAB2	FTL	10	7	3	0.100287199743266	0.138669570857237	0.126278928554698	0.377671532393083
KCNAB2	THBS1	10	8	2	0.0993526876696495	0.0834229108145588	0.0414910873877316	0.277166798267205
KCNAB2	NUPR1	10	7	3	0.0988961027047089	0.127408790197308	0.0414910873877316	0.277166798267205
KCNAB2	TPM2	10	7	3	0.091981765262725	0.0806799638255529	0.102917539402853	0.344080759241401
KCNAB2	CTSD	10	7	3	0.0874524004681963	0.101349133152597	0.126278928554698	0.377671532393083
KCNAB2	SMAP2	10	8	2	0.0856540901113142	0.0994999534408365	0.0323129112432441	0.270593575396774
KCNAB2	CTSB	10	6	4	0.0853347536513356	0.0289051340821986	0.358951435852626	0.624507322440986
KCNAB2	CCN1	10	7	3	0.085308689645307	0.0263645683224192	0.126278928554698	0.377671532393083
KCNAB2	FN1	10	8	2	0.0814985906994478	0.041217279076482	0.153576396549984	0.421498211136556
KCNAB2	CCL19	10	8	2	0.0757930682878908	0.0256239964251031	0.0323129112432441	0.270593575396774
KCNAB2	C1QB	10	6	4	0.0743870801701586	0.0353719130081574	0.414823067184775	0.641193440066054
KCNAB2	IGLC1	10	7	3	0.0738147160449711	0.0419064345279533	0.308063229907199	0.578573092588882
KCNAB2	IGKC	10	7	3	0.0738089106328964	0.0970146577069004	0.22127181567247	0.488052844095723
KCNAB2	MMP2	10	7	3	0.0735255170988026	0.0498693825924004	0.126278928554698	0.377671532393083
KCNAB2	CD68	10	7	3	0.0733379824064865	0.0778253340899354	0.102917539402853	0.344080759241401
