pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.82108441137401e-23	9.10542205687007e-22	1.25451347943706	-0.742209881413652	-2.45503541429076	189	FBLN1;COL1A2;TAGLN;VIM;COL6A2;SFRP4;MYL9;MMP2;THBS1;CCN2;COL4A1;COL3A1;COL5A2;GADD45B;COL6A3;SPARC;CCN1;COL4A2;DCN;COL5A1;LRP1;GEM;FSTL3;FSTL1;BGN;FLNA;FBLN2;THBS2;GAS1;WIPF1;LUM;COL1A1;HTRA1;THY1;CTHRC1;FBN1;IGFBP4;POSTN;COL16A1;PCOLCE;CDH11;TPM2;TIMP1;LOXL1;ACTA2;CALD1;GLIPR1;FN1;ITGA5;TIMP3;DAB2;GJA1;MYLK;LAMA2;COLGALT1;NNMT;SERPINE1;PRRX1;MGP;FERMT2;PMP22;TGFB1;JUN;ELN;PDGFRB;SCG2;DST;EFEMP2;GPC1;ECM2;DPYSL3;BMP1;LGALS1;PDLIM4;SLIT2;PFN2;SLIT3;FAP;CXCL12;MMP14;COL11A1;FBLN5;GREM1;MFAP5;INHBA;FMOD;PPIB;PLOD2;SERPINE2;P3H1;ENO2;SNAI2;COL7A1;IL32;NT5E;COL12A1;LRRC15;COL8A2;GADD45A
HALLMARK_COAGULATION	3.29037463734299e-07	8.22593659335748e-06	0.674962860011025	-0.600574894654018	-1.90868735566427	130	C1R;MMP2;THBS1;A2M;PRSS23;CTSK;SERPING1;SPARC;LRP1;CLU;C1S;HTRA1;FBN1;ARF4;C3;C1QA;TIMP1;FN1;TIMP3;CPQ;SERPINE1;PLAU;CFH;F3;GSN;VWF;BMP1;MMP14;CD9;GNG12;ANXA1;CFD;USP11;OLR1
HALLMARK_MYOGENESIS	5.52384502720489e-07	9.20640837867482e-06	0.659444398037935	-0.549762577310438	-1.8161058879696	187	TAGLN;COL6A2;COL3A1;GADD45B;COL6A3;IGFBP7;SPARC;APOD;COL4A2;AEBP1;CLU;COL1A1;SOD3;COL15A1;TPM2;GABARAPL2;LSP1;PTGIS;MYLK;LAMA2;PRNP;IGF1;TGFB1;PTP4A3;CNN3;GSN;SORBS3;MYO1C;DMPK;MYH9;GPX3;MRAS;CDKN1A;CFD;RB1;CKB;GAA;ITGA7;PFKM;BIN1;PDE4DIP;COX7A1
HALLMARK_INTERFERON_GAMMA_RESPONSE	5.66755293447965e-06	7.08444116809956e-05	0.610526878385931	-0.528836909774414	-1.75177179580126	191	C1R;MT2A;SERPING1;IFITM3;C1S;HLA-DMA;STAT2;PSME1;SOCS3;CD74;CFH;HLA-DRB1;HLA-DQA1;BST2;CSF2RB;SAMHD1;ARL4A;MX1;PML;IRF7;SOD2;NFKBIA;MYD88;IFITM2;LAP3;IFIT3;OGFR;STAT1;ICAM1;PSMB2;CDKN1A;CCL2;B2M;RBCK1;ZNFX1;IL4R;RNF213;PSMB10;IFI30;FGL2;LYSMD2;PTPN1;IFI35;ST3GAL5;ISG20;ISG15;CD86;TNFAIP6;IL2RB;CIITA;VAMP5;SSPN;HIF1A;CASP8;IFI44L;SP110;TXNIP;ADAR;PIM1;IL15RA;TAP1;APOL6;STAT3;VCAM1;PSMB8;UBE2L6;IFNAR2
HALLMARK_ALLOGRAFT_REJECTION	1.1862024257148e-05	0.00011862024257148	0.593325476396405	-0.525606385601063	-1.73269995433605	184	FLNA;THY1;HLA-DMA;TIMP1;HLA-DRA;PTPRC;CD74;SRGN;TGFB1;IKBKB;DEGS1;CCND2;ETS1;STAB1;HLA-DQA1;BCL3;HLA-DMB;CD4;IRF7;CCL19;F2R;STAT1;ICAM1;INHBA;CCL2;B2M;IL4R;TAP2;PSMB10;IFNGR1;EIF3A;IGSF6;CD86;IL2RB;ACVR2A;WAS;GBP2;HIF1A;HLA-DOA;UBE2N;CSK;TAP1;TLR2;IFNAR2;KRT1;CD3G;LCP2;IL6;LTB;IL16;ITGB2;IRF8;CD3E;HCLS1;MAP3K7;BCAT1;NME1
HALLMARK_UV_RESPONSE_DN	2.23715209586756e-05	0.000186429341322296	0.575610261071129	-0.54136517168581	-1.74011246629838	141	COL1A2;DUSP1;COL3A1;COL5A2;CCN1;PTEN;COL1A1;IGFBP5;MT1E;DAB2;TGFBR2;GJA1;SERPINE1;PDLIM5;MAP1B;PMP22;KCNMA1;PDGFRB;F3;CAV1;RASA2;LTBP1;EFEMP1;COL11A1;RXRA;FBLN5;RBPMS;ATP2B1;NRP1;ADGRL2;FHL2;SPOP;CELF2;SMAD7;SDC2;NFIB;SNAI2;CDC42BPA;DLC1;ATP2B4;AKT3;TENT4A;SIPA1L1;ACVR2A;ZMIZ1;TJP1;LPAR1;MAPK14
HALLMARK_COMPLEMENT	0.000210667926565818	0.00150477090404156	0.518848077743792	-0.485618836305653	-1.60490842991712	188	C1R;SERPING1;COL4A2;LRP1;CLU;C1S;TIMP2;C3;C1QC;C1QA;GNAI2;TIMP1;FN1;CPQ;SERPINE1;CFH;F3;FCER1G;MMP14;IRF7;ATOX1;LAP3;GNG2;EHD1;SPOCK2;ZEB1;USP14;OLR1;NOTCH4;BRPF3;CBLB;CTSL;RHOG;AKAP10;PLAT;SCG3;PRKCD;DOCK4;PLA2G7;WAS;HSPA5;APOC1;FDX1;VCPIP1;PIK3R5;GCA;PIM1;CD36;LGMN;DOCK9;SH2B3;DUSP6;CASP9;LCP2;IL6;PRCP;CPM;IRF2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.000504786204942003	0.00315491378088752	0.477270815362862	-0.579488022441051	-1.73502793495884	83	A2M;IL6ST;IL1R1;STAT2;SOCS3;LTBR;CD14;TGFB1;JUN;MAP3K8;CSF2RB;CD9;ACVRL1;MYD88;STAT1;TYK2;IL4R;CSF2RA;IFNGR1;STAM2;IFNAR1;PTPN1;PIK3R5;PIM1;IL15RA;CD36;TLR2;STAT3;PDGFC;IL6;LTB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00123718179493545	0.00687323219408583	0.45505986738723	-0.457533867413015	-1.51209118322081	188	DUSP1;GADD45B;CCN1;GEM;IL6ST;KLF9;FOSB;FOSL2;NR4A1;SOCS3;CEBPD;SERPINE1;PLAU;PDLIM5;IER2;JUN;F3;IL7R;RCAN1;B4GALT1;MAP3K8;SGK1;BCL3;SLC2A3;PNRC1;SPSB1;KLF6;ATP2B1;JUNB;GFPT2;EIF1;SOD2;BTG2;NFKBIA;RELA;ICAM1;INHBA;CDKN1A;EHD1;CCL2;PPP1R15A;NR4A3;OLR1;NFKB2;SERPINB8;MARCKS;DRAM1;GADD45A;CFLAR;RELB;TNFAIP6;ID2;SNN;MSC;RHOB;IL15RA;TAP1;NFKBIE;TLR2
HALLMARK_INFLAMMATORY_RESPONSE	0.00150508543715964	0.00752542718579819	0.45505986738723	-0.453436997946078	-1.5117093420029	198	IL1R1;TIMP1;ITGA5;CD14;SERPINE1;F3;IL7R;GABBR1;AXL;STAB1;RGS1;PDPN;BST2;MMP14;KLF6;ATP2B1;IRF7;BTG2;NFKBIA;RELA;DCBLD2;RGS16;AHR;SELENOS;ICAM1;INHBA;CDKN1A;CCL2;C5AR1;IL4R;CYBB;OLR1;ATP2A2;SGMS2;IFNAR1;IFITM1;RHOG;TNFAIP6;IL2RB;ACVR2A;SCARF1;LPAR1;HIF1A;CALCRL;PIK3R5;PVR;IL15RA;PTGIR;MSR1;TLR2;LAMP3;LCP2;IL6;MARCO;APLNR;PTGER2;IL10RA;HAS2
