orig.ident	n_spots	n_kcnn4_positive	n_kcnn4_high	min_kcnn4_in_high	mean_kcnn4_in_high	mean_kcnn4_in_rest	used_for_gsea
IU_PDA_T1	3530	97	20	0.693147180559945	0.814786712992395	0.0152057928498905	TRUE
IU_PDA_T10	2714	130	20	0.693147180559945	0.8697173274258	0.0283022234081641	TRUE
IU_PDA_T11	2777	250	25	1.09861228866811	1.17236730748279	0.0566708268989781	TRUE
IU_PDA_T12	3642	742	75	1.09861228866811	1.22120605282595	0.136546829556513	TRUE
IU_PDA_T2	4118	618	62	1.09861228866811	1.12645248922796	0.0966166849410898	TRUE
IU_PDA_T3	4354	322	33	0.693147180559945	1.01775299412381	0.046359531400561	TRUE
IU_PDA_T4	3621	388	39	1.09861228866811	1.12646330837759	0.0688927826110326	TRUE
IU_PDA_T6	3397	430	43	1.09861228866811	1.15487367506975	0.0814292010059621	TRUE
IU_PDA_T8	3779	588	59	1.09861228866811	1.11811615798687	0.100530438296279	TRUE
IU_PDA_T9	3526	245	25	0.693147180559945	1.00130066272215	0.0435568065476115	TRUE
