gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
FBLN1	10	1	9	-0.153086344696742	-0.081035433292742	0.0108269212771313	0.435522904444153
IGHG1	10	0	10	-0.148466562203397	-0.112065940529304	0.00592153702414871	0.435522904444153
COL1A2	10	0	10	-0.132874289709662	-0.064365078724717	0.00592153702414871	0.435522904444153
C1R	10	1	9	-0.132643684904428	-0.128883039616478	0.0190588916017305	0.476904740941323
TAGLN	10	1	9	-0.13111395414875	-0.092629714451569	0.0249324556028631	0.476904740941323
ENG	10	1	9	-0.130561472380092	-0.0936917183426808	0.0108269212771313	0.435522904444153
VIM	10	2	8	-0.129722003283147	-0.110886260399685	0.0249324556028631	0.476904740941323
CPE	10	2	8	-0.127023017313886	-0.098110428617289	0.0249324556028631	0.476904740941323
COL6A2	10	1	9	-0.126529673485557	-0.0930256286270109	0.0190588916017305	0.476904740941323
MT2A	10	2	8	-0.12449071035489	-0.100023641778499	0.0527870006322246	0.559405962996023
SFRP4	10	1	9	-0.12254736444168	-0.0914311350347131	0.0249324556028631	0.476904740941323
MYL9	10	2	8	-0.121305067687833	-0.0699062282328657	0.0527870006322246	0.559405962996023
MMP2	10	1	9	-0.121156109848678	-0.0812068145078972	0.0190588916017305	0.476904740941323
TSC22D3	10	2	8	-0.120700565601151	-0.0997150771067673	0.0527870006322246	0.559405962996023
THBS1	10	2	8	-0.119018954501442	-0.0938116893575246	0.0527870006322246	0.559405962996023
CCN2	10	3	7	-0.118531926896508	-0.070650801882594	0.126278928554698	0.5991146130562
COL4A1	10	1	9	-0.118503119431909	-0.125876737631015	0.00804523748656169	0.435522904444153
DUSP1	10	2	8	-0.114057690643535	-0.129670232753065	0.0249324556028631	0.476904740941323
PLXDC2	10	1	9	-0.111365925634606	-0.0847218920136444	0.0108269212771313	0.435522904444153
A2M	10	2	8	-0.111158348853575	-0.0962856355174403	0.0323129112432441	0.513958086545659
C7	10	3	7	-0.108913719954593	-0.0463668425847571	0.0831311427008039	0.563775516315722
C1QB	10	2	8	-0.108188465266957	-0.0651748535881665	0.0527870006322246	0.559405962996023
PRSS23	10	2	8	-0.104415694695974	-0.0596887570648143	0.0323129112432441	0.513958086545659
COL3A1	10	2	8	-0.103626380972561	-0.0548367624722488	0.0249324556028631	0.476904740941323
COL5A2	10	2	8	-0.101912467929156	-0.028812603864389	0.0249324556028631	0.476904740941323
HLA-DPA1	10	2	8	-0.101184023588617	-0.088666373621701	0.0665457213437161	0.559405962996023
CRISPLD2	10	3	7	-0.101027466618173	-0.0648980253920238	0.153576396549984	0.639760209321045
CTSK	10	1	9	-0.0991627868244268	-0.0647143348406785	0.0665457213437161	0.559405962996023
SERPING1	10	2	8	-0.0964621325522078	-0.0604927899851037	0.0144328239388418	0.435522904444153
GADD45B	10	2	8	-0.0961998760860515	-0.114204526854926	0.0144328239388418	0.435522904444153
