gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNN4	10	10	0	0.994892557071899	1.02371076198873	0.00592153702414871	0.435522904444153
LCN2	10	8	2	0.173206796163738	0.0881746225987683	0.0323129112432441	0.513958086545659
PIGR	10	7	3	0.168588781592001	0.0640105087352959	0.0831311427008039	0.563775516315722
MUC1	10	7	3	0.165395259530108	0.0686707407223117	0.153576396549984	0.639760209321045
GPX2	10	8	2	0.157307082177514	0.0378045673032053	0.0144328239388418	0.435522904444153
OLFM4	10	7	3	0.156692740207143	0.0346095469540156	0.0323129112432441	0.513958086545659
C19orf33	10	8	2	0.15380016780373	0.112030705144054	0.0323129112432441	0.513958086545659
ELF3	10	6	4	0.146730748180777	0.00805271745058128	0.358951435852626	0.801438715296161
EPCAM	10	8	2	0.139860182648427	0.0687311137318978	0.0414910873877316	0.522805623801352
KRT8	10	8	2	0.135088198750656	0.0929557962247946	0.0831311427008039	0.563775516315722
SPINT2	10	6	4	0.135035526275708	0.0336961370447137	0.185143724157873	0.639760209321045
SPINK1	10	6	4	0.134561120263941	0.0149930874016767	0.414823067184775	0.801438715296161
ATP1B1	10	7	3	0.131378725710263	0.0620785852425286	0.0831311427008039	0.563775516315722
KRT18	10	8	2	0.130998426880039	0.110105443300073	0.0414910873877316	0.522805623801352
LYZ	10	7	3	0.128402179224795	0.0140064900071119	0.358951435852626	0.801438715296161
ID1	10	7	3	0.124613077120704	0.0612994422949036	0.0831311427008039	0.563775516315722
S100P	10	7	3	0.122995139213124	0.0254312193725618	0.22127181567247	0.690320734028443
IER3	10	9	1	0.122281016169206	0.0808308399551906	0.0527870006322246	0.559405962996023
TFF1	10	6	4	0.119874052069184	0.0167881472201019	0.308063229907199	0.77534119209603
WFDC2	10	7	3	0.116627146374348	0.0410082454101449	0.153576396549984	0.639760209321045
INF2	10	7	3	0.112464002519318	0.122622999354078	0.0323129112432441	0.513958086545659
FXYD3	10	7	3	0.111348532665722	0.0694922605116846	0.102917539402853	0.563775516315722
S100A6	10	5	5	0.110915246258845	0.0213608197899857	0.358951435852626	0.801438715296161
LGALS4	10	6	4	0.110400989421972	0.0244239464585682	0.358951435852626	0.801438715296161
PTTG1IP	10	8	2	0.110157268559648	0.094347070001621	0.0323129112432441	0.513958086545659
S100A11	10	7	3	0.109945028461588	0.0995148233804059	0.153576396549984	0.639760209321045
MUC6	10	4	6	0.108088710970489	-0.00216611260333294	0.838463781922464	1
NQO1	10	6	4	0.107722926757905	0.0266869808623503	0.308063229907199	0.77534119209603
CTSE	10	7	3	0.107139349900218	0.0216993681770036	0.185143724157873	0.639760209321045
TSPO	10	9	1	0.106880720864963	0.0664857151813871	0.0144328239388418	0.435522904444153
