pathway	orig.ident	n_spots	spearman_rho	p_value	fdr
iCAF_immune_border	IU_PDA_T1	3529	0.0624773462130917	0.000204166597541746	0.000340277662569577
iCAF_immune_border	IU_PDA_T10	2713	0.0646946748659993	0.000747067211171079	0.00106723887310154
iCAF_immune_border	IU_PDA_T11	2776	0.0365716952784625	0.0540223469829167	0.0600248299810185
iCAF_immune_border	IU_PDA_T12	3641	0.118040808430228	8.98574774910507e-13	4.49287387455254e-12
iCAF_immune_border	IU_PDA_T2	4117	0.0637475159770024	4.25446434468946e-05	8.50892868937892e-05
iCAF_immune_border	IU_PDA_T3	4353	0.119529314765292	2.52608702124669e-15	2.52608702124669e-14
iCAF_immune_border	IU_PDA_T4	3620	0.0271834990514409	0.101992130574248	0.101992130574248
iCAF_immune_border	IU_PDA_T6	3396	0.0418538068356254	0.0147194026659972	0.0183992533324965
iCAF_immune_border	IU_PDA_T8	3778	0.0975200295786673	1.89631239009165e-09	4.74078097522913e-09
iCAF_immune_border	IU_PDA_T9	3525	0.118078357546027	2.02659146606059e-12	6.75530488686863e-12
