pathway	orig.ident	n_spots	spearman_rho	p_value	fdr
EMT	IU_PDA_T1	3529	0.211176459306906	7.26504816091661e-37	1.81626204022915e-36
EMT	IU_PDA_T10	2713	0.126195404232615	4.2117649996786e-11	4.2117649996786e-11
EMT	IU_PDA_T11	2776	0.348321628555276	5.30915035205873e-80	5.30915035205873e-79
EMT	IU_PDA_T12	3641	0.246403222386341	1.71069423552726e-51	8.55347117763632e-51
EMT	IU_PDA_T2	4117	0.15544509240332	1.10302360840595e-23	1.37877951050743e-23
EMT	IU_PDA_T3	4353	0.173958692331935	6.39846531346329e-31	1.27969306269266e-30
EMT	IU_PDA_T4	3620	0.186249503374401	1.295591750195e-29	2.15931958365834e-29
EMT	IU_PDA_T6	3396	0.245414617151732	9.19604815423918e-48	3.06534938474639e-47
EMT	IU_PDA_T8	3778	0.138874229393935	9.93284689962452e-18	1.10364965551384e-17
EMT	IU_PDA_T9	3525	0.173547400640536	3.08988966840248e-25	4.41412809771783e-25
