pathway	gene	in_input_assay
EMT	ABI3BP	TRUE
EMT	ACTA2	TRUE
EMT	ADAM12	TRUE
EMT	ANPEP	TRUE
EMT	APLP1	TRUE
EMT	AREG	TRUE
EMT	BASP1	FALSE
EMT	BDNF	TRUE
EMT	BGN	TRUE
EMT	BMP1	TRUE
EMT	CADM1	TRUE
EMT	CALD1	TRUE
EMT	CALU	TRUE
EMT	CAP2	TRUE
EMT	CAPG	TRUE
EMT	CCN1	TRUE
EMT	CCN2	TRUE
EMT	CD44	TRUE
EMT	CD59	FALSE
EMT	CDH11	TRUE
EMT	CDH2	TRUE
EMT	CDH6	TRUE
EMT	COL11A1	TRUE
EMT	COL12A1	TRUE
EMT	COL16A1	TRUE
EMT	COL1A1	TRUE
EMT	COL1A2	TRUE
EMT	COL3A1	TRUE
EMT	COL4A1	TRUE
EMT	COL4A2	TRUE
EMT	COL5A1	TRUE
EMT	COL5A2	TRUE
EMT	COL5A3	TRUE
EMT	COL6A2	TRUE
EMT	COL6A3	TRUE
EMT	COL7A1	TRUE
EMT	COL8A2	TRUE
EMT	COLGALT1	TRUE
EMT	COMP	FALSE
EMT	COPA	TRUE
EMT	CRLF1	TRUE
EMT	CTHRC1	TRUE
EMT	CXCL1	TRUE
EMT	CXCL12	TRUE
EMT	CXCL6	FALSE
EMT	CXCL8	TRUE
EMT	DAB2	TRUE
EMT	DCN	TRUE
EMT	DKK1	TRUE
EMT	DPYSL3	TRUE
EMT	DST	TRUE
EMT	ECM1	TRUE
EMT	ECM2	TRUE
EMT	EDIL3	TRUE
EMT	EFEMP2	TRUE
EMT	ELN	TRUE
EMT	EMP3	TRUE
EMT	ENO2	TRUE
EMT	FAP	TRUE
EMT	FAS	TRUE
EMT	FBLN1	TRUE
EMT	FBLN2	TRUE
EMT	FBLN5	TRUE
EMT	FBN1	TRUE
EMT	FBN2	TRUE
EMT	FERMT2	TRUE
EMT	FGF2	TRUE
EMT	FLNA	TRUE
EMT	FMOD	TRUE
EMT	FN1	TRUE
EMT	FOXC2	TRUE
EMT	FSTL1	TRUE
EMT	FSTL3	TRUE
EMT	FUCA1	FALSE
EMT	FZD8	TRUE
EMT	GADD45A	TRUE
EMT	GADD45B	TRUE
EMT	GAS1	TRUE
EMT	GEM	TRUE
EMT	GJA1	TRUE
EMT	GLIPR1	TRUE
EMT	GPC1	TRUE
EMT	GPX7	TRUE
EMT	GREM1	TRUE
EMT	HTRA1	TRUE
EMT	ID2	TRUE
EMT	IGFBP2	TRUE
EMT	IGFBP3	TRUE
EMT	IGFBP4	TRUE
EMT	IL15	TRUE
EMT	IL32	TRUE
EMT	IL6	TRUE
EMT	INHBA	TRUE
EMT	ITGA2	TRUE
EMT	ITGA5	TRUE
EMT	ITGAV	TRUE
EMT	ITGB1	TRUE
EMT	ITGB3	TRUE
EMT	ITGB5	TRUE
EMT	JUN	TRUE
EMT	LAMA1	TRUE
EMT	LAMA2	TRUE
EMT	LAMA3	TRUE
EMT	LAMC1	TRUE
EMT	LAMC2	TRUE
EMT	LGALS1	TRUE
EMT	LOX	TRUE
EMT	LOXL1	TRUE
EMT	LOXL2	TRUE
EMT	LRP1	TRUE
EMT	LRRC15	TRUE
EMT	LUM	TRUE
EMT	MAGEE1	TRUE
EMT	MATN2	TRUE
EMT	MATN3	TRUE
EMT	MCM7	TRUE
EMT	MEST	FALSE
EMT	MFAP5	TRUE
EMT	MGP	TRUE
EMT	MMP1	TRUE
EMT	MMP14	TRUE
EMT	MMP2	TRUE
EMT	MMP3	TRUE
EMT	MSX1	FALSE
EMT	MXRA5	TRUE
EMT	MYL9	TRUE
EMT	MYLK	TRUE
EMT	NID2	TRUE
EMT	NNMT	TRUE
EMT	NOTCH2	TRUE
EMT	NT5E	TRUE
EMT	NTM	TRUE
EMT	OXTR	TRUE
EMT	P3H1	TRUE
EMT	PCOLCE	TRUE
EMT	PCOLCE2	TRUE
EMT	PDGFRB	TRUE
EMT	PDLIM4	TRUE
EMT	PFN2	TRUE
EMT	PLAUR	TRUE
EMT	PLOD1	TRUE
EMT	PLOD2	TRUE
EMT	PLOD3	TRUE
EMT	PMEPA1	TRUE
EMT	PMP22	TRUE
EMT	POSTN	TRUE
EMT	PPIB	TRUE
EMT	PRRX1	TRUE
EMT	PRSS2	FALSE
EMT	PTHLH	TRUE
EMT	PTX3	TRUE
EMT	PVR	TRUE
EMT	QSOX1	TRUE
EMT	RGS4	TRUE
EMT	RHOB	TRUE
EMT	SAT1	TRUE
EMT	SCG2	TRUE
EMT	SDC1	TRUE
EMT	SDC4	TRUE
EMT	SERPINE1	TRUE
EMT	SERPINE2	TRUE
EMT	SERPINH1	FALSE
EMT	SFRP1	TRUE
EMT	SFRP4	TRUE
EMT	SGCB	TRUE
EMT	SGCD	TRUE
