pathway	orig.ident	n_spots	spearman_rho	p_value	fdr
Cancer_associated_fibroblasts	IU_PDA_T1	3529	0.175683375409434	7.39003746688212e-26	4.61877341680132e-25
Cancer_associated_fibroblasts	IU_PDA_T10	2713	0.11457653795225	2.16582615780107e-09	3.60971026300178e-09
Cancer_associated_fibroblasts	IU_PDA_T11	2776	0.246243628857429	1.28019645470206e-39	2.13366075783677e-38
Cancer_associated_fibroblasts	IU_PDA_T12	3641	0.159571905844336	3.40738486919877e-22	1.51544192536284e-21
Cancer_associated_fibroblasts	IU_PDA_T2	4117	0.141052495992482	9.61495424209116e-20	3.00467320065349e-19
Cancer_associated_fibroblasts	IU_PDA_T3	4353	0.148078836546935	9.12334578253828e-23	4.56167289126914e-22
Cancer_associated_fibroblasts	IU_PDA_T4	3620	0.159887711219353	3.70761011965037e-22	1.51544192536284e-21
Cancer_associated_fibroblasts	IU_PDA_T6	3396	0.215594202196109	5.27651824839163e-37	5.27651824839163e-36
Cancer_associated_fibroblasts	IU_PDA_T8	3778	0.122370535415624	4.4386473829394e-14	1.05682080546176e-13
Cancer_associated_fibroblasts	IU_PDA_T9	3525	0.141094498738608	3.8894582632588e-17	9.72364565814701e-17
Matrix	IU_PDA_T1	3529	0.121142050447954	5.17788963034897e-13	1.0787270063227e-12
Matrix	IU_PDA_T10	2713	0.0615397778476112	0.00134149305244115	0.00167686631555143
Matrix	IU_PDA_T11	2776	0.291707565436477	1.39111856390911e-55	3.47779640977277e-54
Matrix	IU_PDA_T12	3641	0.0779611759257802	2.47977081675985e-06	3.35104164427007e-06
Matrix	IU_PDA_T2	4117	0.111260189259636	8.12970746080765e-13	1.62594149216153e-12
Matrix	IU_PDA_T3	4353	0.112748994205216	8.61728704040907e-14	1.87332326965414e-13
Matrix	IU_PDA_T4	3620	0.112915234685021	9.5478205040937e-12	1.83611932771033e-11
Matrix	IU_PDA_T6	3396	0.164905530616148	3.94014900594337e-22	1.51544192536284e-21
Matrix	IU_PDA_T8	3778	0.0993950938962404	9.2114341421485e-10	1.58817830037043e-09
Matrix	IU_PDA_T9	3525	0.0854050611688182	3.81175568586964e-07	5.60552306745535e-07
Matrix_remodeling	IU_PDA_T1	3529	0.125216203810262	8.31228591568842e-14	1.87332326965414e-13
Matrix_remodeling	IU_PDA_T10	2713	0.0564161206899172	0.00328738678649365	0.00400900827621177
Matrix_remodeling	IU_PDA_T11	2776	0.164201325304829	3.12957331585993e-18	8.23571925226299e-18
Matrix_remodeling	IU_PDA_T12	3641	0.151061511719625	4.97013890366233e-20	1.65671296788744e-19
Matrix_remodeling	IU_PDA_T2	4117	0.0790837353726973	3.75977286342688e-07	5.60552306745535e-07
Matrix_remodeling	IU_PDA_T3	4353	0.0807532486692005	9.55113799501082e-08	1.49236531172044e-07
Matrix_remodeling	IU_PDA_T4	3620	0.153518316994411	1.56374671961184e-20	5.58480971289943e-20
Matrix_remodeling	IU_PDA_T6	3396	0.183992559534966	3.06409901595083e-27	2.55341584662569e-26
Matrix_remodeling	IU_PDA_T8	3778	0.107340140721316	3.72447934115261e-11	6.89718396509743e-11
Matrix_remodeling	IU_PDA_T9	3525	0.0459738747613513	0.00633299139478588	0.00753927546998319
myCAF_contractile	IU_PDA_T1	3529	0.175797214391845	6.86671761529268e-26	4.61877341680132e-25
myCAF_contractile	IU_PDA_T10	2713	0.0862179643283655	6.88880987465819e-06	9.06422351928709e-06
myCAF_contractile	IU_PDA_T11	2776	0.402041315400964	2.37377047120209e-108	1.18688523560105e-106
myCAF_contractile	IU_PDA_T12	3641	0.0790389972920588	1.79615938927609e-06	2.49466581843902e-06
myCAF_contractile	IU_PDA_T2	4117	0.0911430758251166	4.67033811754978e-09	7.53280341540287e-09
myCAF_contractile	IU_PDA_T3	4353	0.152233165808538	5.52635612030398e-24	3.07019784461332e-23
myCAF_contractile	IU_PDA_T4	3620	0.145546260791492	1.35751512454264e-18	3.77087534595177e-18
myCAF_contractile	IU_PDA_T6	3396	0.221162501142794	6.74932027731737e-39	8.43665034664671e-38
myCAF_contractile	IU_PDA_T8	3778	0.10382048173423	1.58925617404843e-10	2.83795745365792e-10
myCAF_contractile	IU_PDA_T9	3525	0.149400723977611	4.78577875245052e-19	1.40758198601486e-18
NK_cells	IU_PDA_T1	3529	0.0612741752065208	0.000270371471150655	0.000346630091218788
NK_cells	IU_PDA_T10	2713	0.0190067591255438	0.322355938823754	0.335787436274744
NK_cells	IU_PDA_T11	2776	-0.04304845113298	0.0233196796449874	0.026499635960213
NK_cells	IU_PDA_T12	3641	0.00437052221628172	0.792064212250941	0.792064212250941
NK_cells	IU_PDA_T2	4117	-0.0304448689305933	0.050781729790027	0.0551975323804641
NK_cells	IU_PDA_T3	4353	0.0261465483325727	0.0845495915616997	0.0899463740018082
NK_cells	IU_PDA_T4	3620	0.0823703487338115	6.95366121545073e-07	9.93380173635819e-07
NK_cells	IU_PDA_T6	3396	-0.0393294405993421	0.0219071233236031	0.025473399213492
NK_cells	IU_PDA_T8	3778	-0.035359318133654	0.0297550122123737	0.0330611246804153
NK_cells	IU_PDA_T9	3525	-0.00862675084564439	0.608642034322332	0.62106330032891
